date	value	lower_ci	upper_ci	incidence	scenario
2020-07-06	36721	22257	54312	NA	Moderate return
2020-07-07	37245	20681	57890	524	Moderate return
2020-07-08	37769	19404	61262	524	Moderate return
2020-07-09	38281	18240	64421	512	Moderate return
2020-07-10	38806	17304	67544	525	Moderate return
2020-07-11	39338	16368	70672	532	Moderate return
2020-07-12	39878	15592	73579	540	Moderate return
2020-07-13	40421	14886	76648	543	Moderate return
2020-07-14	40962	14318	79486	541	Moderate return
2020-07-15	41522	13616	82429	560	Moderate return
2020-07-16	42082	13051	85345	560	Moderate return
2020-07-17	42649	12588	88593	567	Moderate return
2020-07-18	43209	12165	91315	560	Moderate return
2020-07-19	43786	11850	94366	577	Moderate return
2020-07-20	44373	11570	97433	587	Moderate return
2020-07-21	44935	11295	100314	562	Moderate return
2020-07-22	45500	10944	103421	565	Moderate return
2020-07-23	46101	10731	106602	601	Moderate return
2020-07-24	46703	10433	109796	602	Moderate return
2020-07-25	47298	10147	112927	595	Moderate return
2020-07-26	47908	9917	116558	610	Moderate return
2020-07-27	48530	9721	119866	622	Moderate return
2020-07-28	49153	9414	122992	623	Moderate return
2020-07-29	49801	9203	126534	648	Moderate return
2020-07-30	50437	8920	130111	636	Moderate return
2020-07-31	51101	8750	133572	664	Moderate return
2020-08-01	51765	8468	137619	664	Moderate return
2020-08-02	52433	8274	141257	668	Moderate return
2020-08-03	53102	8070	145138	669	Moderate return
2020-08-04	53795	7842	149428	693	Moderate return
2020-08-05	54494	7629	153060	699	Moderate return
2020-08-06	55205	7389	157681	711	Moderate return
2020-08-07	55938	7198	162133	733	Moderate return
2020-08-08	56692	6929	166607	754	Moderate return
2020-08-09	57442	6760	170737	750	Moderate return
2020-08-10	58213	6565	175740	771	Moderate return
2020-08-11	59009	6348	180752	796	Moderate return
2020-08-12	59818	6183	186180	809	Moderate return
2020-08-13	60643	5955	190378	825	Moderate return
2020-08-14	61493	5770	196265	850	Moderate return
2020-08-15	62357	5609	201721	864	Moderate return
2020-08-16	63225	5473	207021	868	Moderate return
2020-08-17	64108	5273	212946	883	Moderate return
2020-08-18	65016	5089	219097	908	Moderate return
2020-08-19	65937	4870	224701	921	Moderate return
2020-08-20	66909	4720	230863	972	Moderate return
2020-08-21	67898	4499	237019	989	Moderate return
2020-08-22	68910	4321	244218	1012	Moderate return
2020-08-23	69935	4249	251118	1025	Moderate return
2020-08-24	70990	4055	259230	1055	Moderate return
2020-08-25	72085	3933	266182	1095	Moderate return
2020-08-26	73176	3661	274040	1091	Moderate return
2020-08-27	74298	3575	281909	1122	Moderate return
2020-08-28	75482	3338	291341	1184	Moderate return
2020-08-29	76672	3210	298991	1190	Moderate return
2020-08-30	77913	3043	308101	1241	Moderate return
2020-08-31	79180	2836	316913	1267	Moderate return
2020-09-01	80495	2704	326835	1315	Moderate return
2020-09-02	81840	2556	335388	1345	Moderate return
2020-09-03	83203	2413	344654	1363	Moderate return
2020-09-04	84624	2247	354736	1421	Moderate return
2020-09-05	86077	2022	364793	1453	Moderate return
2020-09-06	87577	1931	376299	1500	Moderate return
2020-09-07	89131	1778	386964	1554	Moderate return
2020-09-08	90717	1625	399669	1586	Moderate return
2020-09-09	92364	1464	411266	1647	Moderate return
2020-09-10	94040	1332	424002	1676	Moderate return
2020-09-11	95801	1158	436171	1761	Moderate return
2020-09-12	97600	1020	450474	1799	Moderate return
2020-09-13	99466	854	463627	1866	Moderate return
2020-09-14	101378	727	478711	1912	Moderate return
2020-09-15	103359	580	492190	1981	Moderate return
2020-09-16	105415	462	508033	2056	Moderate return
2020-09-17	107539	315	523474	2124	Moderate return
2020-09-18	109760	205	540136	2221	Moderate return
2020-09-19	112026	85	557037	2266	Moderate return
2020-09-20	114370	17	575513	2344	Moderate return
2020-09-21	116798	0	592642	2428	Moderate return
2020-09-22	119292	0	611522	2494	Moderate return
2020-09-23	121891	0	632759	2599	Moderate return
2020-09-24	124565	0	653509	2674	Moderate return
2020-09-25	127356	0	673945	2791	Moderate return
2020-09-26	130201	0	695861	2845	Moderate return
2020-09-27	133148	0	716399	2947	Moderate return
2020-09-28	136177	0	738730	3029	Moderate return
2020-09-29	139320	0	762482	3143	Moderate return
2020-09-30	142567	0	786800	3247	Moderate return
2020-10-01	145927	0	813014	3360	Moderate return
2020-10-02	149386	0	837020	3459	Moderate return
2020-10-03	152967	0	864788	3581	Moderate return
2020-10-04	156648	0	893590	3681	Moderate return
2020-10-05	160452	0	920216	3804	Moderate return
2020-10-06	164373	0	954174	3921	Moderate return
2020-10-07	168421	0	984081	4048	Moderate return
2020-10-08	172586	0	1015337	4165	Moderate return
2020-10-09	176896	0	1049659	4310	Moderate return
2020-10-10	181328	0	1078556	4432	Moderate return
2020-10-11	185913	0	1115521	4585	Moderate return
2020-10-12	190643	0	1154942	4730	Moderate return
2020-10-13	195499	0	1187348	4856	Moderate return
2020-10-14	200530	0	1226240	5031	Moderate return
2020-10-15	205680	0	1267859	5150	Moderate return
2020-10-16	210974	0	1304514	5294	Moderate return
2020-10-17	216467	0	1352682	5493	Moderate return
2020-10-18	222062	0	1393158	5595	Moderate return
2020-10-19	227827	0	1438177	5765	Moderate return
2020-10-20	233733	0	1485805	5906	Moderate return
2020-10-21	239806	0	1533138	6073	Moderate return
2020-10-22	246030	0	1582169	6224	Moderate return
2020-10-23	252396	0	1632330	6366	Moderate return
2020-10-24	258980	0	1687127	6584	Moderate return
2020-10-25	265738	0	1739850	6758	Moderate return
2020-10-26	272632	0	1794382	6894	Moderate return
2020-10-27	279716	0	1851295	7084	Moderate return
2020-10-28	286968	0	1912892	7252	Moderate return
2020-10-29	294395	0	1970670	7427	Moderate return
2020-10-30	301996	0	2039370	7601	Moderate return
2020-10-31	309760	0	2105427	7764	Moderate return
2020-11-01	317705	0	2170178	7945	Moderate return
2020-11-02	325821	0	2245093	8116	Moderate return
2020-11-03	334117	0	2315891	8296	Moderate return
2020-11-04	342633	0	2390413	8516	Moderate return
2020-11-05	351304	0	2471755	8671	Moderate return
2020-11-06	360168	0	2547036	8864	Moderate return
2020-11-07	369207	0	2626167	9039	Moderate return
2020-11-08	378416	0	2721185	9209	Moderate return
2020-11-09	387839	0	2800779	9423	Moderate return
2020-11-10	397451	0	2891318	9612	Moderate return
2020-11-11	407237	0	2982385	9786	Moderate return
2020-11-12	417195	0	3075240	9958	Moderate return
2020-11-13	427334	0	3175355	10139	Moderate return
2020-11-14	437685	0	3269320	10351	Moderate return
2020-11-15	448215	0	3374732	10530	Moderate return
2020-11-16	458924	0	3481322	10709	Moderate return
2020-11-17	469779	0	3585358	10855	Moderate return
2020-11-18	480824	0	3705943	11045	Moderate return
2020-11-19	492057	0	3819255	11233	Moderate return
2020-11-20	503454	0	3930866	11397	Moderate return
2020-11-21	515080	0	4047940	11626	Moderate return
2020-11-22	526853	0	4173918	11773	Moderate return
2020-11-23	538823	0	4288334	11970	Moderate return
2020-11-24	550962	0	4422516	12139	Moderate return
2020-11-25	563300	0	4561556	12338	Moderate return
2020-11-26	575764	0	4687583	12464	Moderate return
2020-11-27	588416	0	4838554	12652	Moderate return
2020-11-28	601229	0	4991706	12813	Moderate return
