date	value	lower_ci	upper_ci	incidence	scenario
2020-07-08	22411	11812	35596	NA	Normal (pre-intervention)
2020-07-09	23797	11229	40004	1386	Normal (pre-intervention)
2020-07-10	25283	10734	44693	1486	Normal (pre-intervention)
2020-07-11	26862	10311	49643	1579	Normal (pre-intervention)
2020-07-12	28558	10041	55022	1696	Normal (pre-intervention)
2020-07-13	30387	9785	61003	1829	Normal (pre-intervention)
2020-07-14	32345	9529	67330	1958	Normal (pre-intervention)
2020-07-15	34445	9334	74603	2100	Normal (pre-intervention)
2020-07-16	36705	9134	82569	2260	Normal (pre-intervention)
2020-07-17	39145	8977	91307	2440	Normal (pre-intervention)
2020-07-18	41769	8850	101038	2624	Normal (pre-intervention)
2020-07-19	44596	8680	112127	2827	Normal (pre-intervention)
2020-07-20	47657	8591	124162	3061	Normal (pre-intervention)
2020-07-21	50970	8505	137639	3313	Normal (pre-intervention)
2020-07-22	54569	8380	152978	3599	Normal (pre-intervention)
2020-07-23	58458	8239	169921	3889	Normal (pre-intervention)
2020-07-24	62692	8180	189176	4234	Normal (pre-intervention)
2020-07-25	67292	8039	211081	4600	Normal (pre-intervention)
2020-07-26	72305	7971	235220	5013	Normal (pre-intervention)
2020-07-27	77765	7906	262074	5460	Normal (pre-intervention)
2020-07-28	83722	7856	292127	5957	Normal (pre-intervention)
2020-07-29	90210	7755	326190	6488	Normal (pre-intervention)
2020-07-30	97310	7711	363691	7100	Normal (pre-intervention)
2020-07-31	105062	7653	405584	7752	Normal (pre-intervention)
2020-08-01	113546	7581	452888	8484	Normal (pre-intervention)
2020-08-02	122845	7514	506033	9299	Normal (pre-intervention)
2020-08-03	133065	7388	566086	10220	Normal (pre-intervention)
2020-08-04	144285	7347	634360	11220	Normal (pre-intervention)
2020-08-05	156603	7286	707480	12318	Normal (pre-intervention)
2020-08-06	170105	7166	788736	13502	Normal (pre-intervention)
2020-08-07	184935	7090	883487	14830	Normal (pre-intervention)
2020-08-08	201234	6975	987282	16299	Normal (pre-intervention)
2020-08-09	219110	6940	1101969	17876	Normal (pre-intervention)
2020-08-10	238751	6823	1232341	19641	Normal (pre-intervention)
2020-08-11	260306	6766	1377330	21555	Normal (pre-intervention)
2020-08-12	283961	6693	1538468	23655	Normal (pre-intervention)
2020-08-13	309847	6639	1715680	25886	Normal (pre-intervention)
2020-08-14	338158	6554	1917864	28311	Normal (pre-intervention)
2020-08-15	369121	6510	2134326	30963	Normal (pre-intervention)
2020-08-16	402932	6478	2382251	33811	Normal (pre-intervention)
2020-08-17	439778	6596	2652353	36846	Normal (pre-intervention)
2020-08-18	479851	6542	2954992	40073	Normal (pre-intervention)
2020-08-19	523396	6660	3285089	43545	Normal (pre-intervention)
2020-08-20	570530	6639	3642597	47134	Normal (pre-intervention)
2020-08-21	621504	6596	4054268	50974	Normal (pre-intervention)
