stat	value
thetaS_last_obs_p_mean	0.9993607
thetaI_last_obs_p_mean	0.0001518603
thetaR_last_obs_p_mean	0.0004874036
thetaS_last_obs_p_ci_low	0.9992615
thetaS_last_obs_p_ci_med	0.9993609
thetaS_last_obs_p_ci_up	0.9994588
thetaI_last_obs_p_ci_low	0.0001062669
thetaI_last_obs_p_ci_med	0.0001519212
thetaI_last_obs_p_ci_up	0.0002006056
thetaR_last_obs_p_ci_low	0.0004013369
thetaR_last_obs_p_ci_med	0.0004859581
thetaR_last_obs_p_ci_up	0.0005773705
R0_p_mean	1.504508
R0_p_ci_low	0.7392593
R0_p_ci_med	1.388446
R0_p_ci_up	2.980265
gamma_p_mean	0.0604432
gamma_p_ci_low	0.009693112
gamma_p_ci_med	0.05247201
gamma_p_ci_up	0.1551636
beta_p_mean	0.08293983
beta_p_ci_low	0.01391715
beta_p_ci_med	0.07555354
beta_p_ci_up	0.1962269
incidence_mean	0.09506672
incidence_ci_low	0.0001482376
incidence_ci_median	0.004833423
incidence_ci_up	0.7329358
thetaI_tp1_mean	0.01086914
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.0005380775
thetaI_tp1_ci_up	0.1056674
thetaR_tp1_mean	0.02084998
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.00216067
thetaR_tp1_ci_up	0.2236708
Y_tp1_mean	0.01086388
Y_tp1_ci_low	0
Y_tp1_ci_med	0.0005441206
Y_tp1_ci_up	0.1060199
R_tp1_mean	0.02085392
R_tp1_ci_low	0
R_tp1_ci_med	0.002137027
R_tp1_ci_up	0.2231401
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.0729386
thetaR_max_ci_low	0
thetaR_max_ci_med	0.003941757
thetaR_max_ci_up	0.6250082
cumInf_mean	0.09458357
cumInf_ci_low	0
cumInf_ci_med	0.005311892
cumInf_ci_up	0.7308379
dthetaI_tp1_date	10/20/20
first_tp_mean	09/02/20
first_tp_ci_low	05/27/20
first_tp_ci_med	07/07/20
first_tp_ci_up	12/10/20
dthetaI_tp2_date	10/20/20
second_tp_mean	09/07/20
second_tp_ci_low	05/29/20
second_tp_ci_med	07/08/20
second_tp_ci_up	12/10/20
end_p_mean	11/04/20
end_p_ci_low	07/25/20
end_p_ci_med	12/10/20
end_p_ci_up	12/10/20
begin_str	05/25/2020
