date	value	lower_ci	upper_ci	incidence	scenario
2020-07-12	3910	941	8454	NA	Moderate return
2020-07-13	4116	735	9566	206	Moderate return
2020-07-14	4327	595	10654	211	Moderate return
2020-07-15	4551	487	11822	224	Moderate return
2020-07-16	4782	428	12953	231	Moderate return
2020-07-17	5020	379	14166	238	Moderate return
2020-07-18	5266	325	15403	246	Moderate return
2020-07-19	5526	278	16742	260	Moderate return
2020-07-20	5795	238	18227	269	Moderate return
2020-07-21	6077	185	19677	282	Moderate return
2020-07-22	6375	147	21304	298	Moderate return
2020-07-23	6682	105	23125	307	Moderate return
2020-07-24	7005	64	24995	323	Moderate return
2020-07-25	7349	30	26993	344	Moderate return
2020-07-26	7711	8	29154	362	Moderate return
2020-07-27	8088	0	31461	377	Moderate return
2020-07-28	8494	0	33957	406	Moderate return
2020-07-29	8927	0	36735	433	Moderate return
2020-07-30	9383	0	39691	456	Moderate return
2020-07-31	9871	0	43028	488	Moderate return
2020-08-01	10390	0	46510	519	Moderate return
2020-08-02	10942	0	50439	552	Moderate return
2020-08-03	11535	0	54478	593	Moderate return
2020-08-04	12173	0	58895	638	Moderate return
2020-08-05	12854	0	63793	681	Moderate return
2020-08-06	13589	0	69350	735	Moderate return
2020-08-07	14383	0	75285	794	Moderate return
2020-08-08	15237	0	81535	854	Moderate return
2020-08-09	16165	0	88887	928	Moderate return
2020-08-10	17172	0	96388	1007	Moderate return
2020-08-11	18262	0	104418	1090	Moderate return
2020-08-12	19451	0	113018	1189	Moderate return
2020-08-13	20738	0	123228	1287	Moderate return
2020-08-14	22150	0	133809	1412	Moderate return
2020-08-15	23689	0	145138	1539	Moderate return
2020-08-16	25366	0	157924	1677	Moderate return
2020-08-17	27205	0	171238	1839	Moderate return
2020-08-18	29211	0	186636	2006	Moderate return
2020-08-19	31404	0	203312	2193	Moderate return
2020-08-20	33797	0	221010	2393	Moderate return
2020-08-21	36421	0	241200	2624	Moderate return
2020-08-22	39281	0	262027	2860	Moderate return
2020-08-23	42401	0	285045	3120	Moderate return
2020-08-24	45799	0	309864	3398	Moderate return
2020-08-25	49498	0	337730	3699	Moderate return
2020-08-26	53516	0	367227	4018	Moderate return
2020-08-27	57877	0	400906	4361	Moderate return
2020-08-28	62616	0	436165	4739	Moderate return
2020-08-29	67732	0	474542	5116	Moderate return
2020-08-30	73275	0	519645	5543	Moderate return
2020-08-31	79221	0	565133	5946	Moderate return
2020-09-01	85644	0	612654	6423	Moderate return
2020-09-02	92539	0	669201	6895	Moderate return
2020-09-03	99931	0	726128	7392	Moderate return
2020-09-04	107826	0	791158	7895	Moderate return
2020-09-05	116268	0	860890	8442	Moderate return
2020-09-06	125265	0	937795	8997	Moderate return
2020-09-07	134820	0	1019449	9555	Moderate return
2020-09-08	144945	0	1107378	10125	Moderate return
2020-09-09	155664	0	1208853	10719	Moderate return
2020-09-10	166988	0	1313334	11324	Moderate return
2020-09-11	178921	0	1426730	11933	Moderate return
2020-09-12	191480	0	1548162	12559	Moderate return
2020-09-13	204680	0	1679563	13200	Moderate return
2020-09-14	218513	0	1824600	13833	Moderate return
2020-09-15	232986	0	1971254	14473	Moderate return
2020-09-16	248094	0	2140780	15108	Moderate return
2020-09-17	263855	0	2313053	15761	Moderate return
2020-09-18	280251	0	2495672	16396	Moderate return
2020-09-19	297285	0	2697108	17034	Moderate return
2020-09-20	314990	0	2911139	17705	Moderate return
2020-09-21	333318	0	3138372	18328	Moderate return
2020-09-22	352259	0	3382416	18941	Moderate return
2020-09-23	371830	0	3639720	19571	Moderate return
2020-09-24	392041	0	3903527	20211	Moderate return
2020-09-25	412842	0	4182048	20801	Moderate return
2020-09-26	434259	0	4471783	21417	Moderate return
2020-09-27	456232	0	4782170	21973	Moderate return
2020-09-28	478833	0	5089444	22601	Moderate return
2020-09-29	501945	0	5420354	23112	Moderate return
2020-09-30	525624	0	5752518	23679	Moderate return
2020-10-01	549843	0	6095391	24219	Moderate return
2020-10-02	574603	0	6451035	24760	Moderate return
2020-10-03	599890	0	6820852	25287	Moderate return
2020-10-04	625640	0	7182462	25750	Moderate return
2020-10-05	651838	0	7577207	26198	Moderate return
2020-10-06	678511	0	7976990	26673	Moderate return
2020-10-07	705596	0	8361328	27085	Moderate return
2020-10-08	733107	0	8773590	27511	Moderate return
2020-10-09	761015	0	9184994	27908	Moderate return
2020-10-10	789329	0	9612672	28314	Moderate return
2020-10-11	817998	0	10045704	28669	Moderate return
2020-10-12	847023	0	10474709	29025	Moderate return
2020-10-13	876413	0	10899454	29390	Moderate return
2020-10-14	906118	0	11306589	29705	Moderate return
2020-10-15	936136	0	11750882	30018	Moderate return
2020-10-16	966397	0	12190171	30261	Moderate return
2020-10-17	996928	0	12636993	30531	Moderate return
2020-10-18	1027731	0	13068982	30803	Moderate return
2020-10-19	1058765	0	13513336	31034	Moderate return
2020-10-20	1089957	0	13924536	31192	Moderate return
2020-10-21	1121402	0	14345654	31445	Moderate return
2020-10-22	1152992	0	14761140	31590	Moderate return
2020-10-23	1184735	0	15160454	31743	Moderate return
2020-10-24	1216644	0	15569299	31909	Moderate return
2020-10-25	1248689	0	15962286	32045	Moderate return
2020-10-26	1280827	0	16328078	32138	Moderate return
2020-10-27	1313029	0	16722196	32202	Moderate return
2020-10-28	1345358	0	17070403	32329	Moderate return
2020-10-29	1377795	0	17439743	32437	Moderate return
2020-10-30	1410275	0	17779276	32480	Moderate return
2020-10-31	1442740	0	18137565	32465	Moderate return
2020-11-01	1475269	0	18461399	32529	Moderate return
2020-11-02	1507818	0	18772294	32549	Moderate return
2020-11-03	1540377	0	19056961	32559	Moderate return
2020-11-04	1572952	0	19353436	32575	Moderate return
2020-11-05	1605495	0	19628563	32543	Moderate return
2020-11-06	1637992	0	19913315	32497	Moderate return
2020-11-07	1670468	0	20156607	32476	Moderate return
2020-11-08	1702935	0	20422778	32467	Moderate return
2020-11-09	1735261	0	20676139	32326	Moderate return
2020-11-10	1767549	0	20895888	32288	Moderate return
2020-11-11	1799773	0	21126939	32224	Moderate return
2020-11-12	1831872	0	21342826	32099	Moderate return
2020-11-13	1863855	0	21564337	31983	Moderate return
2020-11-14	1895791	0	21746506	31936	Moderate return
2020-11-15	1927618	0	21955929	31827	Moderate return
2020-11-16	1959286	0	22129154	31668	Moderate return
2020-11-17	1990864	0	22327369	31578	Moderate return
2020-11-18	2022281	0	22508962	31417	Moderate return
2020-11-19	2053594	0	22668037	31313	Moderate return
2020-11-20	2084708	0	22822578	31114	Moderate return
2020-11-21	2115678	0	22960830	30970	Moderate return
2020-11-22	2146552	0	23100733	30874	Moderate return
2020-11-23	2177124	0	23241706	30572	Moderate return
2020-11-24	2207642	0	23375896	30518	Moderate return
2020-11-25	2237930	0	23509192	30288	Moderate return
2020-11-26	2268027	0	23638438	30097	Moderate return
2020-11-27	2297901	0	23772600	29874	Moderate return
2020-11-28	2327600	0	23893622	29699	Moderate return
2020-11-29	2357072	0	24018136	29472	Moderate return
2020-11-30	2386381	0	24114126	29309	Moderate return
2020-12-01	2415530	0	24214466	29149	Moderate return
2020-12-02	2444430	0	24311255	28900	Moderate return
2020-12-03	2473128	0	24390645	28698	Moderate return
2020-12-04	2501574	0	24485604	28446	Moderate return
2020-12-05	2529834	0	24567090	28260	Moderate return
2020-12-06	2557856	0	24650063	28022	Moderate return
2020-12-07	2585638	0	24746181	27782	Moderate return
2020-12-08	2613244	0	24829399	27606	Moderate return
2020-12-09	2640618	0	24903514	27374	Moderate return
2020-12-10	2667803	0	24976401	27185	Moderate return
2020-12-11	2694753	0	25033619	26950	Moderate return
2020-12-12	2721425	0	25103252	26672	Moderate return
2020-12-13	2747929	0	25176732	26504	Moderate return
