stat	value
thetaS_last_obs_p_mean	0.9989528
thetaI_last_obs_p_mean	0.0003606846
thetaR_last_obs_p_mean	0.0006865303
thetaS_last_obs_p_ci_low	0.9988161
thetaS_last_obs_p_ci_med	0.9989536
thetaS_last_obs_p_ci_up	0.9990839
thetaI_last_obs_p_ci_low	0.0002855204
thetaI_last_obs_p_ci_med	0.0003596114
thetaI_last_obs_p_ci_up	0.0004415278
thetaR_last_obs_p_ci_low	0.0005817662
thetaR_last_obs_p_ci_med	0.0006854419
thetaR_last_obs_p_ci_up	0.0007969188
R0_p_mean	1.573076
R0_p_ci_low	0.9923409
R0_p_ci_med	1.523299
R0_p_ci_up	2.454137
gamma_p_mean	0.09599163
gamma_p_ci_low	0.04024066
gamma_p_ci_med	0.09507408
gamma_p_ci_up	0.1573189
beta_p_mean	0.1457611
beta_p_ci_low	0.06570791
beta_p_ci_med	0.1453877
beta_p_ci_up	0.2286093
incidence_mean	0.391081
incidence_ci_low	0.001835546
incidence_ci_median	0.4103739
incidence_ci_up	0.8526845
thetaI_tp1_mean	0.02577148
thetaI_tp1_ci_low	3.117514e-07
thetaI_tp1_ci_med	0.009145066
thetaI_tp1_ci_up	0.1459329
thetaR_tp1_mean	0.04539873
thetaR_tp1_ci_low	0.001279943
thetaR_tp1_ci_med	0.01839327
thetaR_tp1_ci_up	0.2657756
Y_tp1_mean	0.02577141
Y_tp1_ci_low	3.076513e-14
Y_tp1_ci_med	0.009147482
Y_tp1_ci_up	0.1459373
R_tp1_mean	0.04539833
R_tp1_ci_low	0.001275477
R_tp1_ci_med	0.01838192
R_tp1_ci_up	0.2657105
thetaI_tp2_mean	0.04830327
thetaI_tp2_ci_low	0
thetaI_tp2_ci_med	0.03495991
thetaI_tp2_ci_up	0.1748832
thetaR_tp2_mean	0.1964636
thetaR_tp2_ci_low	0.00151545
thetaR_tp2_ci_med	0.105911
thetaR_tp2_ci_up	0.7109454
Y_tp2_mean	0.04830526
Y_tp2_ci_low	0
Y_tp2_ci_med	0.03497456
Y_tp2_ci_up	0.1747768
R_tp2_mean	0.196468
R_tp2_ci_low	0.001512804
R_tp2_ci_med	0.1058927
R_tp2_ci_up	0.7108286
thetaR_max_mean	0.3546295
thetaR_max_ci_low	0.001570776
thetaR_max_ci_med	0.3454565
thetaR_max_ci_up	0.8243523
cumInf_mean	0.3898719
cumInf_ci_low	0.001604692
cumInf_ci_med	0.4077673
cumInf_ci_up	0.8525721
dthetaI_tp1_date	09/21/20
first_tp_mean	10/11/20
first_tp_ci_low	06/24/20
first_tp_ci_med	10/17/20
first_tp_ci_up	12/15/20
dthetaI_tp2_date	11/01/20
second_tp_mean	10/26/20
second_tp_ci_low	06/28/20
second_tp_ci_med	11/11/20
second_tp_ci_up	12/15/20
end_p_mean	12/11/20
end_p_ci_low	09/22/20
end_p_ci_med	12/15/20
end_p_ci_up	12/15/20
begin_str	05/30/2020
