stat	value
thetaS_last_obs_p_mean	0.9998174
thetaI_last_obs_p_mean	5.463998e-05
thetaR_last_obs_p_mean	0.0001279443
thetaS_last_obs_p_ci_low	0.9997646
thetaS_last_obs_p_ci_med	0.9998182
thetaS_last_obs_p_ci_up	0.9998655
thetaI_last_obs_p_ci_low	2.921432e-05
thetaI_last_obs_p_ci_med	5.343861e-05
thetaI_last_obs_p_ci_up	8.566287e-05
thetaR_last_obs_p_ci_low	8.821883e-05
thetaR_last_obs_p_ci_med	0.000127231
thetaR_last_obs_p_ci_up	0.0001711317
R0_p_mean	1.585434
R0_p_ci_low	0.7862318
R0_p_ci_med	1.500146
R0_p_ci_up	2.906585
gamma_p_mean	0.1181645
gamma_p_ci_low	0.02065715
gamma_p_ci_med	0.109981
gamma_p_ci_up	0.2716524
beta_p_mean	0.1742803
beta_p_ci_low	0.03374996
beta_p_ci_med	0.165424
beta_p_ci_up	0.3689108
incidence_mean	0.2767998
incidence_ci_low	8.04732e-05
incidence_ci_median	0.04788542
incidence_ci_up	0.8957818
thetaI_tp1_mean	0.01314462
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.0004332585
thetaI_tp1_ci_up	0.1330389
thetaR_tp1_mean	0.02473652
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.001198247
thetaR_tp1_ci_up	0.2741929
Y_tp1_mean	0.01315451
Y_tp1_ci_low	0
Y_tp1_ci_med	0.0004326312
Y_tp1_ci_up	0.1329486
R_tp1_mean	0.02473224
R_tp1_ci_low	0
R_tp1_ci_med	0.001190525
R_tp1_ci_up	0.2734312
thetaI_tp2_mean	0.02653646
thetaI_tp2_ci_low	0
thetaI_tp2_ci_med	0.001675849
thetaI_tp2_ci_up	0.1714251
thetaR_tp2_mean	0.1408276
thetaR_tp2_ci_low	0
thetaR_tp2_ci_med	0.005602237
thetaR_tp2_ci_up	0.7962534
Y_tp2_mean	0.02654007
Y_tp2_ci_low	0
Y_tp2_ci_med	0.001749472
Y_tp2_ci_up	0.1719593
R_tp2_mean	0.1408389
R_tp2_ci_low	0
R_tp2_ci_med	0.005572126
R_tp2_ci_up	0.7958912
thetaR_max_mean	0.2563002
thetaR_max_ci_low	0
thetaR_max_ci_med	0.03224486
thetaR_max_ci_up	0.8740765
cumInf_mean	0.2759969
cumInf_ci_low	0
cumInf_ci_med	0.04693138
cumInf_ci_up	0.8957958
dthetaI_tp1_date	09/10/20
first_tp_mean	09/08/20
first_tp_ci_low	06/06/20
first_tp_ci_med	09/14/20
first_tp_ci_up	12/16/20
dthetaI_tp2_date	10/24/20
second_tp_mean	09/17/20
second_tp_ci_low	06/08/20
second_tp_ci_med	09/28/20
second_tp_ci_up	12/16/20
end_p_mean	10/28/20
end_p_ci_low	07/22/20
end_p_ci_med	12/16/20
end_p_ci_up	12/16/20
begin_str	05/31/2020
