date	value	lower_ci	upper_ci	incidence	scenario
2020-07-16	44319	16918	82124	NA	Cautious return
2020-07-17	46070	14692	90920	1751	Cautious return
2020-07-18	47828	12833	99800	1758	Cautious return
2020-07-19	49566	11477	108133	1738	Cautious return
2020-07-20	51294	10258	116604	1728	Cautious return
2020-07-21	53013	9376	125035	1719	Cautious return
2020-07-22	54754	8623	133780	1741	Cautious return
2020-07-23	56457	8156	142101	1703	Cautious return
2020-07-24	58190	7616	150955	1733	Cautious return
2020-07-25	59925	7250	160119	1735	Cautious return
2020-07-26	61662	6878	168474	1737	Cautious return
2020-07-27	63377	6446	177532	1715	Cautious return
2020-07-28	65156	5962	187016	1779	Cautious return
2020-07-29	66927	5480	196342	1771	Cautious return
2020-07-30	68723	5059	205637	1796	Cautious return
2020-07-31	70512	4637	215356	1789	Cautious return
2020-08-01	72330	4220	225721	1818	Cautious return
2020-08-02	74195	3762	235956	1865	Cautious return
2020-08-03	76045	3350	247515	1850	Cautious return
2020-08-04	77917	2895	257512	1872	Cautious return
2020-08-05	79819	2452	268620	1902	Cautious return
2020-08-06	81767	2076	281005	1948	Cautious return
2020-08-07	83738	1653	292809	1971	Cautious return
2020-08-08	85790	1196	305125	2052	Cautious return
2020-08-09	87829	812	317545	2039	Cautious return
2020-08-10	89922	474	332075	2093	Cautious return
2020-08-11	92038	181	344351	2116	Cautious return
2020-08-12	94258	24	360480	2220	Cautious return
2020-08-13	96474	0	375269	2216	Cautious return
2020-08-14	98783	0	389576	2309	Cautious return
2020-08-15	101137	0	406809	2354	Cautious return
2020-08-16	103537	0	422713	2400	Cautious return
2020-08-17	106030	0	439629	2493	Cautious return
2020-08-18	108584	0	458844	2554	Cautious return
2020-08-19	111248	0	478215	2664	Cautious return
2020-08-20	113988	0	497187	2740	Cautious return
2020-08-21	116774	0	516599	2786	Cautious return
2020-08-22	119665	0	538715	2891	Cautious return
2020-08-23	122654	0	560376	2989	Cautious return
2020-08-24	125769	0	583518	3115	Cautious return
2020-08-25	128972	0	609882	3203	Cautious return
2020-08-26	132300	0	631671	3328	Cautious return
2020-08-27	135739	0	661136	3439	Cautious return
2020-08-28	139329	0	687415	3590	Cautious return
2020-08-29	143090	0	714508	3761	Cautious return
2020-08-30	147010	0	745054	3920	Cautious return
2020-08-31	151043	0	775256	4033	Cautious return
2020-09-01	155325	0	805597	4282	Cautious return
2020-09-02	159662	0	838148	4337	Cautious return
2020-09-03	164223	0	874761	4561	Cautious return
2020-09-04	168958	0	909199	4735	Cautious return
2020-09-05	173978	0	946096	5020	Cautious return
2020-09-06	179179	0	985306	5201	Cautious return
2020-09-07	184630	0	1027211	5451	Cautious return
2020-09-08	190342	0	1067805	5712	Cautious return
2020-09-09	196310	0	1114022	5968	Cautious return
2020-09-10	202545	0	1159225	6235	Cautious return
2020-09-11	209066	0	1210506	6521	Cautious return
2020-09-12	215900	0	1259107	6834	Cautious return
2020-09-13	223050	0	1313201	7150	Cautious return
2020-09-14	230514	0	1365948	7464	Cautious return
2020-09-15	238299	0	1424574	7785	Cautious return
2020-09-16	246486	0	1486016	8187	Cautious return
2020-09-17	255081	0	1541548	8595	Cautious return
2020-09-18	264069	0	1606517	8988	Cautious return
2020-09-19	273395	0	1677604	9326	Cautious return
2020-09-20	283159	0	1741288	9764	Cautious return
2020-09-21	293446	0	1818702	10287	Cautious return
2020-09-22	304244	0	1898887	10798	Cautious return
2020-09-23	315496	0	1976432	11252	Cautious return
2020-09-24	327220	0	2056788	11724	Cautious return
2020-09-25	339562	0	2145250	12342	Cautious return
2020-09-26	352268	0	2226255	12706	Cautious return
2020-09-27	365600	0	2323099	13332	Cautious return
2020-09-28	379516	0	2419077	13916	Cautious return
2020-09-29	394012	0	2526964	14496	Cautious return
2020-09-30	409214	0	2634427	15202	Cautious return
2020-10-01	424956	0	2744221	15742	Cautious return
2020-10-02	441281	0	2863702	16325	Cautious return
2020-10-03	458117	0	2987541	16836	Cautious return
2020-10-04	475606	0	3117939	17489	Cautious return
2020-10-05	493776	0	3259514	18170	Cautious return
2020-10-06	512669	0	3411036	18893	Cautious return
2020-10-07	532187	0	3547461	19518	Cautious return
2020-10-08	552389	0	3698382	20202	Cautious return
2020-10-09	573316	0	3850095	20927	Cautious return
2020-10-10	594855	0	4022556	21539	Cautious return
2020-10-11	617164	0	4195308	22309	Cautious return
2020-10-12	640226	0	4366632	23062	Cautious return
2020-10-13	664025	0	4553446	23799	Cautious return
2020-10-14	688452	0	4755432	24427	Cautious return
2020-10-15	713702	0	4941054	25250	Cautious return
2020-10-16	739821	0	5161564	26119	Cautious return
2020-10-17	766545	0	5365362	26724	Cautious return
2020-10-18	794150	0	5592853	27605	Cautious return
2020-10-19	822447	0	5827493	28297	Cautious return
2020-10-20	851523	0	6099287	29076	Cautious return
2020-10-21	881410	0	6354152	29887	Cautious return
2020-10-22	912032	0	6633854	30622	Cautious return
2020-10-23	943458	0	6892901	31426	Cautious return
2020-10-24	975549	0	7185937	32091	Cautious return
2020-10-25	1008478	0	7484926	32929	Cautious return
2020-10-26	1042185	0	7810243	33707	Cautious return
2020-10-27	1076665	0	8134648	34480	Cautious return
2020-10-28	1111920	0	8482136	35255	Cautious return
2020-10-29	1147873	0	8818787	35953	Cautious return
2020-10-30	1184580	0	9215135	36707	Cautious return
2020-10-31	1222023	0	9589256	37443	Cautious return
2020-11-01	1260084	0	9976737	38061	Cautious return
2020-11-02	1298953	0	10399387	38869	Cautious return
2020-11-03	1338535	0	10804739	39582	Cautious return
2020-11-04	1378953	0	11222927	40418	Cautious return
2020-11-05	1420089	0	11667296	41136	Cautious return
2020-11-06	1461847	0	12143831	41758	Cautious return
2020-11-07	1504217	0	12647557	42370	Cautious return
2020-11-08	1547534	0	13142680	43317	Cautious return
2020-11-09	1591384	0	13646157	43850	Cautious return
2020-11-10	1635801	0	14188117	44417	Cautious return
2020-11-11	1680980	0	14738580	45179	Cautious return
2020-11-12	1726836	0	15330448	45856	Cautious return
2020-11-13	1773291	0	15954207	46455	Cautious return
2020-11-14	1820306	0	16530705	47015	Cautious return
2020-11-15	1867808	0	17149383	47502	Cautious return
2020-11-16	1916221	0	17782244	48413	Cautious return
2020-11-17	1965044	0	18454053	48823	Cautious return
2020-11-18	2014612	0	19172853	49568	Cautious return
2020-11-19	2064431	0	19829948	49819	Cautious return
2020-11-20	2114927	0	20559318	50496	Cautious return
2020-11-21	2165873	0	21244762	50946	Cautious return
2020-11-22	2217516	0	22011137	51643	Cautious return
2020-11-23	2269712	0	22700147	52196	Cautious return
2020-11-24	2322360	0	23454344	52648	Cautious return
2020-11-25	2375356	0	24260298	52996	Cautious return
2020-11-26	2428802	0	24960791	53446	Cautious return
2020-11-27	2482703	0	25800826	53901	Cautious return
2020-11-28	2537004	0	26673927	54301	Cautious return
2020-11-29	2591890	0	27443224	54886	Cautious return
2020-11-30	2646959	0	28274442	55069	Cautious return
2020-12-01	2702573	0	29119687	55614	Cautious return
2020-12-02	2758521	0	30000687	55948	Cautious return
2020-12-03	2814779	0	30865453	56258	Cautious return
2020-12-04	2871311	0	31784657	56532	Cautious return
2020-12-05	2928221	0	32731922	56910	Cautious return
2020-12-06	2985294	0	33733860	57073	Cautious return
2020-12-07	3042696	0	34731566	57402	Cautious return
2020-12-08	3100275	0	35736217	57579	Cautious return
2020-12-09	3158183	0	36699638	57908	Cautious return
2020-12-10	3216536	0	37703871	58353	Cautious return
2020-12-11	3275106	0	38717612	58570	Cautious return
2020-12-12	3334122	0	39724152	59016	Cautious return
2020-12-13	3393053	0	40717735	58931	Cautious return
2020-12-14	3452118	0	41783371	59065	Cautious return
2020-12-15	3511513	0	42782881	59395	Cautious return
2020-12-16	3570922	0	43852311	59409	Cautious return
2020-12-17	3630627	0	44965342	59705	Cautious return
