stat	value
thetaS_last_obs_p_mean	0.9996425
thetaI_last_obs_p_mean	0.000111868
thetaR_last_obs_p_mean	0.000245624
thetaS_last_obs_p_ci_low	0.9995656
thetaS_last_obs_p_ci_med	0.9996435
thetaS_last_obs_p_ci_up	0.9997138
thetaI_last_obs_p_ci_low	7.315325e-05
thetaI_last_obs_p_ci_med	0.0001109682
thetaI_last_obs_p_ci_up	0.0001558785
thetaR_last_obs_p_ci_low	0.0001871342
thetaR_last_obs_p_ci_med	0.0002447164
thetaR_last_obs_p_ci_up	0.0003088562
R0_p_mean	1.867606
R0_p_ci_low	0.8534333
R0_p_ci_med	1.731595
R0_p_ci_up	3.654695
gamma_p_mean	0.06436411
gamma_p_ci_low	0.01074686
gamma_p_ci_med	0.05516927
gamma_p_ci_up	0.1673792
beta_p_mean	0.1097644
beta_p_ci_low	0.01709211
beta_p_ci_med	0.1012841
beta_p_ci_up	0.2519332
incidence_mean	0.2758806
incidence_ci_low	9.605382e-05
incidence_ci_median	0.06150977
incidence_ci_up	0.927873
thetaI_tp1_mean	0.02011294
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.001328269
thetaI_tp1_ci_up	0.1848774
thetaR_tp1_mean	0.02812848
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.002128453
thetaR_tp1_ci_up	0.2922225
Y_tp1_mean	0.02011299
Y_tp1_ci_low	0
Y_tp1_ci_med	0.001324239
Y_tp1_ci_up	0.1849012
R_tp1_mean	0.02812903
R_tp1_ci_low	0
R_tp1_ci_med	0.002129778
R_tp1_ci_up	0.2922763
thetaI_tp2_mean	0.04527827
thetaI_tp2_ci_low	0
thetaI_tp2_ci_med	0.008031676
thetaI_tp2_ci_up	0.261636
thetaR_tp2_mean	0.1823292
thetaR_tp2_ci_low	0
thetaR_tp2_ci_med	0.01795306
thetaR_tp2_ci_up	0.8445649
Y_tp2_mean	0.04527721
Y_tp2_ci_low	0
Y_tp2_ci_med	0.008030897
Y_tp2_ci_up	0.2613806
R_tp2_mean	0.1823295
R_tp2_ci_low	0
R_tp2_ci_med	0.01793694
R_tp2_ci_up	0.8445449
thetaR_max_mean	0.2310846
thetaR_max_ci_low	0
thetaR_max_ci_med	0.03515265
thetaR_max_ci_up	0.880838
cumInf_mean	0.2748961
cumInf_ci_low	0
cumInf_ci_med	0.06066457
cumInf_ci_up	0.9274374
dthetaI_tp1_date	09/28/20
first_tp_mean	10/02/20
first_tp_ci_low	06/18/20
first_tp_ci_med	10/19/20
first_tp_ci_up	12/20/20
dthetaI_tp2_date	11/30/20
second_tp_mean	10/11/20
second_tp_ci_low	06/20/20
second_tp_ci_med	11/10/20
second_tp_ci_up	12/20/20
end_p_mean	11/22/20
end_p_ci_low	08/03/20
end_p_ci_med	12/20/20
end_p_ci_up	12/20/20
begin_str	06/04/2020
