date	value	incidence	scenario	lower_ci	upper_ci
2020-06-05	4598	NA	Observed	NA	NA
2020-06-06	4831	233	Observed	NA	NA
2020-06-07	5070	239	Observed	NA	NA
2020-06-08	5247	177	Observed	NA	NA
2020-06-09	5455	208	Observed	NA	NA
2020-06-10	5698	243	Observed	NA	NA
2020-06-11	5948	250	Observed	NA	NA
2020-06-12	6096	148	Observed	NA	NA
2020-06-13	6289	193	Observed	NA	NA
2020-06-14	6475	186	Observed	NA	NA
2020-06-15	6662	187	Observed	NA	NA
2020-06-16	6810	148	Observed	NA	NA
2020-06-17	6940	130	Observed	NA	NA
2020-06-18	7040	100	Observed	NA	NA
2020-06-19	7290	250	Observed	NA	NA
2020-06-20	7503	213	Observed	NA	NA
2020-06-21	7665	162	Observed	NA	NA
2020-06-22	7893	228	Observed	NA	NA
2020-06-23	8050	157	Observed	NA	NA
2020-06-24	8273	223	Observed	NA	NA
2020-06-25	8488	215	Observed	NA	NA
2020-06-26	8678	190	Observed	NA	NA
2020-06-27	8980	302	Observed	NA	NA
2020-06-28	9224	244	Observed	NA	NA
2020-06-29	9618	394	Observed	NA	NA
2020-06-30	9988	370	Observed	NA	NA
2020-07-01	10204	216	Observed	NA	NA
2020-07-02	10682	478	Observed	NA	NA
2020-07-03	11108	426	Observed	NA	NA
2020-07-04	11457	349	Observed	NA	NA
2020-07-05	11860	403	Observed	NA	NA
2020-07-06	12140	280	Observed	NA	NA
2020-07-07	12525	385	Observed	NA	NA
2020-07-08	13274	749	Observed	NA	NA
2020-07-09	13978	704	Observed	NA	NA
2020-07-10	14330	352	Observed	NA	NA
2020-07-11	15039	709	Observed	NA	NA
2020-07-12	16305	1266	Observed	NA	NA
2020-07-13	17421	1116	Observed	NA	NA
2020-07-14	18853	1432	Observed	NA	NA
2020-07-15	20173	1320	Observed	NA	NA
2020-07-16	21558	1385	Observed	NA	NA
2020-07-17	23300	1742	Observed	NA	NA
2020-07-18	24967	1667	Observed	NA	NA
2020-07-19	26379	1412	Observed	NA	NA
2020-07-20	28586	NA	Soc. Dist. + Travel Ban	12063	50540
2020-07-21	30266	1680	Soc. Dist. + Travel Ban	10966	56971
2020-07-22	31992	1726	Soc. Dist. + Travel Ban	10019	63568
2020-07-23	33760	1768	Soc. Dist. + Travel Ban	9349	70301
2020-07-24	35619	1859	Soc. Dist. + Travel Ban	8661	77446
2020-07-25	37519	1900	Soc. Dist. + Travel Ban	8161	84607
2020-07-26	39511	1992	Soc. Dist. + Travel Ban	7643	92338
2020-07-27	41575	2064	Soc. Dist. + Travel Ban	7292	101058
2020-07-28	43736	2161	Soc. Dist. + Travel Ban	6987	109835
2020-07-29	45988	2252	Soc. Dist. + Travel Ban	6818	119407
2020-07-30	48349	2361	Soc. Dist. + Travel Ban	6658	129611
2020-07-31	50811	2462	Soc. Dist. + Travel Ban	6526	140994
2020-08-01	53412	2601	Soc. Dist. + Travel Ban	6319	152998
2020-08-02	56155	2743	Soc. Dist. + Travel Ban	6220	165722
2020-08-03	59017	2862	Soc. Dist. + Travel Ban	6090	179694
2020-08-04	62033	3016	Soc. Dist. + Travel Ban	5821	194632
2020-08-05	65213	3180	Soc. Dist. + Travel Ban	5676	211626
2020-08-06	68602	3389	Soc. Dist. + Travel Ban	5511	229975
2020-08-07	72169	3567	Soc. Dist. + Travel Ban	5351	249362
