stat	value
thetaS_last_obs_p_mean	0.9996513
thetaI_last_obs_p_mean	0.0001034902
thetaR_last_obs_p_mean	0.0002451697
thetaS_last_obs_p_ci_low	0.9995755
thetaS_last_obs_p_ci_med	0.9996523
thetaS_last_obs_p_ci_up	0.9997218
thetaI_last_obs_p_ci_low	6.660747e-05
thetaI_last_obs_p_ci_med	0.0001025684
thetaI_last_obs_p_ci_up	0.0001454498
thetaR_last_obs_p_ci_low	0.0001867503
thetaR_last_obs_p_ci_med	0.0002442745
thetaR_last_obs_p_ci_up	0.0003087197
R0_p_mean	1.810995
R0_p_ci_low	0.8007146
R0_p_ci_med	1.671042
R0_p_ci_up	3.613348
gamma_p_mean	0.06070879
gamma_p_ci_low	0.009446621
gamma_p_ci_med	0.05025609
gamma_p_ci_up	0.169413
beta_p_mean	0.09987719
beta_p_ci_low	0.01440977
beta_p_ci_med	0.08929864
beta_p_ci_up	0.2446881
incidence_mean	0.01154829
incidence_ci_low	5.920827e-05
incidence_ci_median	0.0005127302
incidence_ci_up	0.1120944
thetaI_tp1_mean	0.0031394
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.03131604
thetaR_tp1_mean	0.006618486
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.0005692265
thetaR_tp1_ci_up	0.05327428
Y_tp1_mean	0.003139463
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.03124018
R_tp1_mean	0.00661828
R_tp1_ci_low	0
R_tp1_ci_med	0.0005668743
R_tp1_ci_up	0.05315086
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.00797394
thetaR_max_ci_low	0
thetaR_max_ci_med	0.0005684216
thetaR_max_ci_up	0.0686718
cumInf_mean	0.01155273
cumInf_ci_low	0
cumInf_ci_med	0.0005946144
cumInf_ci_up	0.1107161
dthetaI_tp1_date	12/16/20
first_tp_mean	08/03/20
first_tp_ci_low	06/10/20
first_tp_ci_med	07/16/20
first_tp_ci_up	12/24/20
dthetaI_tp2_date	12/16/20
second_tp_mean	08/07/20
second_tp_ci_low	06/12/20
second_tp_ci_med	07/19/20
second_tp_ci_up	12/24/20
end_p_mean	10/11/20
end_p_ci_low	08/03/20
end_p_ci_med	09/22/20
end_p_ci_up	12/24/20
begin_str	06/08/2020
