date	value	lower_ci	upper_ci	incidence	scenario
2020-07-23	50817	36513	67177	NA	Moderate return
2020-07-24	52064	35300	71532	1247	Moderate return
2020-07-25	53325	34501	75581	1261	Moderate return
2020-07-26	54573	33841	79665	1248	Moderate return
2020-07-27	55830	33318	83495	1257	Moderate return
2020-07-28	57082	32819	87119	1252	Moderate return
2020-07-29	58344	32302	91181	1262	Moderate return
2020-07-30	59611	31992	94686	1267	Moderate return
2020-07-31	60866	31714	98618	1255	Moderate return
2020-08-01	62132	31499	102356	1266	Moderate return
2020-08-02	63413	31256	106175	1281	Moderate return
2020-08-03	64677	31057	110033	1264	Moderate return
2020-08-04	65951	30855	114111	1274	Moderate return
2020-08-05	67237	30626	117856	1286	Moderate return
2020-08-06	68522	30446	121888	1285	Moderate return
2020-08-07	69806	30317	125979	1284	Moderate return
2020-08-08	71089	30119	130106	1283	Moderate return
2020-08-09	72396	29982	134293	1307	Moderate return
2020-08-10	73700	29844	138777	1304	Moderate return
2020-08-11	75004	29633	143130	1304	Moderate return
2020-08-12	76324	29570	147588	1320	Moderate return
2020-08-13	77663	29416	152303	1339	Moderate return
2020-08-14	79002	29295	156960	1339	Moderate return
2020-08-15	80360	29185	162182	1358	Moderate return
2020-08-16	81742	29237	166922	1382	Moderate return
2020-08-17	83119	29147	171960	1377	Moderate return
2020-08-18	84499	29019	177368	1380	Moderate return
2020-08-19	85906	28944	182759	1407	Moderate return
2020-08-20	87318	28997	188451	1412	Moderate return
2020-08-21	88739	28816	193994	1421	Moderate return
2020-08-22	90174	28853	200027	1435	Moderate return
2020-08-23	91615	28639	205560	1441	Moderate return
2020-08-24	93062	28499	211656	1447	Moderate return
2020-08-25	94526	28423	218043	1464	Moderate return
2020-08-26	96011	28305	224126	1485	Moderate return
2020-08-27	97502	28107	230857	1491	Moderate return
2020-08-28	99030	28045	237928	1528	Moderate return
2020-08-29	100574	27893	245388	1544	Moderate return
2020-08-30	102131	27730	252757	1557	Moderate return
2020-08-31	103707	27615	259506	1576	Moderate return
2020-09-01	105333	27551	267280	1626	Moderate return
2020-09-02	106965	27458	275086	1632	Moderate return
2020-09-03	108604	27222	283307	1639	Moderate return
2020-09-04	110281	26972	291596	1677	Moderate return
2020-09-05	111983	26782	301241	1702	Moderate return
2020-09-06	113703	26699	309893	1720	Moderate return
2020-09-07	115439	26501	318482	1736	Moderate return
2020-09-08	117197	26270	327447	1758	Moderate return
2020-09-09	119005	26124	337417	1808	Moderate return
2020-09-10	120832	25954	347874	1827	Moderate return
2020-09-11	122683	25676	357799	1851	Moderate return
2020-09-12	124571	25670	368662	1888	Moderate return
2020-09-13	126478	25463	378849	1907	Moderate return
2020-09-14	128420	25253	390412	1942	Moderate return
2020-09-15	130395	25042	402152	1975	Moderate return
2020-09-16	132411	24741	413126	2016	Moderate return
2020-09-17	134477	24679	425816	2066	Moderate return
2020-09-18	136572	24448	438315	2095	Moderate return
2020-09-19	138680	24255	451059	2108	Moderate return
2020-09-20	140841	24026	463873	2161	Moderate return
2020-09-21	143049	23862	476716	2208	Moderate return
2020-09-22	145291	23686	490194	2242	Moderate return
2020-09-23	147583	23498	505807	2292	Moderate return
2020-09-24	149907	23407	520671	2324	Moderate return
2020-09-25	152277	23092	535972	2370	Moderate return
2020-09-26	154693	22917	550811	2416	Moderate return
2020-09-27	157151	22685	567723	2458	Moderate return
2020-09-28	159687	22356	582902	2536	Moderate return
2020-09-29	162301	22247	599700	2614	Moderate return
2020-09-30	164915	21906	618881	2614	Moderate return
2020-10-01	167573	21799	635803	2658	Moderate return
2020-10-02	170320	21686	656094	2747	Moderate return
2020-10-03	173123	21295	674017	2803	Moderate return
2020-10-04	175965	21104	693718	2842	Moderate return
2020-10-05	178881	20851	714126	2916	Moderate return
2020-10-06	181863	20658	735131	2982	Moderate return
2020-10-07	184921	20566	755928	3058	Moderate return
2020-10-08	188000	20315	777381	3079	Moderate return
2020-10-09	191177	20010	800307	3177	Moderate return
2020-10-10	194385	19728	823792	3208	Moderate return
2020-10-11	197679	19562	846457	3294	Moderate return
2020-10-12	201071	19355	870552	3392	Moderate return
2020-10-13	204501	19150	895482	3430	Moderate return
2020-10-14	208026	18896	922480	3525	Moderate return
2020-10-15	211640	18739	946717	3614	Moderate return
2020-10-16	215276	18436	975095	3636	Moderate return
2020-10-17	219009	18303	1001651	3733	Moderate return
2020-10-18	222838	18042	1032735	3829	Moderate return
2020-10-19	226772	17879	1060112	3934	Moderate return
2020-10-20	230777	17761	1092973	4005	Moderate return
2020-10-21	234841	17656	1122897	4064	Moderate return
2020-10-22	238988	17290	1156734	4147	Moderate return
2020-10-23	243195	17165	1189331	4207	Moderate return
2020-10-24	247539	16956	1222844	4344	Moderate return
2020-10-25	251938	16651	1259313	4399	Moderate return
2020-10-26	256437	16588	1294467	4499	Moderate return
