stat	value
thetaS_last_obs_p_mean	0.9974177
thetaI_last_obs_p_mean	0.0007293566
thetaR_last_obs_p_mean	0.001852913
thetaS_last_obs_p_ci_low	0.9972113
thetaS_last_obs_p_ci_med	0.9974188
thetaS_last_obs_p_ci_up	0.9976187
thetaI_last_obs_p_ci_low	0.0006236966
thetaI_last_obs_p_ci_med	0.0007282018
thetaI_last_obs_p_ci_up	0.0008410536
thetaR_last_obs_p_ci_low	0.001683201
thetaR_last_obs_p_ci_med	0.001852184
thetaR_last_obs_p_ci_up	0.002027599
R0_p_mean	1.448312
R0_p_ci_low	0.958973
R0_p_ci_med	1.40415
R0_p_ci_up	2.204774
gamma_p_mean	0.06396334
gamma_p_ci_low	0.02534442
gamma_p_ci_med	0.06356771
gamma_p_ci_up	0.1052019
beta_p_mean	0.08963738
beta_p_ci_low	0.03930085
beta_p_ci_med	0.08936253
beta_p_ci_up	0.1410675
incidence_mean	0.00668496
incidence_ci_low	0.001740055
incidence_ci_median	0.004734524
incidence_ci_up	0.02356705
thetaI_tp1_mean	0.0004943524
thetaI_tp1_ci_low	0.0004224565
thetaI_tp1_ci_med	0.000493705
thetaI_tp1_ci_up	0.0005701518
thetaR_tp1_mean	0.0006520734
thetaR_tp1_ci_low	0.0005690514
thetaR_tp1_ci_med	0.0006514593
thetaR_tp1_ci_up	0.0007388663
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.004455251
R_tp1_ci_low	0.001477733
R_tp1_ci_med	0.003698377
R_tp1_ci_up	0.01189325
thetaI_tp2_mean	0.0007407887
thetaI_tp2_ci_low	0.0005380276
thetaI_tp2_ci_med	0.0007363554
thetaI_tp2_ci_up	0.000969837
thetaR_tp2_mean	0.001948189
thetaR_tp2_ci_low	0.001614182
thetaR_tp2_ci_med	0.001944135
thetaR_tp2_ci_up	0.002305292
Y_tp2_mean	0.0007406786
Y_tp2_ci_low	0.0004998739
Y_tp2_ci_med	0.0007345179
Y_tp2_ci_up	0.001016933
R_tp2_mean	0.001948352
R_tp2_ci_low	0.001549039
R_tp2_ci_med	0.001942664
R_tp2_ci_up	0.002379063
thetaR_max_mean	0.006609406
thetaR_max_ci_low	0.001088081
thetaR_max_ci_med	0.005225416
thetaR_max_ci_up	0.02076109
cumInf_mean	0.0072623
cumInf_ci_low	0.001099528
cumInf_ci_med	0.005395271
cumInf_ci_up	0.02504574
dthetaI_tp1_date	06/28/20
first_tp_mean	07/04/20
first_tp_ci_low	06/14/20
first_tp_ci_med	06/30/20
first_tp_ci_up	07/22/20
dthetaI_tp2_date	07/24/20
second_tp_mean	07/07/20
second_tp_ci_low	06/16/20
second_tp_ci_med	07/04/20
second_tp_ci_up	07/24/20
end_p_mean	11/27/20
end_p_ci_low	09/10/20
end_p_ci_med	12/24/20
end_p_ci_up	12/24/20
begin_str	06/08/2020
