date	value	lower_ci	upper_ci	incidence	scenario
2020-07-26	31291	22161	41839	NA	Normal (pre-intervention)
2020-07-27	32098	21433	44677	807	Normal (pre-intervention)
2020-07-28	32933	20854	47477	835	Normal (pre-intervention)
2020-07-29	33790	20399	50298	857	Normal (pre-intervention)
2020-07-30	34674	20012	52967	884	Normal (pre-intervention)
2020-07-31	35574	19690	55843	900	Normal (pre-intervention)
2020-08-01	36499	19376	58762	925	Normal (pre-intervention)
2020-08-02	37461	19105	61806	962	Normal (pre-intervention)
2020-08-03	38456	18923	64898	995	Normal (pre-intervention)
2020-08-04	39478	18629	68173	1022	Normal (pre-intervention)
2020-08-05	40526	18455	71546	1048	Normal (pre-intervention)
2020-08-06	41621	18285	75048	1095	Normal (pre-intervention)
2020-08-07	42749	18165	78909	1128	Normal (pre-intervention)
2020-08-08	43908	18062	82875	1159	Normal (pre-intervention)
2020-08-09	45096	17901	86972	1188	Normal (pre-intervention)
2020-08-10	46339	17769	91463	1243	Normal (pre-intervention)
2020-08-11	47629	17629	95865	1290	Normal (pre-intervention)
2020-08-12	48960	17540	100942	1331	Normal (pre-intervention)
2020-08-13	50340	17498	106232	1380	Normal (pre-intervention)
2020-08-14	51768	17375	111749	1428	Normal (pre-intervention)
2020-08-15	53252	17237	117440	1484	Normal (pre-intervention)
2020-08-16	54798	17219	123986	1546	Normal (pre-intervention)
2020-08-17	56402	17154	130646	1604	Normal (pre-intervention)
2020-08-18	58073	17061	137608	1671	Normal (pre-intervention)
2020-08-19	59804	16958	145219	1731	Normal (pre-intervention)
2020-08-20	61592	16889	153308	1788	Normal (pre-intervention)
2020-08-21	63471	16807	161895	1879	Normal (pre-intervention)
2020-08-22	65423	16794	170991	1952	Normal (pre-intervention)
2020-08-23	67437	16753	180572	2014	Normal (pre-intervention)
2020-08-24	69550	16820	190881	2113	Normal (pre-intervention)
2020-08-25	71761	16804	201697	2211	Normal (pre-intervention)
2020-08-26	74061	16726	213037	2300	Normal (pre-intervention)
2020-08-27	76470	16724	225197	2409	Normal (pre-intervention)
2020-08-28	78986	16740	238381	2516	Normal (pre-intervention)
2020-08-29	81622	16726	251915	2636	Normal (pre-intervention)
2020-08-30	84354	16736	266976	2732	Normal (pre-intervention)
2020-08-31	87217	16719	282061	2863	Normal (pre-intervention)
2020-09-01	90232	16672	298534	3015	Normal (pre-intervention)
2020-09-02	93374	16663	315788	3142	Normal (pre-intervention)
2020-09-03	96657	16632	334258	3283	Normal (pre-intervention)
2020-09-04	100128	16664	354218	3471	Normal (pre-intervention)
2020-09-05	103736	16557	375593	3608	Normal (pre-intervention)
2020-09-06	107509	16482	397606	3773	Normal (pre-intervention)
2020-09-07	111461	16453	421997	3952	Normal (pre-intervention)
2020-09-08	115602	16400	447119	4141	Normal (pre-intervention)
2020-09-09	119957	16421	473748	4355	Normal (pre-intervention)
2020-09-10	124505	16243	501715	4548	Normal (pre-intervention)
2020-09-11	129294	16295	531539	4789	Normal (pre-intervention)
2020-09-12	134319	16259	564439	5025	Normal (pre-intervention)
2020-09-13	139595	16286	597715	5276	Normal (pre-intervention)
2020-09-14	145098	16200	632839	5503	Normal (pre-intervention)
2020-09-15	150885	16141	670706	5787	Normal (pre-intervention)
2020-09-16	156944	16156	710645	6059	Normal (pre-intervention)
2020-09-17	163294	16103	752796	6350	Normal (pre-intervention)
2020-09-18	169952	16000	798410	6658	Normal (pre-intervention)
2020-09-19	176911	15983	847043	6959	Normal (pre-intervention)
2020-09-20	184200	15976	899080	7289	Normal (pre-intervention)
2020-09-21	191821	15770	951937	7621	Normal (pre-intervention)
2020-09-22	199826	15866	1007080	8005	Normal (pre-intervention)
2020-09-23	208150	15771	1067479	8324	Normal (pre-intervention)
2020-09-24	216864	15739	1130326	8714	Normal (pre-intervention)
2020-09-25	225981	15668	1196600	9117	Normal (pre-intervention)
2020-09-26	235489	15616	1267739	9508	Normal (pre-intervention)
2020-09-27	245425	15599	1340943	9936	Normal (pre-intervention)
2020-09-28	255798	15477	1418610	10373	Normal (pre-intervention)
2020-09-29	266608	15413	1498620	10810	Normal (pre-intervention)
2020-09-30	277839	15257	1584661	11231	Normal (pre-intervention)
2020-10-01	289518	15239	1676080	11679	Normal (pre-intervention)
2020-10-02	301667	15143	1771171	12149	Normal (pre-intervention)
2020-10-03	314321	15012	1874287	12654	Normal (pre-intervention)
2020-10-04	327471	14947	1981774	13150	Normal (pre-intervention)
2020-10-05	341117	14855	2093444	13646	Normal (pre-intervention)
2020-10-06	355249	14861	2206838	14132	Normal (pre-intervention)
2020-10-07	369907	14755	2328117	14658	Normal (pre-intervention)
2020-10-08	385055	14654	2453205	15148	Normal (pre-intervention)
2020-10-09	400742	14473	2593380	15687	Normal (pre-intervention)
2020-10-10	416950	14436	2721128	16208	Normal (pre-intervention)
2020-10-11	433688	14357	2863005	16738	Normal (pre-intervention)
2020-10-12	450973	14192	3013703	17285	Normal (pre-intervention)
2020-10-13	468786	14165	3165297	17813	Normal (pre-intervention)
2020-10-14	487163	14140	3323134	18377	Normal (pre-intervention)
2020-10-15	506058	14067	3490814	18895	Normal (pre-intervention)
2020-10-16	525485	13939	3667672	19427	Normal (pre-intervention)
2020-10-17	545476	13898	3835479	19991	Normal (pre-intervention)
2020-10-18	566017	13866	4017992	20541	Normal (pre-intervention)
2020-10-19	587103	13646	4201618	21086	Normal (pre-intervention)
2020-10-20	608728	13626	4389742	21625	Normal (pre-intervention)
2020-10-21	630862	13538	4581940	22134	Normal (pre-intervention)
2020-10-22	653555	13370	4776523	22693	Normal (pre-intervention)
2020-10-23	676772	13349	4980512	23217	Normal (pre-intervention)
2020-10-24	700490	13281	5185761	23718	Normal (pre-intervention)
2020-10-25	724751	13187	5391859	24261	Normal (pre-intervention)
2020-10-26	749542	12979	5614273	24791	Normal (pre-intervention)
2020-10-27	774819	12921	5823435	25277	Normal (pre-intervention)
2020-10-28	800591	12777	6045979	25772	Normal (pre-intervention)
2020-10-29	826893	12632	6270123	26302	Normal (pre-intervention)
2020-10-30	853646	12735	6491405	26753	Normal (pre-intervention)
2020-10-31	880881	12505	6721631	27235	Normal (pre-intervention)
2020-11-01	908571	12521	6964249	27690	Normal (pre-intervention)
2020-11-02	936743	12289	7196312	28172	Normal (pre-intervention)
2020-11-03	965341	12234	7433214	28598	Normal (pre-intervention)
2020-11-04	994384	12216	7666954	29043	Normal (pre-intervention)
2020-11-05	1023896	11954	7905069	29512	Normal (pre-intervention)
2020-11-06	1053791	12057	8153526	29895	Normal (pre-intervention)
2020-11-07	1084131	11852	8389628	30340	Normal (pre-intervention)
2020-11-08	1114839	11792	8629875	30708	Normal (pre-intervention)
2020-11-09	1145965	11656	8871270	31126	Normal (pre-intervention)
2020-11-10	1177434	11559	9118926	31469	Normal (pre-intervention)
2020-11-11	1209267	11543	9358492	31833	Normal (pre-intervention)
2020-11-12	1241412	11478	9599903	32145	Normal (pre-intervention)
2020-11-13	1273960	11404	9845700	32548	Normal (pre-intervention)
2020-11-14	1306823	11319	10087874	32863	Normal (pre-intervention)
2020-11-15	1340038	11254	10322539	33215	Normal (pre-intervention)
2020-11-16	1373520	11154	10560517	33482	Normal (pre-intervention)
2020-11-17	1407367	11022	10803158	33847	Normal (pre-intervention)
2020-11-18	1441436	10994	11055205	34069	Normal (pre-intervention)
2020-11-19	1475787	10886	11280441	34351	Normal (pre-intervention)
2020-11-20	1510361	10735	11505366	34574	Normal (pre-intervention)
2020-11-21	1545184	10778	11739218	34823	Normal (pre-intervention)
2020-11-22	1580298	10590	11957977	35114	Normal (pre-intervention)
2020-11-23	1615591	10516	12192049	35293	Normal (pre-intervention)
2020-11-24	1651078	10431	12404967	35487	Normal (pre-intervention)
2020-11-25	1686746	10285	12605133	35668	Normal (pre-intervention)
2020-11-26	1722627	10205	12815468	35881	Normal (pre-intervention)
2020-11-27	1758664	10242	13023274	36037	Normal (pre-intervention)
2020-11-28	1794914	10144	13230846	36250	Normal (pre-intervention)
2020-11-29	1831232	9989	13423810	36318	Normal (pre-intervention)
2020-11-30	1867677	9882	13633886	36445	Normal (pre-intervention)
2020-12-01	1904406	9819	13816984	36729	Normal (pre-intervention)
2020-12-02	1941167	9710	14006764	36761	Normal (pre-intervention)
2020-12-03	1978081	9609	14178676	36914	Normal (pre-intervention)
2020-12-04	2015045	9586	14364862	36964	Normal (pre-intervention)
2020-12-05	2052086	9504	14538020	37041	Normal (pre-intervention)
2020-12-06	2089235	9374	14718877	37149	Normal (pre-intervention)
2020-12-07	2126425	9262	14888043	37190	Normal (pre-intervention)
2020-12-08	2163666	9228	15058996	37241	Normal (pre-intervention)
