stat	value
thetaS_last_obs_p_mean	0.9991527
thetaI_last_obs_p_mean	0.0003567333
thetaR_last_obs_p_mean	0.0004905406
thetaS_last_obs_p_ci_low	0.9990313
thetaS_last_obs_p_ci_med	0.9991537
thetaS_last_obs_p_ci_up	0.999268
thetaI_last_obs_p_ci_low	0.0002839756
thetaI_last_obs_p_ci_med	0.0003556658
thetaI_last_obs_p_ci_up	0.0004352935
thetaR_last_obs_p_ci_low	0.0004041732
thetaR_last_obs_p_ci_med	0.0004893882
thetaR_last_obs_p_ci_up	0.0005829367
R0_p_mean	1.715956
R0_p_ci_low	0.9744416
R0_p_ci_med	1.636548
R0_p_ci_up	2.932376
gamma_p_mean	0.07004177
gamma_p_ci_low	0.02215205
gamma_p_ci_med	0.06830439
gamma_p_ci_up	0.1283944
beta_p_mean	0.1137708
beta_p_ci_low	0.03903545
beta_p_ci_med	0.1126551
beta_p_ci_up	0.1949945
incidence_mean	0.01365863
incidence_ci_low	0.0006417396
incidence_ci_median	0.003155666
incidence_ci_up	0.1024208
thetaI_tp1_mean	0.003337181
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	2.929777e-05
thetaI_tp1_ci_up	0.03154736
thetaR_tp1_mean	0.01021647
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.003096306
thetaR_tp1_ci_up	0.07008607
Y_tp1_mean	0.003338347
Y_tp1_ci_low	0
Y_tp1_ci_med	2.659517e-05
Y_tp1_ci_up	0.03147323
R_tp1_mean	0.01021622
R_tp1_ci_low	0
R_tp1_ci_med	0.003094489
R_tp1_ci_up	0.07005428
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01021647
thetaR_max_ci_low	0
thetaR_max_ci_med	0.003096306
thetaR_max_ci_up	0.07008607
cumInf_mean	0.01355365
cumInf_ci_low	0
cumInf_ci_med	0.003291589
cumInf_ci_up	0.1020906
dthetaI_tp1_date	01/06/21
first_tp_mean	08/14/20
first_tp_ci_low	07/12/20
first_tp_ci_med	07/22/20
first_tp_ci_up	01/06/21
dthetaI_tp2_date	01/06/21
second_tp_mean	08/17/20
second_tp_ci_low	07/15/20
second_tp_ci_med	07/25/20
second_tp_ci_up	01/06/21
end_p_mean	12/01/20
end_p_ci_low	09/04/20
end_p_ci_med	01/06/21
end_p_ci_up	01/06/21
begin_str	06/21/2020
