stat	value
thetaS_last_obs_p_mean	0.9993706
thetaI_last_obs_p_mean	0.0002165357
thetaR_last_obs_p_mean	0.0004128512
thetaS_last_obs_p_ci_low	0.9992678
thetaS_last_obs_p_ci_med	0.9993716
thetaS_last_obs_p_ci_up	0.9994675
thetaI_last_obs_p_ci_low	0.0001608738
thetaI_last_obs_p_ci_med	0.0002156909
thetaI_last_obs_p_ci_up	0.0002777029
thetaR_last_obs_p_ci_low	0.0003356503
thetaR_last_obs_p_ci_med	0.000411966
thetaR_last_obs_p_ci_up	0.0004951163
R0_p_mean	1.850814
R0_p_ci_low	0.9857641
R0_p_ci_med	1.726737
R0_p_ci_up	3.434105
gamma_p_mean	0.08332796
gamma_p_ci_low	0.01742826
gamma_p_ci_med	0.07690994
gamma_p_ci_up	0.185111
beta_p_mean	0.1413662
beta_p_ci_low	0.03158398
beta_p_ci_med	0.137886
beta_p_ci_up	0.2733607
incidence_mean	0.02780795
incidence_ci_low	0.0002704092
incidence_ci_median	0.002268228
incidence_ci_up	0.2975124
thetaI_tp1_mean	0.005087509
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	2.733822e-05
thetaI_tp1_ci_up	0.05404287
thetaR_tp1_mean	0.01228759
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.002211074
thetaR_tp1_ci_up	0.1033312
Y_tp1_mean	0.005087427
Y_tp1_ci_low	0
Y_tp1_ci_med	2.424518e-05
Y_tp1_ci_up	0.05407268
R_tp1_mean	0.01228723
R_tp1_ci_low	0
R_tp1_ci_med	0.002211542
R_tp1_ci_up	0.1034509
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.02050257
thetaR_max_ci_low	0
thetaR_max_ci_med	0.002417234
thetaR_max_ci_up	0.204759
cumInf_mean	0.02768554
cumInf_ci_low	0
cumInf_ci_med	0.002578591
cumInf_ci_up	0.29452
dthetaI_tp1_date	12/15/20
first_tp_mean	09/02/20
first_tp_ci_low	07/15/20
first_tp_ci_med	08/01/20
first_tp_ci_up	01/07/21
dthetaI_tp2_date	12/15/20
second_tp_mean	09/06/20
second_tp_ci_low	07/17/20
second_tp_ci_med	08/03/20
second_tp_ci_up	01/07/21
end_p_mean	11/23/20
end_p_ci_low	08/28/20
end_p_ci_med	12/29/20
end_p_ci_up	01/07/21
begin_str	06/22/2020
