date	value	lower_ci	upper_ci	incidence	scenario
2020-08-06	67827	47664	91183	NA	Soc. Dist. + Travel Ban
2020-08-07	68694	45337	96170	867	Soc. Dist. + Travel Ban
2020-08-08	69565	43481	100646	871	Soc. Dist. + Travel Ban
2020-08-09	70439	41815	105274	874	Soc. Dist. + Travel Ban
2020-08-10	71305	40343	109461	866	Soc. Dist. + Travel Ban
2020-08-11	72206	39086	113701	901	Soc. Dist. + Travel Ban
2020-08-12	73094	37970	117836	888	Soc. Dist. + Travel Ban
2020-08-13	73995	36965	121970	901	Soc. Dist. + Travel Ban
2020-08-14	74884	35974	126166	889	Soc. Dist. + Travel Ban
2020-08-15	75812	34983	129981	928	Soc. Dist. + Travel Ban
2020-08-16	76715	34215	134390	903	Soc. Dist. + Travel Ban
2020-08-17	77666	33313	138402	951	Soc. Dist. + Travel Ban
2020-08-18	78620	32737	142318	954	Soc. Dist. + Travel Ban
2020-08-19	79575	31999	146555	955	Soc. Dist. + Travel Ban
2020-08-20	80526	31469	150789	951	Soc. Dist. + Travel Ban
2020-08-21	81505	30876	155236	979	Soc. Dist. + Travel Ban
2020-08-22	82469	30275	159450	964	Soc. Dist. + Travel Ban
2020-08-23	83477	29743	163790	1008	Soc. Dist. + Travel Ban
2020-08-24	84503	29251	168180	1026	Soc. Dist. + Travel Ban
2020-08-25	85527	28667	172692	1024	Soc. Dist. + Travel Ban
2020-08-26	86555	28167	177328	1028	Soc. Dist. + Travel Ban
2020-08-27	87604	27832	181604	1049	Soc. Dist. + Travel Ban
2020-08-28	88681	27402	186824	1077	Soc. Dist. + Travel Ban
2020-08-29	89768	26920	191688	1087	Soc. Dist. + Travel Ban
2020-08-30	90870	26606	196649	1102	Soc. Dist. + Travel Ban
2020-08-31	91999	26307	202002	1129	Soc. Dist. + Travel Ban
2020-09-01	93128	26009	207279	1129	Soc. Dist. + Travel Ban
2020-09-02	94281	25753	213016	1153	Soc. Dist. + Travel Ban
2020-09-03	95442	25533	217977	1161	Soc. Dist. + Travel Ban
