stat	value
thetaS_last_obs_p_mean	0.9960114
thetaI_last_obs_p_mean	0.001701435
thetaR_last_obs_p_mean	0.002287149
thetaS_last_obs_p_ci_low	0.9957423
thetaS_last_obs_p_ci_med	0.9960124
thetaS_last_obs_p_ci_up	0.9962757
thetaI_last_obs_p_ci_low	0.001531416
thetaI_last_obs_p_ci_med	0.001699729
thetaI_last_obs_p_ci_up	0.001879479
thetaR_last_obs_p_ci_low	0.002089414
thetaR_last_obs_p_ci_med	0.002286235
thetaR_last_obs_p_ci_up	0.002489758
R0_p_mean	1.765218
R0_p_ci_low	1.341573
R0_p_ci_med	1.737608
R0_p_ci_up	2.350214
gamma_p_mean	0.08247023
gamma_p_ci_low	0.0509475
gamma_p_ci_med	0.08213426
gamma_p_ci_up	0.1158472
beta_p_mean	0.142969
beta_p_ci_low	0.09836868
beta_p_ci_med	0.1429126
beta_p_ci_up	0.1881287
incidence_mean	0.04762636
incidence_ci_low	0.008126792
incidence_ci_median	0.03049467
incidence_ci_up	0.1937748
thetaI_tp1_mean	0.001264446
thetaI_tp1_ci_low	0.001143178
thetaI_tp1_ci_med	0.001263803
thetaI_tp1_ci_up	0.001388452
thetaR_tp1_mean	0.001158732
thetaR_tp1_ci_low	0.001042279
thetaR_tp1_ci_med	0.001157933
thetaR_tp1_ci_up	0.001280193
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.01827775
R_tp1_ci_low	0.002825018
R_tp1_ci_med	0.01243032
R_tp1_ci_up	0.0710292
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.04138469
thetaR_max_ci_low	0.006586729
thetaR_max_ci_med	0.02830998
thetaR_max_ci_up	0.1565822
cumInf_mean	0.04753792
cumInf_ci_low	0.006646366
cumInf_ci_med	0.03065448
cumInf_ci_up	0.1934193
dthetaI_tp1_date	07/29/20
first_tp_mean	08/09/20
first_tp_ci_low	07/23/20
first_tp_ci_med	07/29/20
first_tp_ci_up	12/31/20
dthetaI_tp2_date	07/29/20
second_tp_mean	08/17/20
second_tp_ci_low	07/26/20
second_tp_ci_med	08/03/20
second_tp_ci_up	01/03/21
end_p_mean	01/04/21
end_p_ci_low	11/20/20
end_p_ci_med	01/08/21
end_p_ci_up	01/08/21
begin_str	06/23/2020
