stat	value
thetaS_last_obs_p_mean	0.99823
thetaI_last_obs_p_mean	0.000520711
thetaR_last_obs_p_mean	0.001249246
thetaS_last_obs_p_ci_low	0.998057
thetaS_last_obs_p_ci_med	0.9982308
thetaS_last_obs_p_ci_up	0.9983978
thetaI_last_obs_p_ci_low	0.0004305392
thetaI_last_obs_p_ci_med	0.0005197735
thetaI_last_obs_p_ci_up	0.0006153385
thetaR_last_obs_p_ci_low	0.00110926
thetaR_last_obs_p_ci_med	0.001248329
thetaR_last_obs_p_ci_up	0.001393745
R0_p_mean	1.594535
R0_p_ci_low	1.05255
R0_p_ci_med	1.519794
R0_p_ci_up	2.588862
gamma_p_mean	0.09430723
gamma_p_ci_low	0.02974601
gamma_p_ci_med	0.09275776
gamma_p_ci_up	0.1689665
beta_p_mean	0.1424096
beta_p_ci_low	0.05558743
beta_p_ci_med	0.1420928
beta_p_ci_up	0.2315812
incidence_mean	0.4006475
incidence_ci_low	0.005013199
incidence_ci_median	0.422545
incidence_ci_up	0.8428824
thetaI_tp1_mean	0.02753053
thetaI_tp1_ci_low	0.0002766202
thetaI_tp1_ci_med	0.01304965
thetaI_tp1_ci_up	0.1338944
thetaR_tp1_mean	0.05272235
thetaR_tp1_ci_low	0.002620054
thetaR_tp1_ci_med	0.02698962
thetaR_tp1_ci_up	0.2603519
Y_tp1_mean	0.02753207
Y_tp1_ci_low	0.0002680531
Y_tp1_ci_med	0.0130633
Y_tp1_ci_up	0.1340415
R_tp1_mean	0.05272303
R_tp1_ci_low	0.002612555
R_tp1_ci_med	0.02699384
R_tp1_ci_up	0.2603151
thetaI_tp2_mean	0.05151834
thetaI_tp2_ci_low	0.000228956
thetaI_tp2_ci_med	0.03810424
thetaI_tp2_ci_up	0.1876499
thetaR_tp2_mean	0.2181837
thetaR_tp2_ci_low	0.003843543
thetaR_tp2_ci_med	0.1503864
thetaR_tp2_ci_up	0.6845873
Y_tp2_mean	0.0515154
Y_tp2_ci_low	0.0002232666
Y_tp2_ci_med	0.03809926
Y_tp2_ci_up	0.1877107
R_tp2_mean	0.2181845
R_tp2_ci_low	0.003838363
R_tp2_ci_med	0.150338
R_tp2_ci_up	0.6844472
thetaR_max_mean	0.3592294
thetaR_max_ci_low	0.004896713
thetaR_max_ci_med	0.3610133
thetaR_max_ci_up	0.7990412
cumInf_mean	0.3997722
cumInf_ci_low	0.005498529
cumInf_ci_med	0.4207535
cumInf_ci_up	0.8428108
dthetaI_tp1_date	10/18/20
first_tp_mean	11/08/20
first_tp_ci_low	08/03/20
first_tp_ci_med	11/10/20
first_tp_ci_up	01/09/21
dthetaI_tp2_date	12/01/20
second_tp_mean	11/26/20
second_tp_ci_low	08/04/20
second_tp_ci_med	12/06/20
second_tp_ci_up	01/09/21
end_p_mean	01/07/21
end_p_ci_low	01/09/21
end_p_ci_med	01/09/21
end_p_ci_up	01/09/21
begin_str	06/24/2020
