stat	value
thetaS_last_obs_p_mean	0.99942
thetaI_last_obs_p_mean	0.0001336115
thetaR_last_obs_p_mean	0.0004464369
thetaS_last_obs_p_ci_low	0.9993191
thetaS_last_obs_p_ci_med	0.9994202
thetaS_last_obs_p_ci_up	0.9995137
thetaI_last_obs_p_ci_low	8.941541e-05
thetaI_last_obs_p_ci_med	0.0001329709
thetaI_last_obs_p_ci_up	0.0001827567
thetaR_last_obs_p_ci_low	0.0003686551
thetaR_last_obs_p_ci_med	0.0004457261
thetaR_last_obs_p_ci_up	0.0005317828
R0_p_mean	1.726063
R0_p_ci_low	0.8384303
R0_p_ci_med	1.574589
R0_p_ci_up	3.527289
gamma_p_mean	0.05614195
gamma_p_ci_low	0.009257647
gamma_p_ci_med	0.04748419
gamma_p_ci_up	0.1484535
beta_p_mean	0.08749317
beta_p_ci_low	0.01486114
beta_p_ci_med	0.0798514
beta_p_ci_up	0.2012039
incidence_mean	0.005245913
incidence_ci_low	0.0001017966
incidence_ci_median	0.0007156536
incidence_ci_up	0.04806078
thetaI_tp1_mean	0.001617032
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0
thetaI_tp1_ci_up	0.01618423
thetaR_tp1_mean	0.003760589
thetaR_tp1_ci_low	0
thetaR_tp1_ci_med	0.0008130478
thetaR_tp1_ci_up	0.03350865
Y_tp1_mean	0.001611859
Y_tp1_ci_low	0
Y_tp1_ci_med	0
Y_tp1_ci_up	0.01652417
R_tp1_mean	0.003755795
R_tp1_ci_low	0
R_tp1_ci_med	0.0008172224
R_tp1_ci_up	0.03287412
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.003760589
thetaR_max_ci_low	0
thetaR_max_ci_med	0.0008130478
thetaR_max_ci_up	0.03350865
cumInf_mean	0.00537762
cumInf_ci_low	0
cumInf_ci_med	0.0008615454
cumInf_ci_up	0.0484557
dthetaI_tp1_date	01/14/21
first_tp_mean	08/09/20
first_tp_ci_low	07/06/20
first_tp_ci_med	07/24/20
first_tp_ci_up	01/14/21
dthetaI_tp2_date	01/14/21
second_tp_mean	08/11/20
second_tp_ci_low	07/08/20
second_tp_ci_med	07/26/20
second_tp_ci_up	01/14/21
end_p_mean	11/06/20
end_p_ci_low	08/27/20
end_p_ci_med	10/22/20
end_p_ci_up	01/14/21
begin_str	06/29/2020
