stat	value
thetaS_last_obs_p_mean	0.999026
thetaI_last_obs_p_mean	0.0003273549
thetaR_last_obs_p_mean	0.0006466024
thetaS_last_obs_p_ci_low	0.9988986
thetaS_last_obs_p_ci_med	0.9990269
thetaS_last_obs_p_ci_up	0.9991482
thetaI_last_obs_p_ci_low	0.0002579406
thetaI_last_obs_p_ci_med	0.0003263451
thetaI_last_obs_p_ci_up	0.0004021592
thetaR_last_obs_p_ci_low	0.0005478176
thetaR_last_obs_p_ci_med	0.0006458502
thetaR_last_obs_p_ci_up	0.0007496011
R0_p_mean	1.7951
R0_p_ci_low	0.972527
R0_p_ci_med	1.681162
R0_p_ci_up	3.269081
gamma_p_mean	0.0654785
gamma_p_ci_low	0.01493664
gamma_p_ci_med	0.06093674
gamma_p_ci_up	0.1411172
beta_p_mean	0.1085362
beta_p_ci_low	0.02637299
beta_p_ci_med	0.1060569
beta_p_ci_up	0.2062538
incidence_mean	0.01446956
incidence_ci_low	0.0004286302
incidence_ci_median	0.00288651
incidence_ci_up	0.1140393
thetaI_tp1_mean	0.004071074
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	6.908035e-05
thetaI_tp1_ci_up	0.03914896
thetaR_tp1_mean	0.01053839
thetaR_tp1_ci_low	3.470978e-05
thetaR_tp1_ci_med	0.003038428
thetaR_tp1_ci_up	0.07425083
Y_tp1_mean	0.004070586
Y_tp1_ci_low	0
Y_tp1_ci_med	6.671352e-05
Y_tp1_ci_up	0.03912358
R_tp1_mean	0.01053942
R_tp1_ci_low	3.302222e-05
R_tp1_ci_med	0.003041507
R_tp1_ci_up	0.07424085
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01053839
thetaR_max_ci_low	3.470978e-05
thetaR_max_ci_med	0.003038428
thetaR_max_ci_up	0.07425083
cumInf_mean	0.01460946
cumInf_ci_low	3.621232e-05
cumInf_ci_med	0.003283706
cumInf_ci_up	0.1132582
dthetaI_tp1_date	01/14/21
first_tp_mean	08/30/20
first_tp_ci_low	07/19/20
first_tp_ci_med	08/07/20
first_tp_ci_up	01/14/21
dthetaI_tp2_date	01/14/21
second_tp_mean	09/03/20
second_tp_ci_low	07/21/20
second_tp_ci_med	08/10/20
second_tp_ci_up	01/14/21
end_p_mean	12/10/20
end_p_ci_low	09/12/20
end_p_ci_med	01/14/21
end_p_ci_up	01/14/21
begin_str	06/29/2020
