stat	value
thetaS_last_obs_p_mean	0.9977979
thetaI_last_obs_p_mean	0.0005802827
thetaR_last_obs_p_mean	0.001621849
thetaS_last_obs_p_ci_low	0.997606
thetaS_last_obs_p_ci_med	0.9977988
thetaS_last_obs_p_ci_up	0.9979843
thetaI_last_obs_p_ci_low	0.0004868796
thetaI_last_obs_p_ci_med	0.0005791951
thetaI_last_obs_p_ci_up	0.000679902
thetaR_last_obs_p_ci_low	0.001462029
thetaR_last_obs_p_ci_med	0.001620935
thetaR_last_obs_p_ci_up	0.001785195
R0_p_mean	1.474954
R0_p_ci_low	0.867183
R0_p_ci_med	1.411154
R0_p_ci_up	2.479828
gamma_p_mean	0.04856518
gamma_p_ci_low	0.01459678
gamma_p_ci_med	0.04740824
gamma_p_ci_up	0.08963243
beta_p_mean	0.0682371
beta_p_ci_low	0.0222144
beta_p_ci_med	0.06735094
beta_p_ci_up	0.1198571
incidence_mean	0.01311894
incidence_ci_low	0.001104837
incidence_ci_median	0.005744044
incidence_ci_up	0.07329803
thetaI_tp1_mean	0.00321929
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.0005421579
thetaI_tp1_ci_up	0.02419882
thetaR_tp1_mean	0.01054969
thetaR_tp1_ci_low	0.0008450043
thetaR_tp1_ci_med	0.005949017
thetaR_tp1_ci_up	0.05037312
Y_tp1_mean	0.003218994
Y_tp1_ci_low	0
Y_tp1_ci_med	0.0005399702
Y_tp1_ci_up	0.02425767
R_tp1_mean	0.0105505
R_tp1_ci_low	0.000837705
R_tp1_ci_med	0.005947833
R_tp1_ci_up	0.05035814
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01054969
thetaR_max_ci_low	0.0008450043
thetaR_max_ci_med	0.005949017
thetaR_max_ci_up	0.05037312
cumInf_mean	0.01376898
cumInf_ci_low	0.0008724957
cumInf_ci_med	0.006656888
cumInf_ci_up	0.07396053
dthetaI_tp1_date	01/16/21
first_tp_mean	08/11/20
first_tp_ci_low	07/07/20
first_tp_ci_med	07/20/20
first_tp_ci_up	01/16/21
dthetaI_tp2_date	01/16/21
second_tp_mean	08/13/20
second_tp_ci_low	07/09/20
second_tp_ci_med	07/24/20
second_tp_ci_up	01/16/21
end_p_mean	12/31/20
end_p_ci_low	10/05/20
end_p_ci_med	01/16/21
end_p_ci_up	01/16/21
begin_str	07/01/2020
