stat	value
thetaS_last_obs_p_mean	0.9949162
thetaI_last_obs_p_mean	0.001358307
thetaR_last_obs_p_mean	0.003725506
thetaS_last_obs_p_ci_low	0.9946282
thetaS_last_obs_p_ci_med	0.994917
thetaS_last_obs_p_ci_up	0.9951996
thetaI_last_obs_p_ci_low	0.001212984
thetaI_last_obs_p_ci_med	0.001357515
thetaI_last_obs_p_ci_up	0.00150957
thetaR_last_obs_p_ci_low	0.003484748
thetaR_last_obs_p_ci_med	0.003724892
thetaR_last_obs_p_ci_up	0.00397068
R0_p_mean	1.33718
R0_p_ci_low	0.917546
R0_p_ci_med	1.306996
R0_p_ci_up	1.93734
gamma_p_mean	0.04981845
gamma_p_ci_low	0.02212639
gamma_p_ci_med	0.04965924
gamma_p_ci_up	0.07852172
beta_p_mean	0.06508117
beta_p_ci_low	0.03064944
beta_p_ci_med	0.06498938
beta_p_ci_up	0.1002754
incidence_mean	0.08056075
incidence_ci_low	0.006099389
incidence_ci_median	0.04760895
incidence_ci_up	0.3477505
thetaI_tp1_mean	0.01686492
thetaI_tp1_ci_low	0.0002016477
thetaI_tp1_ci_med	0.008642696
thetaI_tp1_ci_up	0.08201743
thetaR_tp1_mean	0.046925
thetaR_tp1_ci_low	0.006702317
thetaR_tp1_ci_med	0.0308394
thetaR_tp1_ci_up	0.1857854
Y_tp1_mean	0.0168646
Y_tp1_ci_low	0.0001983334
Y_tp1_ci_med	0.008645004
Y_tp1_ci_up	0.08193623
R_tp1_mean	0.04692565
R_tp1_ci_low	0.006699346
R_tp1_ci_med	0.03083783
R_tp1_ci_up	0.1857208
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.06135518
thetaR_max_ci_low	0.006969153
thetaR_max_ci_med	0.03815661
thetaR_max_ci_up	0.2554254
cumInf_mean	0.08182208
cumInf_ci_low	0.00759592
cumInf_ci_med	0.04917251
cumInf_ci_up	0.3473285
dthetaI_tp1_date	12/31/20
first_tp_mean	10/15/20
first_tp_ci_low	07/06/20
first_tp_ci_med	12/02/20
first_tp_ci_up	01/16/21
dthetaI_tp2_date	12/31/20
second_tp_mean	10/18/20
second_tp_ci_low	07/08/20
second_tp_ci_med	12/10/20
second_tp_ci_up	01/16/21
end_p_mean	01/15/21
end_p_ci_low	01/16/21
end_p_ci_med	01/16/21
end_p_ci_up	01/16/21
begin_str	07/01/2020
