date	value	lower_ci	upper_ci	incidence	scenario
2020-08-16	44285	31382	58995	NA	Cautious return
2020-08-17	45220	30274	62571	935	Cautious return
2020-08-18	46140	29338	65963	920	Cautious return
2020-08-19	47060	28487	69159	920	Cautious return
2020-08-20	47980	27850	72405	920	Cautious return
2020-08-21	48903	27286	75374	923	Cautious return
2020-08-22	49826	26734	78446	923	Cautious return
2020-08-23	50738	26271	81479	912	Cautious return
2020-08-24	51660	25774	84538	922	Cautious return
2020-08-25	52576	25354	87592	916	Cautious return
2020-08-26	53488	25055	90542	912	Cautious return
2020-08-27	54403	24737	93411	915	Cautious return
2020-08-28	55321	24502	96494	918	Cautious return
2020-08-29	56250	24192	99434	929	Cautious return
2020-08-30	57177	23906	102546	927	Cautious return
2020-08-31	58094	23680	105529	917	Cautious return
2020-09-01	59019	23404	108763	925	Cautious return
2020-09-02	59947	23253	111691	928	Cautious return
2020-09-03	60859	23034	114716	912	Cautious return
2020-09-04	61786	22895	117913	927	Cautious return
2020-09-05	62711	22728	120992	925	Cautious return
2020-09-06	63643	22497	124111	932	Cautious return
2020-09-07	64566	22418	127254	923	Cautious return
2020-09-08	65492	22136	130731	926	Cautious return
2020-09-09	66416	21990	133915	924	Cautious return
2020-09-10	67336	21899	137114	920	Cautious return
2020-09-11	68276	21770	140477	940	Cautious return
2020-09-12	69207	21621	144090	931	Cautious return
2020-09-13	70153	21475	147379	946	Cautious return
2020-09-14	71098	21344	151115	945	Cautious return
2020-09-15	72035	21227	154738	937	Cautious return
2020-09-16	72991	21039	158310	956	Cautious return
2020-09-17	73945	20924	161654	954	Cautious return
2020-09-18	74901	20885	165537	956	Cautious return
2020-09-19	75870	20798	169143	969	Cautious return
2020-09-20	76846	20721	173110	976	Cautious return
2020-09-21	77825	20617	176964	979	Cautious return
2020-09-22	78795	20634	180736	970	Cautious return
2020-09-23	79795	20614	185046	1000	Cautious return
2020-09-24	80800	20559	189070	1005	Cautious return
2020-09-25	81817	20525	193138	1017	Cautious return
2020-09-26	82828	20501	197001	1011	Cautious return
2020-09-27	83838	20416	201477	1010	Cautious return
2020-09-28	84865	20336	205692	1027	Cautious return
2020-09-29	85886	20330	210099	1021	Cautious return
2020-09-30	86924	20317	214500	1038	Cautious return
2020-10-01	87973	20278	219164	1049	Cautious return
2020-10-02	89018	20171	224220	1045	Cautious return
2020-10-03	90072	20105	229044	1054	Cautious return
2020-10-04	91129	20059	233821	1057	Cautious return
2020-10-05	92200	20070	238611	1071	Cautious return
2020-10-06	93289	19824	243577	1089	Cautious return
2020-10-07	94375	19856	249132	1086	Cautious return
2020-10-08	95491	19727	253961	1116	Cautious return
2020-10-09	96598	19676	259616	1107	Cautious return
2020-10-10	97717	19648	265259	1119	Cautious return
2020-10-11	98856	19539	270578	1139	Cautious return
2020-10-12	99997	19420	276636	1141	Cautious return
2020-10-13	101141	19325	282043	1144	Cautious return
2020-10-14	102289	19321	287587	1148	Cautious return
2020-10-15	103453	19237	293413	1164	Cautious return
2020-10-16	104635	19192	299959	1182	Cautious return
2020-10-17	105818	18988	305892	1183	Cautious return
2020-10-18	107036	18825	312912	1218	Cautious return
2020-10-19	108245	18808	318758	1209	Cautious return
2020-10-20	109463	18648	325530	1218	Cautious return
2020-10-21	110696	18510	332501	1233	Cautious return
2020-10-22	111962	18416	339475	1266	Cautious return
2020-10-23	113237	18394	346318	1275	Cautious return
2020-10-24	114521	18328	353428	1284	Cautious return
2020-10-25	115827	18281	360971	1306	Cautious return
2020-10-26	117139	18012	367734	1312	Cautious return
2020-10-27	118467	17858	375492	1328	Cautious return
2020-10-28	119823	17848	383363	1356	Cautious return
2020-10-29	121196	17657	391122	1373	Cautious return
2020-10-30	122574	17644	399431	1378	Cautious return
2020-10-31	123990	17483	407755	1416	Cautious return
2020-11-01	125404	17275	417162	1414	Cautious return
2020-11-02	126840	17332	423491	1436	Cautious return
2020-11-03	128292	17050	433068	1452	Cautious return
2020-11-04	129764	16972	442382	1472	Cautious return
2020-11-05	131239	16813	451160	1475	Cautious return
2020-11-06	132755	16761	460886	1516	Cautious return
2020-11-07	134275	16632	470100	1520	Cautious return
2020-11-08	135837	16482	480665	1562	Cautious return
2020-11-09	137414	16457	489418	1577	Cautious return
2020-11-10	138999	16214	500501	1585	Cautious return
2020-11-11	140632	16106	509875	1633	Cautious return
2020-11-12	142263	15886	520654	1631	Cautious return
2020-11-13	143897	15819	531287	1634	Cautious return
2020-11-14	145555	15745	542148	1658	Cautious return
2020-11-15	147254	15527	552836	1699	Cautious return
2020-11-16	148958	15461	564089	1704	Cautious return
2020-11-17	150704	15367	575201	1746	Cautious return
2020-11-18	152479	15209	587943	1775	Cautious return
2020-11-19	154278	15080	599441	1799	Cautious return
2020-11-20	156108	14963	611375	1830	Cautious return
2020-11-21	157979	14896	624871	1871	Cautious return
2020-11-22	159868	14655	637270	1889	Cautious return
2020-11-23	161777	14427	649425	1909	Cautious return
2020-11-24	163718	14350	663644	1941	Cautious return
2020-11-25	165695	14323	675711	1977	Cautious return
2020-11-26	167686	14065	690359	1991	Cautious return
2020-11-27	169712	13906	704480	2026	Cautious return
2020-11-28	171784	13792	719996	2072	Cautious return
2020-11-29	173889	13684	735081	2105	Cautious return
2020-11-30	176026	13547	750634	2137	Cautious return
2020-12-01	178184	13442	766551	2158	Cautious return
2020-12-02	180390	13435	780913	2206	Cautious return
2020-12-03	182595	13222	798390	2205	Cautious return
2020-12-04	184835	12920	814723	2240	Cautious return
2020-12-05	187130	12911	830927	2295	Cautious return
2020-12-06	189456	12789	848188	2326	Cautious return
2020-12-07	191812	12602	865106	2356	Cautious return
2020-12-08	194184	12501	884220	2372	Cautious return
2020-12-09	196615	12300	901589	2431	Cautious return
2020-12-10	199110	12391	919410	2495	Cautious return
2020-12-11	201640	12085	937485	2530	Cautious return
2020-12-12	204184	11847	958209	2544	Cautious return
2020-12-13	206790	11815	977895	2606	Cautious return
2020-12-14	209462	11720	998340	2672	Cautious return
2020-12-15	212138	11533	1016992	2676	Cautious return
2020-12-16	214840	11421	1039320	2702	Cautious return
2020-12-17	217590	11277	1060216	2750	Cautious return
2020-12-18	220410	11170	1080866	2820	Cautious return
2020-12-19	223251	11054	1100203	2841	Cautious return
2020-12-20	226177	10907	1124262	2926	Cautious return
2020-12-21	229110	10699	1147743	2933	Cautious return
2020-12-22	232108	10596	1168352	2998	Cautious return
2020-12-23	235128	10487	1192119	3020	Cautious return
2020-12-24	238188	10354	1217540	3060	Cautious return
2020-12-25	241307	10290	1242422	3119	Cautious return
2020-12-26	244457	10177	1265541	3150	Cautious return
2020-12-27	247653	10064	1294866	3196	Cautious return
2020-12-28	250923	9877	1321668	3270	Cautious return
2020-12-29	254235	9789	1346324	3312	Cautious return
2020-12-30	257604	9700	1374671	3369	Cautious return
2020-12-31	261012	9514	1401842	3408	Cautious return
2021-01-01	264489	9488	1431554	3477	Cautious return
2021-01-02	268012	9308	1455940	3523	Cautious return
2021-01-03	271607	9210	1486543	3595	Cautious return
2021-01-04	275211	8996	1515802	3604	Cautious return
2021-01-05	278881	8936	1542883	3670	Cautious return
2021-01-06	282545	8685	1577077	3664	Cautious return
2021-01-07	286331	8550	1609243	3786	Cautious return
2021-01-08	290143	8501	1639824	3812	Cautious return
2021-01-09	293994	8403	1670474	3851	Cautious return
2021-01-10	297886	8269	1706055	3892	Cautious return
2021-01-11	301836	8139	1739025	3950	Cautious return
2021-01-12	305846	7966	1775780	4010	Cautious return
2021-01-13	309924	7898	1809389	4078	Cautious return
2021-01-14	314054	7873	1847094	4130	Cautious return
2021-01-15	318243	7692	1883603	4189	Cautious return
2021-01-16	322476	7560	1920021	4233	Cautious return
2021-01-17	326763	7398	1959860	4287	Cautious return
