stat	value
thetaS_last_obs_p_mean	0.9960576
thetaI_last_obs_p_mean	0.001341483
thetaR_last_obs_p_mean	0.00260089
thetaS_last_obs_p_ci_low	0.9957967
thetaS_last_obs_p_ci_med	0.9960583
thetaS_last_obs_p_ci_up	0.9963142
thetaI_last_obs_p_ci_low	0.001193586
thetaI_last_obs_p_ci_med	0.001340493
thetaI_last_obs_p_ci_up	0.00149583
thetaR_last_obs_p_ci_low	0.002394291
thetaR_last_obs_p_ci_med	0.002600219
thetaR_last_obs_p_ci_up	0.002812171
R0_p_mean	1.553982
R0_p_ci_low	1.097553
R0_p_ci_med	1.527706
R0_p_ci_up	2.162417
gamma_p_mean	0.05511295
gamma_p_ci_low	0.03122326
gamma_p_ci_med	0.05497541
gamma_p_ci_up	0.07961459
beta_p_mean	0.08411993
beta_p_ci_low	0.04964522
beta_p_ci_med	0.08413831
beta_p_ci_up	0.1186125
incidence_mean	0.2485309
incidence_ci_low	0.01481291
incidence_ci_median	0.2016932
incidence_ci_up	0.6812573
thetaI_tp1_mean	0.03324719
thetaI_tp1_ci_low	0.001340664
thetaI_tp1_ci_med	0.02151101
thetaI_tp1_ci_up	0.1287232
thetaR_tp1_mean	0.06437325
thetaR_tp1_ci_low	0.00866389
thetaR_tp1_ci_med	0.04570063
thetaR_tp1_ci_up	0.2302735
Y_tp1_mean	0.03324831
Y_tp1_ci_low	0.001335706
Y_tp1_ci_med	0.02152934
Y_tp1_ci_up	0.1286317
R_tp1_mean	0.06437418
R_tp1_ci_low	0.008642757
R_tp1_ci_med	0.04570273
R_tp1_ci_up	0.2302663
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.1909224
thetaR_max_ci_low	0.01317932
thetaR_max_ci_med	0.1455271
thetaR_max_ci_up	0.5767956
cumInf_mean	0.2476077
cumInf_ci_low	0.01537311
cumInf_ci_med	0.2003555
cumInf_ci_up	0.6798565
dthetaI_tp1_date	12/01/20
first_tp_mean	12/03/20
first_tp_ci_low	07/20/20
first_tp_ci_med	12/20/20
first_tp_ci_up	01/20/21
dthetaI_tp2_date	12/01/20
second_tp_mean	12/12/20
second_tp_ci_low	07/26/20
second_tp_ci_med	01/02/21
second_tp_ci_up	01/20/21
end_p_mean	01/19/21
end_p_ci_low	01/20/21
end_p_ci_med	01/20/21
end_p_ci_up	01/20/21
begin_str	07/05/2020
