date	value	lower_ci	upper_ci	incidence	scenario
2020-08-20	87587	69552	107352	NA	Normal (pre-intervention)
2020-08-21	90827	69345	114647	3240	Normal (pre-intervention)
2020-08-22	94198	69316	122265	3371	Normal (pre-intervention)
2020-08-23	97729	69497	129893	3531	Normal (pre-intervention)
2020-08-24	101442	69770	137811	3713	Normal (pre-intervention)
2020-08-25	105296	70308	146145	3854	Normal (pre-intervention)
2020-08-26	109314	70834	155119	4018	Normal (pre-intervention)
2020-08-27	113537	71438	164262	4223	Normal (pre-intervention)
2020-08-28	117940	72038	174358	4403	Normal (pre-intervention)
2020-08-29	122551	72689	185006	4611	Normal (pre-intervention)
2020-08-30	127391	73526	196234	4840	Normal (pre-intervention)
2020-08-31	132427	74230	208031	5036	Normal (pre-intervention)
2020-09-01	137706	75117	220624	5279	Normal (pre-intervention)
2020-09-02	143243	76068	234412	5537	Normal (pre-intervention)
2020-09-03	149048	76994	248797	5805	Normal (pre-intervention)
2020-09-04	155108	77774	264621	6060	Normal (pre-intervention)
2020-09-05	161476	78799	281551	6368	Normal (pre-intervention)
2020-09-06	168153	79878	299204	6677	Normal (pre-intervention)
2020-09-07	175152	80932	318663	6999	Normal (pre-intervention)
2020-09-08	182466	81807	338959	7314	Normal (pre-intervention)
2020-09-09	190185	83063	360442	7719	Normal (pre-intervention)
2020-09-10	198255	84082	384198	8070	Normal (pre-intervention)
2020-09-11	206724	85397	409328	8469	Normal (pre-intervention)
2020-09-12	215615	86397	436339	8891	Normal (pre-intervention)
2020-09-13	224935	87466	464844	9320	Normal (pre-intervention)
2020-09-14	234749	88512	494942	9814	Normal (pre-intervention)
2020-09-15	245051	89630	527571	10302	Normal (pre-intervention)
2020-09-16	255917	90766	563545	10866	Normal (pre-intervention)
2020-09-17	267273	92013	601608	11356	Normal (pre-intervention)
2020-09-18	279233	93421	642254	11960	Normal (pre-intervention)
2020-09-19	291791	94714	685334	12558	Normal (pre-intervention)
2020-09-20	305019	95759	732287	13228	Normal (pre-intervention)
2020-09-21	318896	97243	781740	13877	Normal (pre-intervention)
2020-09-22	333479	98621	835098	14583	Normal (pre-intervention)
2020-09-23	348844	99603	892112	15365	Normal (pre-intervention)
2020-09-24	364977	100910	952645	16133	Normal (pre-intervention)
2020-09-25	381959	102201	1017397	16982	Normal (pre-intervention)
2020-09-26	399794	103588	1085676	17835	Normal (pre-intervention)
2020-09-27	418556	104756	1159762	18762	Normal (pre-intervention)
2020-09-28	438265	106337	1238649	19709	Normal (pre-intervention)
2020-09-29	458969	107560	1322713	20704	Normal (pre-intervention)
2020-09-30	480716	108896	1411280	21747	Normal (pre-intervention)
2020-10-01	503598	110507	1506646	22882	Normal (pre-intervention)
2020-10-02	527617	111665	1608879	24019	Normal (pre-intervention)
2020-10-03	552839	113082	1717263	25222	Normal (pre-intervention)
2020-10-04	579299	114634	1831667	26460	Normal (pre-intervention)
2020-10-05	607082	116195	1954589	27783	Normal (pre-intervention)
2020-10-06	636224	117777	2085135	29142	Normal (pre-intervention)
2020-10-07	666809	118874	2219641	30585	Normal (pre-intervention)
2020-10-08	698801	120261	2366125	31992	Normal (pre-intervention)
2020-10-09	732379	121994	2517601	33578	Normal (pre-intervention)
