stat	value
thetaS_last_obs_p_mean	0.9978642
thetaI_last_obs_p_mean	0.0003518489
thetaR_last_obs_p_mean	0.00178398
thetaS_last_obs_p_ci_low	0.9976809
thetaS_last_obs_p_ci_med	0.9978634
thetaS_last_obs_p_ci_up	0.9980459
thetaI_last_obs_p_ci_low	0.0002817735
thetaI_last_obs_p_ci_med	0.0003503341
thetaI_last_obs_p_ci_up	0.0004251002
thetaR_last_obs_p_ci_low	0.00161472
thetaR_last_obs_p_ci_med	0.001783812
thetaR_last_obs_p_ci_up	0.001952102
R0_p_mean	1.418206
R0_p_ci_low	0.7903454
R0_p_ci_med	1.325192
R0_p_ci_up	2.595047
gamma_p_mean	0.06817752
gamma_p_ci_low	0.01069718
gamma_p_ci_med	0.06232627
gamma_p_ci_up	0.1554942
beta_p_mean	0.08855653
beta_p_ci_low	0.0178561
beta_p_ci_med	0.08456999
beta_p_ci_up	0.1834049
incidence_mean	0.01062741
incidence_ci_low	0.000476694
incidence_ci_median	0.003057388
incidence_ci_up	0.07392449
thetaI_tp1_mean	0.002509291
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	1.268969e-05
thetaI_tp1_ci_up	0.02249614
thetaR_tp1_mean	0.009115173
thetaR_tp1_ci_low	0.0004632091
thetaR_tp1_ci_med	0.004160444
thetaR_tp1_ci_up	0.0524012
Y_tp1_mean	0.002510807
Y_tp1_ci_low	0
Y_tp1_ci_med	6.858081e-06
Y_tp1_ci_up	0.02260586
R_tp1_mean	0.009115911
R_tp1_ci_low	0.0004923062
R_tp1_ci_med	0.004139988
R_tp1_ci_up	0.05235825
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.009115173
thetaR_max_ci_low	0.0004632091
thetaR_max_ci_med	0.004160444
thetaR_max_ci_up	0.0524012
cumInf_mean	0.01162446
cumInf_ci_low	0.000511138
cumInf_ci_med	0.004337722
cumInf_ci_up	0.07811361
dthetaI_tp1_date	01/25/21
first_tp_mean	08/28/20
first_tp_ci_low	07/11/20
first_tp_ci_med	08/18/20
first_tp_ci_up	01/25/21
dthetaI_tp2_date	01/25/21
second_tp_mean	09/01/20
second_tp_ci_low	07/13/20
second_tp_ci_med	08/20/20
second_tp_ci_up	01/25/21
end_p_mean	12/21/20
end_p_ci_low	09/24/20
end_p_ci_med	01/25/21
end_p_ci_up	01/25/21
begin_str	07/10/2020
