date	value	lower_ci	upper_ci	incidence	scenario
2020-08-24	81287	61424	103271	NA	Cautious return
2020-08-25	83055	59900	109100	1768	Cautious return
2020-08-26	84800	58781	114713	1745	Cautious return
2020-08-27	86534	57720	119986	1734	Cautious return
2020-08-28	88266	56770	125218	1732	Cautious return
2020-08-29	89983	55910	130404	1717	Cautious return
2020-08-30	91675	55182	135685	1692	Cautious return
2020-08-31	93372	54582	140607	1697	Cautious return
2020-09-01	95041	53982	145604	1669	Cautious return
2020-09-02	96729	53573	150556	1688	Cautious return
2020-09-03	98406	53173	155425	1677	Cautious return
2020-09-04	100079	52809	160544	1673	Cautious return
2020-09-05	101761	52456	165447	1682	Cautious return
2020-09-06	103398	51993	170120	1637	Cautious return
2020-09-07	105039	51740	175134	1641	Cautious return
2020-09-08	106696	51341	180248	1657	Cautious return
2020-09-09	108329	51106	185215	1633	Cautious return
2020-09-10	109973	50947	190206	1644	Cautious return
2020-09-11	111614	50760	195139	1641	Cautious return
2020-09-12	113251	50681	200183	1637	Cautious return
2020-09-13	114883	50419	205054	1632	Cautious return
2020-09-14	116484	50301	210119	1601	Cautious return
2020-09-15	118109	50212	214939	1625	Cautious return
2020-09-16	119729	50097	220204	1620	Cautious return
2020-09-17	121330	49964	225370	1601	Cautious return
2020-09-18	122955	49821	230551	1625	Cautious return
2020-09-19	124570	49804	235667	1615	Cautious return
2020-09-20	126162	49744	240723	1592	Cautious return
2020-09-21	127784	49586	246026	1622	Cautious return
2020-09-22	129399	49345	251402	1615	Cautious return
2020-09-23	131018	49293	257178	1619	Cautious return
2020-09-24	132639	49217	262767	1621	Cautious return
2020-09-25	134269	49215	268563	1630	Cautious return
2020-09-26	135885	49165	274476	1616	Cautious return
2020-09-27	137497	49065	279956	1612	Cautious return
2020-09-28	139103	49035	286102	1606	Cautious return
2020-09-29	140708	48953	292444	1605	Cautious return
2020-09-30	142324	48909	297460	1616	Cautious return
2020-10-01	143978	48877	303898	1654	Cautious return
2020-10-02	145618	48893	310243	1640	Cautious return
2020-10-03	147249	48654	316656	1631	Cautious return
2020-10-04	148888	48634	322951	1639	Cautious return
2020-10-05	150524	48637	329298	1636	Cautious return
2020-10-06	152186	48637	335996	1662	Cautious return
2020-10-07	153837	48784	342650	1651	Cautious return
2020-10-08	155488	48685	349677	1651	Cautious return
2020-10-09	157182	48528	356126	1694	Cautious return
2020-10-10	158888	48748	363744	1706	Cautious return
2020-10-11	160601	48646	370928	1713	Cautious return
2020-10-12	162288	48556	378086	1687	Cautious return
2020-10-13	163984	48555	385626	1696	Cautious return
2020-10-14	165703	48470	393042	1719	Cautious return
2020-10-15	167441	48422	400566	1738	Cautious return
2020-10-16	169188	48347	408163	1747	Cautious return
2020-10-17	170937	48206	416094	1749	Cautious return
2020-10-18	172683	48223	425061	1746	Cautious return
2020-10-19	174446	48153	432346	1763	Cautious return
2020-10-20	176232	47992	440734	1786	Cautious return
2020-10-21	178029	47818	449208	1797	Cautious return
2020-10-22	179832	47783	458296	1803	Cautious return
2020-10-23	181672	47664	466920	1840	Cautious return
2020-10-24	183515	47547	475170	1843	Cautious return
2020-10-25	185351	47392	484383	1836	Cautious return
2020-10-26	187221	47370	494559	1870	Cautious return
2020-10-27	189076	47284	504096	1855	Cautious return
2020-10-28	190985	47382	513801	1909	Cautious return
2020-10-29	192882	47154	523487	1897	Cautious return
2020-10-30	194785	46998	533282	1903	Cautious return
2020-10-31	196748	46718	544189	1963	Cautious return
2020-11-01	198712	46845	554334	1964	Cautious return
2020-11-02	200666	46589	564787	1954	Cautious return
2020-11-03	202667	46518	574748	2001	Cautious return
2020-11-04	204674	46331	585624	2007	Cautious return
2020-11-05	206708	46232	596586	2034	Cautious return
2020-11-06	208786	45876	608550	2078	Cautious return
2020-11-07	210861	45663	620197	2075	Cautious return
2020-11-08	212960	45760	632649	2099	Cautious return
2020-11-09	215103	45582	643822	2143	Cautious return
2020-11-10	217261	45434	657014	2158	Cautious return
2020-11-11	219464	45189	669026	2203	Cautious return
2020-11-12	221673	45061	683376	2209	Cautious return
2020-11-13	223894	44903	697410	2221	Cautious return
2020-11-14	226152	44470	711607	2258	Cautious return
2020-11-15	228410	44558	724189	2258	Cautious return
2020-11-16	230716	44245	739817	2306	Cautious return
2020-11-17	233062	44198	752955	2346	Cautious return
2020-11-18	235432	43760	766759	2370	Cautious return
2020-11-19	237802	43918	780742	2370	Cautious return
2020-11-20	240242	43704	796480	2440	Cautious return
2020-11-21	242670	43526	812124	2428	Cautious return
2020-11-22	245138	43320	827967	2468	Cautious return
2020-11-23	247648	42998	844008	2510	Cautious return
2020-11-24	250217	42746	862051	2569	Cautious return
2020-11-25	252766	42598	877683	2549	Cautious return
2020-11-26	255376	42438	893388	2610	Cautious return
2020-11-27	258001	42385	911683	2625	Cautious return
2020-11-28	260696	42005	930214	2695	Cautious return
2020-11-29	263410	41724	945686	2714	Cautious return
2020-11-30	266131	41530	964797	2721	Cautious return
2020-12-01	268907	41395	986201	2776	Cautious return
2020-12-02	271719	40939	1004669	2812	Cautious return
2020-12-03	274533	41011	1024750	2814	Cautious return
2020-12-04	277418	40855	1043356	2885	Cautious return
2020-12-05	280344	40519	1062868	2926	Cautious return
2020-12-06	283318	40331	1084457	2974	Cautious return
2020-12-07	286317	40252	1105096	2999	Cautious return
2020-12-08	289351	39937	1127355	3034	Cautious return
2020-12-09	292446	39696	1149840	3095	Cautious return
2020-12-10	295579	39478	1173089	3133	Cautious return
2020-12-11	298781	39221	1196249	3202	Cautious return
2020-12-12	301994	39003	1219471	3213	Cautious return
2020-12-13	305281	38822	1243211	3287	Cautious return
2020-12-14	308627	38710	1267356	3346	Cautious return
2020-12-15	312014	38281	1293748	3387	Cautious return
2020-12-16	315418	38083	1319507	3404	Cautious return
2020-12-17	318870	37914	1343408	3452	Cautious return
2020-12-18	322422	37594	1368758	3552	Cautious return
2020-12-19	325964	37669	1397560	3542	Cautious return
2020-12-20	329565	37191	1425355	3601	Cautious return
2020-12-21	333208	37307	1450421	3643	Cautious return
2020-12-22	336913	36781	1478965	3705	Cautious return
2020-12-23	340645	36709	1507876	3732	Cautious return
2020-12-24	344419	36425	1535287	3774	Cautious return
2020-12-25	348303	36186	1565694	3884	Cautious return
2020-12-26	352196	36051	1594866	3893	Cautious return
2020-12-27	356182	35658	1626947	3986	Cautious return
2020-12-28	360205	35487	1655326	4023	Cautious return
2020-12-29	364278	35283	1688684	4073	Cautious return
2020-12-30	368428	35056	1718309	4150	Cautious return
2020-12-31	372625	34874	1754578	4197	Cautious return
2021-01-01	376858	34502	1786575	4233	Cautious return
2021-01-02	381169	34304	1820074	4311	Cautious return
2021-01-03	385540	34128	1856891	4371	Cautious return
2021-01-04	389951	33787	1894225	4411	Cautious return
2021-01-05	394461	33616	1926642	4510	Cautious return
2021-01-06	398972	33386	1962977	4511	Cautious return
2021-01-07	403559	33048	2005451	4587	Cautious return
2021-01-08	408186	33122	2045535	4627	Cautious return
2021-01-09	412904	32750	2083890	4718	Cautious return
2021-01-10	417650	32738	2125551	4746	Cautious return
2021-01-11	422452	32487	2161293	4802	Cautious return
2021-01-12	427306	32436	2199950	4854	Cautious return
2021-01-13	432237	32268	2243586	4931	Cautious return
2021-01-14	437183	32155	2289726	4946	Cautious return
2021-01-15	442250	31749	2335089	5067	Cautious return
2021-01-16	447375	31467	2375333	5125	Cautious return
2021-01-17	452584	31417	2423625	5209	Cautious return
2021-01-18	457863	31375	2466901	5279	Cautious return
2021-01-19	463180	31086	2514510	5317	Cautious return
2021-01-20	468518	30935	2562576	5338	Cautious return
2021-01-21	473917	30848	2608567	5399	Cautious return
2021-01-22	479387	30475	2659975	5470	Cautious return
2021-01-23	484889	30385	2711536	5502	Cautious return
2021-01-24	490483	30059	2756624	5594	Cautious return
2021-01-25	496140	30096	2804045	5657	Cautious return
