date	value	incidence	scenario	lower_ci	upper_ci
2020-07-10	33700	NA	Observed	NA	NA
2020-07-11	35092	1392	Observed	NA	NA
2020-07-12	36476	1384	Observed	NA	NA
2020-07-13	38130	1654	Observed	NA	NA
2020-07-14	39724	1594	Observed	NA	NA
2020-07-15	41383	1659	Observed	NA	NA
2020-07-16	43441	2058	Observed	NA	NA
2020-07-17	45163	1722	Observed	NA	NA
2020-07-18	47036	1873	Observed	NA	NA
2020-07-19	49247	2211	Observed	NA	NA
2020-07-20	51160	1913	Observed	NA	NA
2020-07-21	53288	2128	Observed	NA	NA
2020-07-22	55588	2300	Observed	NA	NA
2020-07-23	58104	2516	Observed	NA	NA
2020-07-24	60771	2667	Observed	NA	NA
2020-07-25	63742	2971	Observed	NA	NA
2020-07-26	66988	3246	Observed	NA	NA
2020-07-27	70493	3505	Observed	NA	NA
2020-07-28	73951	3458	Observed	NA	NA
2020-07-29	77334	3383	Observed	NA	NA
2020-07-30	81039	3705	Observed	NA	NA
2020-07-31	85461	4422	Observed	NA	NA
2020-08-01	89048	3587	Observed	NA	NA
2020-08-02	92921	3873	Observed	NA	NA
2020-08-03	97362	4441	Observed	NA	NA
2020-08-04	100310	2948	Observed	NA	NA
2020-08-05	104388	4078	Observed	NA	NA
2020-08-06	108974	4586	Observed	NA	NA
2020-08-07	113378	4404	Observed	NA	NA
2020-08-08	118038	4660	Observed	NA	NA
2020-08-09	122609	4571	Observed	NA	NA
2020-08-10	126722	4113	Observed	NA	NA
2020-08-11	131763	5041	Observed	NA	NA
2020-08-12	136238	4475	Observed	NA	NA
2020-08-13	140775	4537	Observed	NA	NA
2020-08-14	145287	4512	Observed	NA	NA
2020-08-15	150061	4774	Observed	NA	NA
2020-08-16	154418	4357	Observed	NA	NA
2020-08-17	158216	3798	Observed	NA	NA
2020-08-18	162434	4218	Observed	NA	NA
2020-08-19	167510	5076	Observed	NA	NA
2020-08-20	172334	4824	Observed	NA	NA
2020-08-21	177239	4905	Observed	NA	NA
2020-08-22	182456	5217	Observed	NA	NA
2020-08-23	187781	5325	Observed	NA	NA
2020-08-24	192141	NA	Soc. Dist. + Travel Ban	128445	265834
2020-08-25	195808	3667	Soc. Dist. + Travel Ban	122751	282414
2020-08-26	199778	3970	Soc. Dist. + Travel Ban	117624	298010
2020-08-27	203058	3280	Soc. Dist. + Travel Ban	112601	311321
2020-08-28	206689	3631	Soc. Dist. + Travel Ban	111036	326292
2020-08-29	209941	3252	Soc. Dist. + Travel Ban	106894	335024
2020-08-30	213482	3541	Soc. Dist. + Travel Ban	102276	356385
2020-08-31	216933	3451	Soc. Dist. + Travel Ban	100984	364140
2020-09-01	220024	3091	Soc. Dist. + Travel Ban	97300	380197
2020-09-02	222892	2868	Soc. Dist. + Travel Ban	95510	393539
2020-09-03	226758	3866	Soc. Dist. + Travel Ban	91307	408923
2020-09-04	231183	4425	Soc. Dist. + Travel Ban	89747	418994
2020-09-05	234802	3619	Soc. Dist. + Travel Ban	88098	434192
2020-09-06	238570	3768	Soc. Dist. + Travel Ban	88047	440620
2020-09-07	242249	3679	Soc. Dist. + Travel Ban	85318	462092
