date	value	incidence	scenario	lower_ci	upper_ci
2020-07-12	10513	NA	Observed	NA	NA
2020-07-13	10827	314	Observed	NA	NA
2020-07-14	11173	346	Observed	NA	NA
2020-07-15	11666	493	Observed	NA	NA
2020-07-16	12156	490	Observed	NA	NA
2020-07-17	12757	601	Observed	NA	NA
2020-07-18	13198	441	Observed	NA	NA
2020-07-19	13899	701	Observed	NA	NA
2020-07-20	14650	751	Observed	NA	NA
2020-07-21	15258	608	Observed	NA	NA
2020-07-22	15711	453	Observed	NA	NA
2020-07-23	16429	718	Observed	NA	NA
2020-07-24	16782	353	Observed	NA	NA
2020-07-25	17305	523	Observed	NA	NA
2020-07-26	17920	615	Observed	NA	NA
2020-07-27	18390	470	Observed	NA	NA
2020-07-28	18879	489	Observed	NA	NA
2020-07-29	19419	540	Observed	NA	NA
2020-07-30	19869	450	Observed	NA	NA
2020-07-31	20359	490	Observed	NA	NA
2020-08-01	20972	613	Observed	NA	NA
2020-08-02	21416	444	Observed	NA	NA
2020-08-03	22006	590	Observed	NA	NA
2020-08-04	22396	390	Observed	NA	NA
2020-08-05	22955	559	Observed	NA	NA
2020-08-06	23454	499	Observed	NA	NA
2020-08-07	23927	473	Observed	NA	NA
2020-08-08	24390	463	Observed	NA	NA
2020-08-09	24897	507	Observed	NA	NA
2020-08-10	25367	470	Observed	NA	NA
2020-08-11	25931	564	Observed	NA	NA
2020-08-12	26413	482	Observed	NA	NA
2020-08-13	26949	536	Observed	NA	NA
2020-08-14	27489	540	Observed	NA	NA
2020-08-15	28021	532	Observed	NA	NA
2020-08-16	28470	449	Observed	NA	NA
2020-08-17	28892	422	Observed	NA	NA
2020-08-18	29326	434	Observed	NA	NA
2020-08-19	30034	708	Observed	NA	NA
2020-08-20	30717	683	Observed	NA	NA
2020-08-21	31371	654	Observed	NA	NA
2020-08-22	31981	610	Observed	NA	NA
2020-08-23	32647	666	Observed	NA	NA
2020-08-24	33075	428	Observed	NA	NA
2020-08-25	33776	701	Observed	NA	NA
2020-08-26	34229	NA	Soc. Dist. + Travel Ban	27359	41800
2020-08-27	34611	382	Soc. Dist. + Travel Ban	26634	43457
2020-08-28	34995	384	Soc. Dist. + Travel Ban	26054	45073
2020-08-29	35378	383	Soc. Dist. + Travel Ban	25596	46548
2020-08-30	35761	383	Soc. Dist. + Travel Ban	25122	48017
2020-08-31	36140	379	Soc. Dist. + Travel Ban	24714	49364
2020-09-01	36527	387	Soc. Dist. + Travel Ban	24377	50693
2020-09-02	36904	377	Soc. Dist. + Travel Ban	24105	52052
2020-09-03	37281	377	Soc. Dist. + Travel Ban	23811	53358
2020-09-04	37659	378	Soc. Dist. + Travel Ban	23564	54668
2020-09-05	38041	382	Soc. Dist. + Travel Ban	23323	55998
2020-09-06	38422	381	Soc. Dist. + Travel Ban	23097	57212
2020-09-07	38809	387	Soc. Dist. + Travel Ban	22873	58504
2020-09-08	39185	376	Soc. Dist. + Travel Ban	22645	59804
2020-09-09	39565	380	Soc. Dist. + Travel Ban	22491	61034
2020-09-10	39947	382	Soc. Dist. + Travel Ban	22286	62376
2020-09-11	40322	375	Soc. Dist. + Travel Ban	22167	63521
2020-09-12	40704	382	Soc. Dist. + Travel Ban	21956	64787
2020-09-13	41089	385	Soc. Dist. + Travel Ban	21817	66049
2020-09-14	41472	383	Soc. Dist. + Travel Ban	21706	67364
2020-09-15	41855	383	Soc. Dist. + Travel Ban	21542	68606
2020-09-16	42235	380	Soc. Dist. + Travel Ban	21449	69896
2020-09-17	42614	379	Soc. Dist. + Travel Ban	21307	71123
2020-09-18	42999	385	Soc. Dist. + Travel Ban	21244	72443
2020-09-19	43383	384	Soc. Dist. + Travel Ban	21130	73708
2020-09-20	43759	376	Soc. Dist. + Travel Ban	21003	75038
2020-09-21	44132	373	Soc. Dist. + Travel Ban	20897	76240
2020-09-22	44514	382	Soc. Dist. + Travel Ban	20748	77583
2020-09-23	44893	379	Soc. Dist. + Travel Ban	20673	78969
2020-09-24	45281	388	Soc. Dist. + Travel Ban	20624	80371
2020-09-25	45672	391	Soc. Dist. + Travel Ban	20497	81611
2020-09-26	46051	379	Soc. Dist. + Travel Ban	20406	83008
2020-09-27	46433	382	Soc. Dist. + Travel Ban	20304	84313
2020-09-28	46815	382	Soc. Dist. + Travel Ban	20282	85692
2020-09-29	47204	389	Soc. Dist. + Travel Ban	20207	87098
2020-09-30	47587	383	Soc. Dist. + Travel Ban	20180	88343
2020-10-01	47982	395	Soc. Dist. + Travel Ban	20132	89895
2020-10-02	48367	385	Soc. Dist. + Travel Ban	19984	91286
2020-10-03	48752	385	Soc. Dist. + Travel Ban	19863	92652
2020-10-04	49143	391	Soc. Dist. + Travel Ban	19842	94154
2020-10-05	49534	391	Soc. Dist. + Travel Ban	19779	95549
2020-10-06	49917	383	Soc. Dist. + Travel Ban	19679	97065
2020-10-07	50309	392	Soc. Dist. + Travel Ban	19537	98591
2020-10-08	50700	391	Soc. Dist. + Travel Ban	19531	100110
2020-10-09	51085	385	Soc. Dist. + Travel Ban	19451	101548
2020-10-10	51485	400	Soc. Dist. + Travel Ban	19409	103129
2020-10-11	51874	389	Soc. Dist. + Travel Ban	19377	104753
2020-10-12	52265	391	Soc. Dist. + Travel Ban	19330	106184
2020-10-13	52665	400	Soc. Dist. + Travel Ban	19288	107747
2020-10-14	53073	408	Soc. Dist. + Travel Ban	19223	109508
2020-10-15	53475	402	Soc. Dist. + Travel Ban	19208	111026
2020-10-16	53876	401	Soc. Dist. + Travel Ban	19229	112680
2020-10-17	54276	400	Soc. Dist. + Travel Ban	19187	114239
2020-10-18	54686	410	Soc. Dist. + Travel Ban	19163	115789
2020-10-19	55086	400	Soc. Dist. + Travel Ban	19116	117758
2020-10-20	55491	405	Soc. Dist. + Travel Ban	19116	119268
2020-10-21	55894	403	Soc. Dist. + Travel Ban	19057	121010
2020-10-22	56319	425	Soc. Dist. + Travel Ban	19022	122883
2020-10-23	56730	411	Soc. Dist. + Travel Ban	18955	124505
2020-10-24	57146	416	Soc. Dist. + Travel Ban	18884	126487
2020-10-25	57566	420	Soc. Dist. + Travel Ban	18926	128389
2020-10-26	57987	421	Soc. Dist. + Travel Ban	18882	130318
2020-10-27	58407	420	Soc. Dist. + Travel Ban	18781	132187
2020-10-28	58835	428	Soc. Dist. + Travel Ban	18674	134151
2020-10-29	59270	435	Soc. Dist. + Travel Ban	18668	136197
2020-10-30	59704	434	Soc. Dist. + Travel Ban	18629	138383
2020-10-31	60131	427	Soc. Dist. + Travel Ban	18591	140134
2020-11-01	60565	434	Soc. Dist. + Travel Ban	18494	142402
2020-11-02	61010	445	Soc. Dist. + Travel Ban	18415	144303
2020-11-03	61452	442	Soc. Dist. + Travel Ban	18396	146430
2020-11-04	61895	443	Soc. Dist. + Travel Ban	18380	148722
2020-11-05	62344	449	Soc. Dist. + Travel Ban	18358	150880
2020-11-06	62791	447	Soc. Dist. + Travel Ban	18274	153105
2020-11-07	63248	457	Soc. Dist. + Travel Ban	18250	155287
2020-11-08	63704	456	Soc. Dist. + Travel Ban	18234	157658
2020-11-09	64165	461	Soc. Dist. + Travel Ban	18136	160232
2020-11-10	64620	455	Soc. Dist. + Travel Ban	18082	162500
2020-11-11	65080	460	Soc. Dist. + Travel Ban	18058	164844
2020-11-12	65553	473	Soc. Dist. + Travel Ban	17995	167365
2020-11-13	66023	470	Soc. Dist. + Travel Ban	17888	170012
2020-11-14	66499	476	Soc. Dist. + Travel Ban	17859	172290
2020-11-15	66982	483	Soc. Dist. + Travel Ban	17837	174816
2020-11-16	67456	474	Soc. Dist. + Travel Ban	17721	177409
2020-11-17	67946	490	Soc. Dist. + Travel Ban	17672	180092
2020-11-18	68429	483	Soc. Dist. + Travel Ban	17684	182563
2020-11-19	68923	494	Soc. Dist. + Travel Ban	17605	185186
2020-11-20	69414	491	Soc. Dist. + Travel Ban	17581	187767
2020-11-21	69915	501	Soc. Dist. + Travel Ban	17450	190462
2020-11-22	70420	505	Soc. Dist. + Travel Ban	17423	193110
2020-11-23	70923	503	Soc. Dist. + Travel Ban	17392	195922
2020-11-24	71439	516	Soc. Dist. + Travel Ban	17283	198906
2020-11-25	71954	515	Soc. Dist. + Travel Ban	17247	202239
2020-11-26	72479	525	Soc. Dist. + Travel Ban	17208	205065
2020-11-27	73000	521	Soc. Dist. + Travel Ban	17180	207841
2020-11-28	73532	532	Soc. Dist. + Travel Ban	17087	211195
2020-11-29	74059	527	Soc. Dist. + Travel Ban	16950	214033
2020-11-30	74596	537	Soc. Dist. + Travel Ban	16959	217195
2020-12-01	75137	541	Soc. Dist. + Travel Ban	16951	220305
2020-12-02	75696	559	Soc. Dist. + Travel Ban	16747	223845
2020-12-03	76254	558	Soc. Dist. + Travel Ban	16707	227137
2020-12-04	76816	562	Soc. Dist. + Travel Ban	16744	230791
2020-12-05	77395	579	Soc. Dist. + Travel Ban	16631	233849
2020-12-06	77960	565	Soc. Dist. + Travel Ban	16523	237218
2020-12-07	78535	575	Soc. Dist. + Travel Ban	16518	240808
2020-12-08	79124	589	Soc. Dist. + Travel Ban	16444	244442
2020-12-09	79710	586	Soc. Dist. + Travel Ban	16422	248327
2020-12-10	80302	592	Soc. Dist. + Travel Ban	16288	252266
2020-12-11	80901	599	Soc. Dist. + Travel Ban	16208	256260
2020-12-12	81512	611	Soc. Dist. + Travel Ban	16057	260035
2020-12-13	82119	607	Soc. Dist. + Travel Ban	16071	263460
2020-12-14	82728	609	Soc. Dist. + Travel Ban	16007	267548
2020-12-15	83351	623	Soc. Dist. + Travel Ban	15943	271163
2020-12-16	83970	619	Soc. Dist. + Travel Ban	15877	275444
2020-12-17	84604	634	Soc. Dist. + Travel Ban	15799	279546
2020-12-18	85253	649	Soc. Dist. + Travel Ban	15694	283896
2020-12-19	85906	653	Soc. Dist. + Travel Ban	15696	287862
2020-12-20	86557	651	Soc. Dist. + Travel Ban	15572	291888
2020-12-21	87217	660	Soc. Dist. + Travel Ban	15506	296136
2020-12-22	87892	675	Soc. Dist. + Travel Ban	15478	301206
2020-12-23	88565	673	Soc. Dist. + Travel Ban	15370	305130
2020-12-24	89243	678	Soc. Dist. + Travel Ban	15303	309776
2020-12-25	89937	694	Soc. Dist. + Travel Ban	15298	314146
2020-12-26	90635	698	Soc. Dist. + Travel Ban	15152	319554
2020-12-27	91336	701	Soc. Dist. + Travel Ban	15138	323977
2020-12-28	92042	706	Soc. Dist. + Travel Ban	14973	328964
2020-12-29	92768	726	Soc. Dist. + Travel Ban	14962	334024
2020-12-30	93492	724	Soc. Dist. + Travel Ban	14898	338646
2020-12-31	94217	725	Soc. Dist. + Travel Ban	14852	343567
2021-01-01	94965	748	Soc. Dist. + Travel Ban	14815	349061
2021-01-02	95711	746	Soc. Dist. + Travel Ban	14677	354760
2021-01-03	96462	751	Soc. Dist. + Travel Ban	14581	360192
2021-01-04	97219	757	Soc. Dist. + Travel Ban	14513	365548
2021-01-05	97990	771	Soc. Dist. + Travel Ban	14577	370924
2021-01-06	98769	779	Soc. Dist. + Travel Ban	14479	376322
2021-01-07	99551	782	Soc. Dist. + Travel Ban	14382	382067
2021-01-08	100348	797	Soc. Dist. + Travel Ban	14357	387246
2021-01-09	101150	802	Soc. Dist. + Travel Ban	14252	392888
2021-01-10	101970	820	Soc. Dist. + Travel Ban	14149	398387
2021-01-11	102794	824	Soc. Dist. + Travel Ban	14112	404795
2021-01-12	103623	829	Soc. Dist. + Travel Ban	14088	411060
2021-01-13	104461	838	Soc. Dist. + Travel Ban	14023	416712
2021-01-14	105309	848	Soc. Dist. + Travel Ban	13970	423561
2021-01-15	106160	851	Soc. Dist. + Travel Ban	13875	429527
2021-01-16	107031	871	Soc. Dist. + Travel Ban	13830	436068
2021-01-17	107905	874	Soc. Dist. + Travel Ban	13701	442284
2021-01-18	108795	890	Soc. Dist. + Travel Ban	13631	448958
2021-01-19	109687	892	Soc. Dist. + Travel Ban	13528	454994
2021-01-20	110598	911	Soc. Dist. + Travel Ban	13508	462092
2021-01-21	111520	922	Soc. Dist. + Travel Ban	13428	468898
2021-01-22	112444	924	Soc. Dist. + Travel Ban	13401	476061
2021-01-23	113373	929	Soc. Dist. + Travel Ban	13277	482864
2021-01-24	114317	944	Soc. Dist. + Travel Ban	13261	490268
2021-01-25	115269	952	Soc. Dist. + Travel Ban	13232	496907
2021-01-26	116232	963	Soc. Dist. + Travel Ban	13059	504139
2021-01-27	117204	972	Soc. Dist. + Travel Ban	13018	511611
2020-08-26	34227	NA	No intervention	27319	41815
2020-08-27	34740	513	No intervention	26694	43664
2020-08-28	35266	526	No intervention	26215	45473
2020-08-29	35806	540	No intervention	25795	47185
2020-08-30	36350	544	No intervention	25431	48868
2020-08-31	36904	554	No intervention	25148	50562
2020-09-01	37475	571	No intervention	24879	52279
2020-09-02	38053	578	No intervention	24697	53995
2020-09-03	38644	591	No intervention	24447	55728
2020-09-04	39239	595	No intervention	24276	57435
2020-09-05	39852	613	No intervention	24111	59241
2020-09-06	40476	624	No intervention	23988	61075
2020-09-07	41108	632	No intervention	23802	62835
2020-09-08	41757	649	No intervention	23726	64792
2020-09-09	42413	656	No intervention	23620	66629
2020-09-10	43077	664	No intervention	23468	68635
2020-09-11	43769	692	No intervention	23408	70689
2020-09-12	44458	689	No intervention	23334	72656
2020-09-13	45172	714	No intervention	23264	74808
2020-09-14	45899	727	No intervention	23207	77101
2020-09-15	46639	740	No intervention	23087	79391
2020-09-16	47392	753	No intervention	23024	81797
2020-09-17	48166	774	No intervention	22931	84137
2020-09-18	48955	789	No intervention	22886	86660
