date	value	lower_ci	upper_ci	incidence	scenario
2020-08-31	3680353	2948907	4481968	NA	Normal (pre-intervention)
2020-09-01	3749153	2893305	4700952	68800	Normal (pre-intervention)
2020-09-02	3819935	2850920	4907294	70782	Normal (pre-intervention)
2020-09-03	3891395	2820377	5109721	71460	Normal (pre-intervention)
2020-09-04	3964507	2791451	5308645	73112	Normal (pre-intervention)
2020-09-05	4039578	2767249	5516506	75071	Normal (pre-intervention)
2020-09-06	4116169	2745197	5726879	76591	Normal (pre-intervention)
2020-09-07	4195376	2728161	5942103	79207	Normal (pre-intervention)
2020-09-08	4276921	2717039	6163054	81545	Normal (pre-intervention)
2020-09-09	4359812	2707014	6386122	82891	Normal (pre-intervention)
2020-09-10	4444688	2694729	6616035	84876	Normal (pre-intervention)
2020-09-11	4532482	2682395	6857613	87794	Normal (pre-intervention)
2020-09-12	4621056	2675126	7101527	88574	Normal (pre-intervention)
2020-09-13	4712862	2676435	7355205	91806	Normal (pre-intervention)
2020-09-14	4807557	2667071	7623289	94695	Normal (pre-intervention)
2020-09-15	4904173	2660631	7892417	96616	Normal (pre-intervention)
2020-09-16	5004062	2655673	8180765	99889	Normal (pre-intervention)
2020-09-17	5105869	2656913	8470329	101807	Normal (pre-intervention)
2020-09-18	5210745	2652756	8787433	104876	Normal (pre-intervention)
2020-09-19	5317924	2646768	9090593	107179	Normal (pre-intervention)
2020-09-20	5428136	2649146	9430853	110212	Normal (pre-intervention)
2020-09-21	5541676	2649272	9784470	113540	Normal (pre-intervention)
2020-09-22	5658235	2653454	10160597	116559	Normal (pre-intervention)
2020-09-23	5777405	2655756	10531840	119170	Normal (pre-intervention)
2020-09-24	5900127	2655181	10939234	122722	Normal (pre-intervention)
2020-09-25	6025898	2652757	11350200	125771	Normal (pre-intervention)
2020-09-26	6155571	2657874	11795689	129673	Normal (pre-intervention)
2020-09-27	6289062	2659121	12233060	133491	Normal (pre-intervention)
2020-09-28	6426377	2661934	12705885	137315	Normal (pre-intervention)
2020-09-29	6568025	2665514	13202521	141648	Normal (pre-intervention)
2020-09-30	6712872	2662711	13714419	144847	Normal (pre-intervention)
2020-10-01	6863012	2665126	14252627	150140	Normal (pre-intervention)
2020-10-02	7017489	2676632	14839923	154477	Normal (pre-intervention)
2020-10-03	7176875	2671548	15403024	159386	Normal (pre-intervention)
2020-10-04	7340943	2681944	16026507	164068	Normal (pre-intervention)
2020-10-05	7508914	2686791	16676561	167971	Normal (pre-intervention)
2020-10-06	7681502	2688897	17353637	172588	Normal (pre-intervention)
2020-10-07	7860301	2696165	18058247	178799	Normal (pre-intervention)
2020-10-08	8043768	2701678	18785626	183467	Normal (pre-intervention)
2020-10-09	8233815	2699664	19576689	190047	Normal (pre-intervention)
2020-10-10	8430388	2710036	20394631	196573	Normal (pre-intervention)
2020-10-11	8633166	2710639	21247083	202778	Normal (pre-intervention)
2020-10-12	8841785	2714352	22122692	208619	Normal (pre-intervention)
2020-10-13	9057091	2713570	23035632	215306	Normal (pre-intervention)
2020-10-14	9279018	2714686	23998904	221927	Normal (pre-intervention)
2020-10-15	9507317	2722098	25062345	228299	Normal (pre-intervention)
2020-10-16	9744239	2730320	26111087	236922	Normal (pre-intervention)
2020-10-17	9988241	2736512	27256469	244002	Normal (pre-intervention)
2020-10-18	10239822	2732757	28398225	251581	Normal (pre-intervention)
2020-10-19	10500271	2741940	29610337	260449	Normal (pre-intervention)
2020-10-20	10769907	2734274	30912466	269636	Normal (pre-intervention)
2020-10-21	11047844	2741882	32241386	277937	Normal (pre-intervention)
2020-10-22	11334033	2754557	33626637	286189	Normal (pre-intervention)
2020-10-23	11631266	2760315	35007452	297233	Normal (pre-intervention)
2020-10-24	11937714	2759131	36594757	306448	Normal (pre-intervention)
2020-10-25	12254641	2755905	38183570	316927	Normal (pre-intervention)
2020-10-26	12580016	2762969	39812661	325375	Normal (pre-intervention)
2020-10-27	12917652	2767530	41528850	337636	Normal (pre-intervention)
2020-10-28	13265437	2778968	43342868	347785	Normal (pre-intervention)
2020-10-29	13625400	2789784	45210929	359963	Normal (pre-intervention)
2020-10-30	13996545	2793253	47085920	371145	Normal (pre-intervention)
2020-10-31	14379809	2796934	49237641	383264	Normal (pre-intervention)
2020-11-01	14776257	2799159	51431439	396448	Normal (pre-intervention)
2020-11-02	15185262	2813682	53626239	409005	Normal (pre-intervention)
2020-11-03	15607755	2813075	55914914	422493	Normal (pre-intervention)
2020-11-04	16043546	2819351	58308987	435791	Normal (pre-intervention)
2020-11-05	16494711	2827129	60899134	451165	Normal (pre-intervention)
2020-11-06	16960213	2830941	63483058	465502	Normal (pre-intervention)
2020-11-07	17440568	2830966	66264558	480355	Normal (pre-intervention)
2020-11-08	17936214	2833353	69048578	495646	Normal (pre-intervention)
2020-11-09	18448893	2834249	72047026	512679	Normal (pre-intervention)
2020-11-10	18976796	2839083	75109938	527903	Normal (pre-intervention)
2020-11-11	19520942	2842308	78322832	544146	Normal (pre-intervention)
2020-11-12	20081345	2846643	81777428	560403	Normal (pre-intervention)
2020-11-13	20661828	2844722	85100938	580483	Normal (pre-intervention)
2020-11-14	21258482	2848333	88761365	596654	Normal (pre-intervention)
2020-11-15	21870947	2867210	92424972	612465	Normal (pre-intervention)
2020-11-16	22503497	2859505	96395540	632550	Normal (pre-intervention)
2020-11-17	23155417	2867473	100294710	651920	Normal (pre-intervention)
2020-11-18	23826846	2860972	104508609	671429	Normal (pre-intervention)
2020-11-19	24518395	2869816	108733857	691549	Normal (pre-intervention)
2020-11-20	25232080	2877486	113342296	713685	Normal (pre-intervention)
2020-11-21	25963516	2886798	117884959	731436	Normal (pre-intervention)
2020-11-22	26715157	2895077	122626167	751641	Normal (pre-intervention)
2020-11-23	27487833	2904759	127747543	772676	Normal (pre-intervention)
2020-11-24	28282759	2901885	132758918	794926	Normal (pre-intervention)
2020-11-25	29099014	2910051	138020169	816255	Normal (pre-intervention)
2020-11-26	29936750	2914468	143587633	837736	Normal (pre-intervention)
2020-11-27	30795170	2906662	149106043	858420	Normal (pre-intervention)
2020-11-28	31676045	2927989	154977096	880875	Normal (pre-intervention)
2020-11-29	32581878	2924827	160922661	905833	Normal (pre-intervention)
2020-11-30	33510957	2933451	167237481	929079	Normal (pre-intervention)
2020-12-01	34463245	2929356	173476495	952288	Normal (pre-intervention)
2020-12-02	35438261	2935187	179955001	975016	Normal (pre-intervention)
