stat	value
thetaS_last_obs_p_mean	0.9977837
thetaI_last_obs_p_mean	0.0007211925
thetaR_last_obs_p_mean	0.001495142
thetaS_last_obs_p_ci_low	0.9975922
thetaS_last_obs_p_ci_med	0.9977846
thetaS_last_obs_p_ci_up	0.9979708
thetaI_last_obs_p_ci_low	0.0006168099
thetaI_last_obs_p_ci_med	0.0007201783
thetaI_last_obs_p_ci_up	0.0008325698
thetaR_last_obs_p_ci_low	0.001343138
thetaR_last_obs_p_ci_med	0.001494388
thetaR_last_obs_p_ci_up	0.001650983
R0_p_mean	1.524971
R0_p_ci_low	1.003862
R0_p_ci_med	1.47547
R0_p_ci_up	2.344819
gamma_p_mean	0.06638463
gamma_p_ci_low	0.02634125
gamma_p_ci_med	0.06584579
gamma_p_ci_up	0.1097623
beta_p_mean	0.09766184
beta_p_ci_low	0.04342065
beta_p_ci_med	0.09756558
beta_p_ci_up	0.1530799
incidence_mean	0.03375443
incidence_ci_low	0.002220188
incidence_ci_median	0.01381174
incidence_ci_up	0.2017496
thetaI_tp1_mean	0.006933945
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.001497115
thetaI_tp1_ci_up	0.05155602
thetaR_tp1_mean	0.02404597
thetaR_tp1_ci_low	0.001700022
thetaR_tp1_ci_med	0.01190885
thetaR_tp1_ci_up	0.1266581
Y_tp1_mean	0.006935088
Y_tp1_ci_low	0
Y_tp1_ci_med	0.00149827
Y_tp1_ci_up	0.05165181
R_tp1_mean	0.02404605
R_tp1_ci_low	0.001692043
R_tp1_ci_med	0.01190862
R_tp1_ci_up	0.1267045
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.0264425
thetaR_max_ci_low	0.001678008
thetaR_max_ci_med	0.01250137
thetaR_max_ci_up	0.1442017
cumInf_mean	0.03392864
cumInf_ci_low	0.001718719
cumInf_ci_med	0.01423274
cumInf_ci_up	0.2010718
dthetaI_tp1_date	01/26/21
first_tp_mean	09/28/20
first_tp_ci_low	07/21/20
first_tp_ci_med	08/24/20
first_tp_ci_up	02/01/21
dthetaI_tp2_date	01/26/21
second_tp_mean	10/01/20
second_tp_ci_low	07/24/20
second_tp_ci_med	08/27/20
second_tp_ci_up	02/01/21
end_p_mean	01/23/21
end_p_ci_low	11/07/20
end_p_ci_med	02/01/21
end_p_ci_up	02/01/21
begin_str	07/17/2020
