stat	value
thetaS_last_obs_p_mean	0.9988168
thetaI_last_obs_p_mean	0.0002832151
thetaR_last_obs_p_mean	0.0008999989
thetaS_last_obs_p_ci_low	0.9986776
thetaS_last_obs_p_ci_med	0.9988177
thetaS_last_obs_p_ci_up	0.9989508
thetaI_last_obs_p_ci_low	0.0002192834
thetaI_last_obs_p_ci_med	0.0002822731
thetaI_last_obs_p_ci_up	0.0003521823
thetaR_last_obs_p_ci_low	0.0007839883
thetaR_last_obs_p_ci_med	0.0008992074
thetaR_last_obs_p_ci_up	0.001020572
R0_p_mean	1.514518
R0_p_ci_low	0.8362729
R0_p_ci_med	1.429945
R0_p_ci_up	2.697944
gamma_p_mean	0.06248728
gamma_p_ci_low	0.01439618
gamma_p_ci_med	0.0594178
gamma_p_ci_up	0.128191
beta_p_mean	0.08849229
beta_p_ci_low	0.02253687
beta_p_ci_med	0.08626671
beta_p_ci_up	0.1685656
incidence_mean	0.0169924
incidence_ci_low	0.0004477282
incidence_ci_median	0.003139903
incidence_ci_up	0.1386535
thetaI_tp1_mean	0.004676446
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.0001407944
thetaI_tp1_ci_up	0.04465846
thetaR_tp1_mean	0.01250988
thetaR_tp1_ci_low	8.524443e-05
thetaR_tp1_ci_med	0.00336375
thetaR_tp1_ci_up	0.09186371
Y_tp1_mean	0.004676547
Y_tp1_ci_low	0
Y_tp1_ci_med	0.0001381698
Y_tp1_ci_up	0.04468775
R_tp1_mean	0.01251026
R_tp1_ci_low	8.11913e-05
R_tp1_ci_med	0.003365661
R_tp1_ci_up	0.09186437
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01250988
thetaR_max_ci_low	8.524443e-05
thetaR_max_ci_med	0.00336375
thetaR_max_ci_up	0.09186371
cumInf_mean	0.01718633
cumInf_ci_low	8.766954e-05
cumInf_ci_med	0.003679675
cumInf_ci_up	0.137118
dthetaI_tp1_date	02/03/21
first_tp_mean	09/13/20
first_tp_ci_low	07/23/20
first_tp_ci_med	08/09/20
first_tp_ci_up	02/03/21
dthetaI_tp2_date	02/03/21
second_tp_mean	09/15/20
second_tp_ci_low	07/25/20
second_tp_ci_med	08/11/20
second_tp_ci_up	02/03/21
end_p_mean	12/31/20
end_p_ci_low	09/30/20
end_p_ci_med	02/03/21
end_p_ci_up	02/03/21
begin_str	07/19/2020
