date	value	lower_ci	upper_ci	incidence	scenario
2020-09-05	137990	114295	163642	NA	Soc. Dist. + Travel Ban
2020-09-06	139967	112391	170170	1977	Soc. Dist. + Travel Ban
2020-09-07	141960	110765	176400	1993	Soc. Dist. + Travel Ban
2020-09-08	143957	109450	182349	1997	Soc. Dist. + Travel Ban
2020-09-09	145969	108257	188188	2012	Soc. Dist. + Travel Ban
2020-09-10	147970	107389	194125	2001	Soc. Dist. + Travel Ban
2020-09-11	149964	106382	200081	1994	Soc. Dist. + Travel Ban
2020-09-12	151998	105708	205640	2034	Soc. Dist. + Travel Ban
2020-09-13	154043	104735	211436	2045	Soc. Dist. + Travel Ban
2020-09-14	156107	104259	217168	2064	Soc. Dist. + Travel Ban
2020-09-15	158194	103700	222823	2087	Soc. Dist. + Travel Ban
2020-09-16	160287	103097	228708	2093	Soc. Dist. + Travel Ban
2020-09-17	162363	102586	234356	2076	Soc. Dist. + Travel Ban
2020-09-18	164468	102104	240193	2105	Soc. Dist. + Travel Ban
2020-09-19	166601	101730	245728	2133	Soc. Dist. + Travel Ban
2020-09-20	168736	101564	251904	2135	Soc. Dist. + Travel Ban
2020-09-21	170898	101442	258073	2162	Soc. Dist. + Travel Ban
2020-09-22	173049	100846	263981	2151	Soc. Dist. + Travel Ban
2020-09-23	175221	100503	270360	2172	Soc. Dist. + Travel Ban
2020-09-24	177428	100257	276666	2207	Soc. Dist. + Travel Ban
2020-09-25	179634	100133	282555	2206	Soc. Dist. + Travel Ban
2020-09-26	181884	99870	288941	2250	Soc. Dist. + Travel Ban
2020-09-27	184139	99605	295114	2255	Soc. Dist. + Travel Ban
2020-09-28	186386	99557	301595	2247	Soc. Dist. + Travel Ban
2020-09-29	188681	99490	308263	2295	Soc. Dist. + Travel Ban
2020-09-30	190973	99289	315014	2292	Soc. Dist. + Travel Ban
2020-10-01	193266	99326	321768	2293	Soc. Dist. + Travel Ban
2020-10-02	195581	99192	328272	2315	Soc. Dist. + Travel Ban
2020-10-03	197920	99240	335883	2339	Soc. Dist. + Travel Ban
2020-10-04	200296	98992	342515	2376	Soc. Dist. + Travel Ban
2020-10-05	202684	99096	349809	2388	Soc. Dist. + Travel Ban
2020-10-06	205116	99037	356996	2432	Soc. Dist. + Travel Ban
