date	value	lower_ci	upper_ci	incidence	scenario
2020-09-07	74708	51491	101514	NA	Cautious return
2020-09-08	75522	48899	107096	814	Cautious return
2020-09-09	76346	46673	112083	824	Cautious return
2020-09-10	77148	44871	116740	802	Cautious return
2020-09-11	77949	43229	121506	801	Cautious return
2020-09-12	78742	41619	125804	793	Cautious return
2020-09-13	79546	40356	129952	804	Cautious return
2020-09-14	80360	39123	134341	814	Cautious return
2020-09-15	81157	38077	138251	797	Cautious return
2020-09-16	81935	36933	142391	778	Cautious return
2020-09-17	82713	35989	146513	778	Cautious return
2020-09-18	83470	35077	150221	757	Cautious return
2020-09-19	84230	34149	154017	760	Cautious return
2020-09-20	84977	33475	157891	747	Cautious return
2020-09-21	85722	32669	161963	745	Cautious return
2020-09-22	86490	32070	165572	768	Cautious return
2020-09-23	87224	31291	169273	734	Cautious return
2020-09-24	87957	30709	173343	733	Cautious return
2020-09-25	88712	30146	176769	755	Cautious return
2020-09-26	89453	29670	180554	741	Cautious return
2020-09-27	90192	29228	184647	739	Cautious return
2020-09-28	90929	28812	188449	737	Cautious return
2020-09-29	91669	28391	191887	740	Cautious return
2020-09-30	92393	28063	195881	724	Cautious return
2020-10-01	93115	27697	199749	722	Cautious return
2020-10-02	93831	27294	203718	716	Cautious return
2020-10-03	94562	26910	206927	731	Cautious return
2020-10-04	95283	26561	210485	721	Cautious return
2020-10-05	96017	26134	214738	734	Cautious return
2020-10-06	96759	25888	218628	742	Cautious return
2020-10-07	97519	25490	222607	760	Cautious return
2020-10-08	98228	25208	226593	709	Cautious return
2020-10-09	98968	24855	230080	740	Cautious return
2020-10-10	99684	24517	234176	716	Cautious return
2020-10-11	100399	24147	238198	715	Cautious return
2020-10-12	101148	23956	241726	749	Cautious return
2020-10-13	101849	23599	246461	701	Cautious return
2020-10-14	102587	23173	250384	738	Cautious return
2020-10-15	103347	22717	254717	760	Cautious return
2020-10-16	104090	22492	258184	743	Cautious return
2020-10-17	104811	22154	262966	721	Cautious return
2020-10-18	105554	21734	266847	743	Cautious return
2020-10-19	106322	21627	271423	768	Cautious return
2020-10-20	107059	21211	275005	737	Cautious return
2020-10-21	107817	20966	279315	758	Cautious return
2020-10-22	108564	20588	284299	747	Cautious return
2020-10-23	109330	20300	288899	766	Cautious return
2020-10-24	110117	19965	293538	787	Cautious return
2020-10-25	110909	19735	298199	792	Cautious return
2020-10-26	111679	19404	302620	770	Cautious return
2020-10-27	112454	19089	307623	775	Cautious return
2020-10-28	113261	18891	312118	807	Cautious return
2020-10-29	114064	18649	316109	803	Cautious return
2020-10-30	114834	18378	321235	770	Cautious return
2020-10-31	115642	18030	326555	808	Cautious return
2020-11-01	116455	17683	331800	813	Cautious return
2020-11-02	117288	17525	336839	833	Cautious return
2020-11-03	118108	17194	342341	820	Cautious return
2020-11-04	118912	16765	347772	804	Cautious return
2020-11-05	119759	16439	352300	847	Cautious return
2020-11-06	120598	16199	358838	839	Cautious return
2020-11-07	121448	15983	363964	850	Cautious return
2020-11-08	122312	15596	369498	864	Cautious return
2020-11-09	123205	15369	375373	893	Cautious return
2020-11-10	124081	15276	380649	876	Cautious return
2020-11-11	124952	14930	386689	871	Cautious return
2020-11-12	125848	14550	391300	896	Cautious return
2020-11-13	126724	14263	398096	876	Cautious return
2020-11-14	127643	14014	403841	919	Cautious return
2020-11-15	128594	13747	410795	951	Cautious return
2020-11-16	129519	13501	416554	925	Cautious return
2020-11-17	130467	13188	422790	948	Cautious return
2020-11-18	131446	12889	429378	979	Cautious return
2020-11-19	132409	12650	435831	963	Cautious return
2020-11-20	133381	12434	443208	972	Cautious return
2020-11-21	134341	12092	449950	960	Cautious return
2020-11-22	135341	11767	456324	1000	Cautious return
2020-11-23	136365	11515	464063	1024	Cautious return
2020-11-24	137374	11337	471831	1009	Cautious return
2020-11-25	138394	11031	478296	1020	Cautious return
2020-11-26	139461	10715	485288	1067	Cautious return
2020-11-27	140536	10502	493023	1075	Cautious return
2020-11-28	141594	10268	501069	1058	Cautious return
2020-11-29	142658	9909	508595	1064	Cautious return
2020-11-30	143745	9817	516736	1087	Cautious return
2020-12-01	144872	9579	525891	1127	Cautious return
2020-12-02	146000	9351	533244	1128	Cautious return
2020-12-03	147145	9128	541470	1145	Cautious return
2020-12-04	148314	8856	549227	1169	Cautious return
2020-12-05	149489	8730	556659	1175	Cautious return
2020-12-06	150665	8506	567324	1176	Cautious return
2020-12-07	151877	8196	575328	1212	Cautious return
2020-12-08	153125	7929	585626	1248	Cautious return
2020-12-09	154411	7767	592674	1286	Cautious return
2020-12-10	155689	7527	602870	1278	Cautious return
2020-12-11	156987	7358	611512	1298	Cautious return
2020-12-12	158277	7115	622092	1290	Cautious return
2020-12-13	159618	6866	633033	1341	Cautious return
2020-12-14	161015	6657	642645	1397	Cautious return
2020-12-15	162400	6436	650503	1385	Cautious return
2020-12-16	163787	6142	661912	1387	Cautious return
2020-12-17	165224	6012	672451	1437	Cautious return
2020-12-18	166705	5739	683579	1481	Cautious return
2020-12-19	168215	5619	693844	1510	Cautious return
2020-12-20	169747	5201	705016	1532	Cautious return
2020-12-21	171271	5023	715744	1524	Cautious return
2020-12-22	172835	4840	726720	1564	Cautious return
2020-12-23	174388	4574	738102	1553	Cautious return
2020-12-24	176030	4383	750227	1642	Cautious return
2020-12-25	177663	4236	762657	1633	Cautious return
2020-12-26	179336	4036	772167	1673	Cautious return
2020-12-27	181014	3806	785761	1678	Cautious return
2020-12-28	182745	3590	799125	1731	Cautious return
2020-12-29	184517	3340	811126	1772	Cautious return
2020-12-30	186336	3133	824047	1819	Cautious return
2020-12-31	188135	2864	839933	1799	Cautious return
2021-01-01	189994	2715	852573	1859	Cautious return
2021-01-02	191869	2511	867718	1875	Cautious return
2021-01-03	193778	2317	880553	1909	Cautious return
2021-01-04	195721	2129	895881	1943	Cautious return
2021-01-05	197712	1960	910323	1991	Cautious return
2021-01-06	199705	1694	929935	1993	Cautious return
2021-01-07	201801	1461	941301	2096	Cautious return
2021-01-08	203870	1344	958881	2069	Cautious return
2021-01-09	205977	1145	975480	2107	Cautious return
2021-01-10	208195	913	989073	2218	Cautious return
2021-01-11	210403	818	1006050	2208	Cautious return
2021-01-12	212638	550	1024783	2235	Cautious return
2021-01-13	214910	360	1040398	2272	Cautious return
2021-01-14	217256	187	1059251	2346	Cautious return
2021-01-15	219607	65	1076692	2351	Cautious return
2021-01-16	222031	5	1094243	2424	Cautious return
2021-01-17	224486	0	1110274	2455	Cautious return
2021-01-18	226983	0	1129763	2497	Cautious return
2021-01-19	229541	0	1148060	2558	Cautious return
2021-01-20	232123	0	1165239	2582	Cautious return
2021-01-21	234753	0	1186175	2630	Cautious return
2021-01-22	237409	0	1206202	2656	Cautious return
2021-01-23	240124	0	1223920	2715	Cautious return
2021-01-24	242912	0	1249459	2788	Cautious return
2021-01-25	245761	0	1268295	2849	Cautious return
2021-01-26	248638	0	1289998	2877	Cautious return
2021-01-27	251569	0	1310154	2931	Cautious return
2021-01-28	254539	0	1335255	2970	Cautious return
2021-01-29	257542	0	1356408	3003	Cautious return
2021-01-30	260592	0	1379749	3050	Cautious return
2021-01-31	263730	0	1399410	3138	Cautious return
2021-02-01	266918	0	1426298	3188	Cautious return
2021-02-02	270119	0	1450266	3201	Cautious return
2021-02-03	273391	0	1471745	3272	Cautious return
2021-02-04	276665	0	1498143	3274	Cautious return
2021-02-05	280100	0	1525063	3435	Cautious return
2021-02-06	283574	0	1550598	3474	Cautious return
2021-02-07	287036	0	1577487	3462	Cautious return
2021-02-08	290579	0	1607171	3543	Cautious return
