stat	value
thetaS_last_obs_p_mean	0.9981286
thetaI_last_obs_p_mean	0.0009752745
thetaR_last_obs_p_mean	0.0008961389
thetaS_last_obs_p_ci_low	0.9979487
thetaS_last_obs_p_ci_med	0.9981298
thetaS_last_obs_p_ci_up	0.9983019
thetaI_last_obs_p_ci_low	0.0008504413
thetaI_last_obs_p_ci_med	0.0009745091
thetaI_last_obs_p_ci_up	0.001105627
thetaR_last_obs_p_ci_low	0.0007788132
thetaR_last_obs_p_ci_med	0.0008952499
thetaR_last_obs_p_ci_up	0.001019224
R0_p_mean	2.295987
R0_p_ci_low	1.400056
R0_p_ci_med	2.182196
R0_p_ci_up	3.849737
gamma_p_mean	0.05203274
gamma_p_ci_low	0.01997721
gamma_p_ci_med	0.05040632
gamma_p_ci_up	0.09332233
beta_p_mean	0.1121354
beta_p_ci_low	0.0523987
beta_p_ci_med	0.1119526
beta_p_ci_up	0.1728959
incidence_mean	0.2794064
incidence_ci_low	0.007349698
incidence_ci_median	0.215307
incidence_ci_up	0.7917925
thetaI_tp1_mean	0.03965823
thetaI_tp1_ci_low	0.000676777
thetaI_tp1_ci_med	0.02099499
thetaI_tp1_ci_up	0.1819959
thetaR_tp1_mean	0.05856487
thetaR_tp1_ci_low	0.003918825
thetaR_tp1_ci_med	0.03533486
thetaR_tp1_ci_up	0.2507283
Y_tp1_mean	0.03965676
Y_tp1_ci_low	0.0006771402
Y_tp1_ci_med	0.02100453
Y_tp1_ci_up	0.181964
R_tp1_mean	0.05856541
R_tp1_ci_low	0.003906672
R_tp1_ci_med	0.03532686
R_tp1_ci_up	0.2506397
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.2055861
thetaR_max_ci_low	0.006098849
thetaR_max_ci_med	0.1439487
thetaR_max_ci_up	0.6596327
cumInf_mean	0.2780609
cumInf_ci_low	0.007395932
cumInf_ci_med	0.2133519
cumInf_ci_up	0.7916226
dthetaI_tp1_date	12/18/20
first_tp_mean	12/25/20
first_tp_ci_low	09/01/20
first_tp_ci_med	01/10/21
first_tp_ci_up	02/09/21
dthetaI_tp2_date	12/18/20
second_tp_mean	01/03/21
second_tp_ci_low	09/02/20
second_tp_ci_med	01/23/21
second_tp_ci_up	02/09/21
end_p_mean	02/08/21
end_p_ci_low	02/09/21
end_p_ci_med	02/09/21
end_p_ci_up	02/09/21
begin_str	07/25/2020
