stat	value
thetaS_last_obs_p_mean	0.9959245
thetaI_last_obs_p_mean	0.0009177892
thetaR_last_obs_p_mean	0.003157757
thetaS_last_obs_p_ci_low	0.9956653
thetaS_last_obs_p_ci_med	0.995925
thetaS_last_obs_p_ci_up	0.9961776
thetaI_last_obs_p_ci_low	0.0007986341
thetaI_last_obs_p_ci_med	0.000916712
thetaI_last_obs_p_ci_up	0.001043381
thetaR_last_obs_p_ci_low	0.00293594
thetaR_last_obs_p_ci_med	0.003156976
thetaR_last_obs_p_ci_up	0.003385617
R0_p_mean	1.467878
R0_p_ci_low	0.9398447
R0_p_ci_med	1.397842
R0_p_ci_up	2.417394
gamma_p_mean	0.05451377
gamma_p_ci_low	0.01521776
gamma_p_ci_med	0.05306114
gamma_p_ci_up	0.1026411
beta_p_mean	0.07570404
beta_p_ci_low	0.02506617
beta_p_ci_med	0.07492956
beta_p_ci_up	0.1314495
incidence_mean	0.1234117
incidence_ci_low	0.003435888
incidence_ci_median	0.06292012
incidence_ci_up	0.5460372
thetaI_tp1_mean	0.02063235
thetaI_tp1_ci_low	9.594687e-05
thetaI_tp1_ci_med	0.009200425
thetaI_tp1_ci_up	0.1081781
thetaR_tp1_mean	0.04778456
thetaR_tp1_ci_low	0.004221228
thetaR_tp1_ci_med	0.0259953
thetaR_tp1_ci_up	0.2265669
Y_tp1_mean	0.02063269
Y_tp1_ci_low	9.328751e-05
Y_tp1_ci_med	0.009194329
Y_tp1_ci_up	0.1082232
R_tp1_mean	0.04778292
R_tp1_ci_low	0.004219779
R_tp1_ci_med	0.02598651
R_tp1_ci_up	0.2265227
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.09280439
thetaR_max_ci_low	0.004555694
thetaR_max_ci_med	0.04665258
thetaR_max_ci_up	0.4317178
cumInf_mean	0.124363
cumInf_ci_low	0.00513628
cumInf_ci_med	0.06431765
cumInf_ci_up	0.5442698
dthetaI_tp1_date	01/07/21
first_tp_mean	12/02/20
first_tp_ci_low	07/30/20
first_tp_ci_med	01/13/21
first_tp_ci_up	02/09/21
dthetaI_tp2_date	01/07/21
second_tp_mean	12/05/20
second_tp_ci_low	08/02/20
second_tp_ci_med	01/21/21
second_tp_ci_up	02/09/21
end_p_mean	02/07/21
end_p_ci_low	02/09/21
end_p_ci_med	02/09/21
end_p_ci_up	02/09/21
begin_str	07/25/2020
