date	value	lower_ci	upper_ci	incidence	scenario
2020-09-08	473698	415531	535913	NA	Soc. Dist. + Travel Ban
2020-09-09	477316	409796	549617	3618	Soc. Dist. + Travel Ban
2020-09-10	480861	405330	562930	3545	Soc. Dist. + Travel Ban
2020-09-11	484306	401168	574822	3445	Soc. Dist. + Travel Ban
2020-09-12	487700	398055	586201	3394	Soc. Dist. + Travel Ban
2020-09-13	490987	395005	597261	3287	Soc. Dist. + Travel Ban
2020-09-14	494209	392377	607716	3222	Soc. Dist. + Travel Ban
2020-09-15	497415	389156	617666	3206	Soc. Dist. + Travel Ban
2020-09-16	500598	387190	627656	3183	Soc. Dist. + Travel Ban
2020-09-17	503648	385044	637540	3050	Soc. Dist. + Travel Ban
2020-09-18	506671	383085	646387	3023	Soc. Dist. + Travel Ban
2020-09-19	509618	381840	655829	2947	Soc. Dist. + Travel Ban
2020-09-20	512475	379734	665328	2857	Soc. Dist. + Travel Ban
2020-09-21	515321	378119	674330	2846	Soc. Dist. + Travel Ban
2020-09-22	518102	376791	682935	2781	Soc. Dist. + Travel Ban
2020-09-23	520835	375453	691356	2733	Soc. Dist. + Travel Ban
2020-09-24	523534	374007	699773	2699	Soc. Dist. + Travel Ban
2020-09-25	526181	372597	708658	2647	Soc. Dist. + Travel Ban
2020-09-26	528760	371321	716643	2579	Soc. Dist. + Travel Ban
2020-09-27	531296	370346	723989	2536	Soc. Dist. + Travel Ban
2020-09-28	533734	369007	732227	2438	Soc. Dist. + Travel Ban
2020-09-29	536216	367583	739340	2482	Soc. Dist. + Travel Ban
2020-09-30	538626	366943	747921	2410	Soc. Dist. + Travel Ban
2020-10-01	541015	365756	755325	2389	Soc. Dist. + Travel Ban
2020-10-02	543332	364797	763277	2317	Soc. Dist. + Travel Ban
2020-10-03	545583	363890	770246	2251	Soc. Dist. + Travel Ban
2020-10-04	547892	363035	778193	2309	Soc. Dist. + Travel Ban
2020-10-05	550080	362296	785072	2188	Soc. Dist. + Travel Ban
2020-10-06	552263	361332	792172	2183	Soc. Dist. + Travel Ban
2020-10-07	554365	360464	798681	2102	Soc. Dist. + Travel Ban
2020-10-08	556461	359198	806153	2096	Soc. Dist. + Travel Ban
2020-10-09	558540	358532	813570	2079	Soc. Dist. + Travel Ban
2020-10-10	560487	358110	819876	1947	Soc. Dist. + Travel Ban
2020-10-11	562485	356711	826696	1998	Soc. Dist. + Travel Ban
2020-10-12	564475	356704	833260	1990	Soc. Dist. + Travel Ban
2020-10-13	566451	356301	840360	1976	Soc. Dist. + Travel Ban
2020-10-14	568307	354867	847195	1856	Soc. Dist. + Travel Ban
2020-10-15	570161	353719	853967	1854	Soc. Dist. + Travel Ban
2020-10-16	572032	353278	860600	1871	Soc. Dist. + Travel Ban
2020-10-17	573894	352414	867715	1862	Soc. Dist. + Travel Ban
2020-10-18	575646	351463	874443	1752	Soc. Dist. + Travel Ban
2020-10-19	577432	351476	880566	1786	Soc. Dist. + Travel Ban
2020-10-20	579145	350265	886745	1713	Soc. Dist. + Travel Ban
2020-10-21	580903	349767	892883	1758	Soc. Dist. + Travel Ban
2020-10-22	582645	349362	899433	1742	Soc. Dist. + Travel Ban
2020-10-23	584292	348116	905167	1647	Soc. Dist. + Travel Ban
2020-10-24	585985	347565	912657	1693	Soc. Dist. + Travel Ban
2020-10-25	587586	347246	918490	1601	Soc. Dist. + Travel Ban
2020-10-26	589136	346696	924406	1550	Soc. Dist. + Travel Ban
2020-10-27	590782	346312	930743	1646	Soc. Dist. + Travel Ban
2020-10-28	592354	345204	936978	1572	Soc. Dist. + Travel Ban
2020-10-29	593919	344744	943472	1565	Soc. Dist. + Travel Ban
2020-10-30	595414	343792	949732	1495	Soc. Dist. + Travel Ban
2020-10-31	596929	343398	955173	1515	Soc. Dist. + Travel Ban
2020-11-01	598444	342414	961849	1515	Soc. Dist. + Travel Ban
2020-11-02	599970	342088	966719	1526	Soc. Dist. + Travel Ban
2020-11-03	601411	341083	973616	1441	Soc. Dist. + Travel Ban
2020-11-04	602895	340904	979421	1484	Soc. Dist. + Travel Ban
2020-11-05	604251	339764	985078	1356	Soc. Dist. + Travel Ban
2020-11-06	605642	338709	991708	1391	Soc. Dist. + Travel Ban
2020-11-07	607025	337727	997551	1383	Soc. Dist. + Travel Ban
2020-11-08	608390	337439	1003153	1365	Soc. Dist. + Travel Ban
2020-11-09	609780	335764	1008860	1390	Soc. Dist. + Travel Ban
2020-11-10	611100	335322	1015063	1320	Soc. Dist. + Travel Ban
2020-11-11	612362	333996	1021826	1262	Soc. Dist. + Travel Ban
2020-11-12	613736	333947	1027223	1374	Soc. Dist. + Travel Ban
2020-11-13	615050	332623	1033251	1314	Soc. Dist. + Travel Ban
2020-11-14	616333	331695	1039169	1283	Soc. Dist. + Travel Ban
2020-11-15	617611	330710	1045620	1278	Soc. Dist. + Travel Ban
2020-11-16	618838	329822	1049648	1227	Soc. Dist. + Travel Ban
2020-11-17	620135	329187	1055588	1297	Soc. Dist. + Travel Ban
2020-11-18	621363	328526	1062144	1228	Soc. Dist. + Travel Ban
2020-11-19	622547	327247	1068849	1184	Soc. Dist. + Travel Ban
2020-11-20	623735	326797	1072830	1188	Soc. Dist. + Travel Ban
2020-11-21	624891	325413	1078552	1156	Soc. Dist. + Travel Ban
2020-11-22	626043	324994	1084875	1152	Soc. Dist. + Travel Ban
2020-11-23	627136	323935	1090327	1093	Soc. Dist. + Travel Ban
2020-11-24	628293	323015	1096021	1157	Soc. Dist. + Travel Ban
2020-11-25	629437	321500	1102199	1144	Soc. Dist. + Travel Ban
2020-11-26	630526	321618	1107091	1089	Soc. Dist. + Travel Ban
2020-11-27	631637	320865	1113643	1111	Soc. Dist. + Travel Ban
2020-11-28	632741	319284	1119591	1104	Soc. Dist. + Travel Ban
2020-11-29	633885	318696	1124572	1144	Soc. Dist. + Travel Ban
2020-11-30	634942	318052	1130113	1057	Soc. Dist. + Travel Ban
2020-12-01	636024	316498	1135943	1082	Soc. Dist. + Travel Ban
2020-12-02	637139	315505	1142223	1115	Soc. Dist. + Travel Ban
2020-12-03	638181	315373	1147397	1042	Soc. Dist. + Travel Ban
2020-12-04	639215	314914	1154498	1034	Soc. Dist. + Travel Ban
2020-12-05	640236	314606	1159372	1021	Soc. Dist. + Travel Ban
2020-12-06	641273	313031	1164577	1037	Soc. Dist. + Travel Ban
2020-12-07	642343	312711	1169734	1070	Soc. Dist. + Travel Ban
2020-12-08	643387	312361	1176511	1044	Soc. Dist. + Travel Ban
2020-12-09	644398	310918	1181735	1011	Soc. Dist. + Travel Ban
2020-12-10	645376	310192	1187983	978	Soc. Dist. + Travel Ban
2020-12-11	646390	308877	1193570	1014	Soc. Dist. + Travel Ban
2020-12-12	647347	308157	1199035	957	Soc. Dist. + Travel Ban
2020-12-13	648382	307049	1203841	1035	Soc. Dist. + Travel Ban
2020-12-14	649352	306339	1209486	970	Soc. Dist. + Travel Ban
2020-12-15	650289	305220	1215926	937	Soc. Dist. + Travel Ban
2020-12-16	651231	304086	1220101	942	Soc. Dist. + Travel Ban
2020-12-17	652220	304144	1227172	989	Soc. Dist. + Travel Ban
2020-12-18	653180	303070	1231869	960	Soc. Dist. + Travel Ban
2020-12-19	654113	301490	1237642	933	Soc. Dist. + Travel Ban
2020-12-20	655091	300456	1244119	978	Soc. Dist. + Travel Ban
2020-12-21	656014	300148	1250801	923	Soc. Dist. + Travel Ban
2020-12-22	656886	299549	1255899	872	Soc. Dist. + Travel Ban
2020-12-23	657800	298731	1261219	914	Soc. Dist. + Travel Ban
2020-12-24	658716	297848	1265620	916	Soc. Dist. + Travel Ban
2020-12-25	659612	296884	1271998	896	Soc. Dist. + Travel Ban
2020-12-26	660513	296583	1276909	901	Soc. Dist. + Travel Ban
2020-12-27	661459	295043	1283947	946	Soc. Dist. + Travel Ban
2020-12-28	662372	294069	1288928	913	Soc. Dist. + Travel Ban
2020-12-29	663246	293619	1294316	874	Soc. Dist. + Travel Ban
2020-12-30	664156	292371	1302028	910	Soc. Dist. + Travel Ban
2020-12-31	665030	291527	1306984	874	Soc. Dist. + Travel Ban
2021-01-01	665903	291123	1312137	873	Soc. Dist. + Travel Ban
2021-01-02	666760	290189	1318475	857	Soc. Dist. + Travel Ban
2021-01-03	667596	288938	1323821	836	Soc. Dist. + Travel Ban
2021-01-04	668459	288026	1330896	863	Soc. Dist. + Travel Ban
2021-01-05	669353	288012	1335634	894	Soc. Dist. + Travel Ban
2021-01-06	670213	286646	1342323	860	Soc. Dist. + Travel Ban
2021-01-07	671023	286446	1347469	810	Soc. Dist. + Travel Ban
2021-01-08	671783	284818	1352686	760	Soc. Dist. + Travel Ban
2021-01-09	672640	283848	1357275	857	Soc. Dist. + Travel Ban
2021-01-10	673484	283055	1362604	844	Soc. Dist. + Travel Ban
2021-01-11	674370	282564	1367524	886	Soc. Dist. + Travel Ban
2021-01-12	675180	281549	1374135	810	Soc. Dist. + Travel Ban
2021-01-13	676053	280252	1380569	873	Soc. Dist. + Travel Ban
2021-01-14	676959	279279	1386027	906	Soc. Dist. + Travel Ban
2021-01-15	677794	279302	1390619	835	Soc. Dist. + Travel Ban
2021-01-16	678625	278497	1396800	831	Soc. Dist. + Travel Ban
2021-01-17	679468	277501	1404470	843	Soc. Dist. + Travel Ban
2021-01-18	680280	277642	1408931	812	Soc. Dist. + Travel Ban
2021-01-19	681118	276657	1413834	838	Soc. Dist. + Travel Ban
2021-01-20	681947	275502	1421865	829	Soc. Dist. + Travel Ban
2021-01-21	682761	274531	1427830	814	Soc. Dist. + Travel Ban
2021-01-22	683571	273966	1434887	810	Soc. Dist. + Travel Ban
2021-01-23	684349	273178	1438846	778	Soc. Dist. + Travel Ban
2021-01-24	685169	272119	1446017	820	Soc. Dist. + Travel Ban
2021-01-25	686032	271694	1451410	863	Soc. Dist. + Travel Ban
2021-01-26	686841	270756	1457039	809	Soc. Dist. + Travel Ban
2021-01-27	687649	270112	1461531	808	Soc. Dist. + Travel Ban
2021-01-28	688510	268783	1469033	861	Soc. Dist. + Travel Ban
2021-01-29	689340	268678	1474555	830	Soc. Dist. + Travel Ban
2021-01-30	690179	268221	1477464	839	Soc. Dist. + Travel Ban
2021-01-31	691017	267436	1484869	838	Soc. Dist. + Travel Ban
2021-02-01	691902	265794	1489273	885	Soc. Dist. + Travel Ban
2021-02-02	692699	264874	1497435	797	Soc. Dist. + Travel Ban
2021-02-03	693547	263809	1502359	848	Soc. Dist. + Travel Ban
2021-02-04	694397	262771	1507940	850	Soc. Dist. + Travel Ban
2021-02-05	695262	263056	1515812	865	Soc. Dist. + Travel Ban
2021-02-06	696106	261685	1522284	844	Soc. Dist. + Travel Ban
2021-02-07	696945	260471	1529194	839	Soc. Dist. + Travel Ban
2021-02-08	697795	259796	1532834	850	Soc. Dist. + Travel Ban
2021-02-09	698621	258727	1541709	826	Soc. Dist. + Travel Ban
