date	value	lower_ci	upper_ci	incidence	scenario
2020-09-09	188687	147946	234045	NA	Moderate return
2020-09-10	190323	143484	243253	1636	Moderate return
2020-09-11	191955	139676	252013	1632	Moderate return
2020-09-12	193537	136263	259762	1582	Moderate return
2020-09-13	195154	133492	267655	1617	Moderate return
2020-09-14	196707	130554	275168	1553	Moderate return
2020-09-15	198309	128482	282555	1602	Moderate return
2020-09-16	199859	126221	289527	1550	Moderate return
2020-09-17	201405	124152	295944	1546	Moderate return
2020-09-18	202906	122520	302846	1501	Moderate return
2020-09-19	204414	120532	309613	1508	Moderate return
2020-09-20	205943	119131	316144	1529	Moderate return
2020-09-21	207459	117500	323061	1516	Moderate return
2020-09-22	208942	116240	329063	1483	Moderate return
2020-09-23	210376	114723	335811	1434	Moderate return
2020-09-24	211807	113443	342059	1431	Moderate return
2020-09-25	213258	112316	348560	1451	Moderate return
2020-09-26	214669	110968	354332	1411	Moderate return
2020-09-27	216087	109997	360748	1418	Moderate return
2020-09-28	217472	108876	366940	1385	Moderate return
2020-09-29	218950	107876	373628	1478	Moderate return
2020-09-30	220365	107052	379867	1415	Moderate return
2020-10-01	221759	106326	385869	1394	Moderate return
2020-10-02	223179	105653	391787	1420	Moderate return
2020-10-03	224589	105029	398829	1410	Moderate return
2020-10-04	226005	104414	404508	1416	Moderate return
2020-10-05	227399	103730	410711	1394	Moderate return
2020-10-06	228779	103086	416760	1380	Moderate return
2020-10-07	230128	102251	422832	1349	Moderate return
2020-10-08	231492	101549	430054	1364	Moderate return
2020-10-09	232843	100517	436015	1351	Moderate return
2020-10-10	234232	100134	442122	1389	Moderate return
2020-10-11	235593	99082	449313	1361	Moderate return
2020-10-12	236927	98602	455252	1334	Moderate return
2020-10-13	238292	97913	460907	1365	Moderate return
2020-10-14	239626	97564	467538	1334	Moderate return
2020-10-15	241001	96909	474347	1375	Moderate return
2020-10-16	242350	96158	481145	1349	Moderate return
2020-10-17	243688	95577	488130	1338	Moderate return
2020-10-18	245045	95033	494760	1357	Moderate return
2020-10-19	246412	94005	501269	1367	Moderate return
2020-10-20	247795	93155	508049	1383	Moderate return
2020-10-21	249167	92840	514331	1372	Moderate return
2020-10-22	250510	91728	521798	1343	Moderate return
