date	value	lower_ci	upper_ci	incidence	scenario
2020-09-10	290077	212341	378161	NA	Moderate return
2020-09-11	294382	204414	398322	4305	Moderate return
2020-09-12	298634	198013	417273	4252	Moderate return
2020-09-13	302896	192795	434880	4262	Moderate return
2020-09-14	307204	187717	451987	4308	Moderate return
2020-09-15	311504	182907	468923	4300	Moderate return
2020-09-16	315836	179044	484903	4332	Moderate return
2020-09-17	320244	175452	502239	4408	Moderate return
2020-09-18	324621	172511	518389	4377	Moderate return
2020-09-19	329067	169105	535164	4446	Moderate return
2020-09-20	333544	166523	552042	4477	Moderate return
2020-09-21	338114	164150	568570	4570	Moderate return
2020-09-22	342576	161875	584255	4462	Moderate return
2020-09-23	347164	159017	601406	4588	Moderate return
2020-09-24	351639	157128	617532	4475	Moderate return
2020-09-25	356199	155044	635007	4560	Moderate return
2020-09-26	360823	153000	652412	4624	Moderate return
2020-09-27	365506	151359	669249	4683	Moderate return
2020-09-28	370110	150026	687506	4604	Moderate return
2020-09-29	374746	147893	704536	4636	Moderate return
2020-09-30	379533	146758	723740	4787	Moderate return
2020-10-01	384313	144801	741204	4780	Moderate return
2020-10-02	389123	143459	759996	4810	Moderate return
2020-10-03	393986	141959	777221	4863	Moderate return
2020-10-04	398884	140560	797703	4898	Moderate return
2020-10-05	403800	138957	818307	4916	Moderate return
2020-10-06	408753	138105	838994	4953	Moderate return
2020-10-07	413830	136902	859040	5077	Moderate return
2020-10-08	418905	135739	879122	5075	Moderate return
2020-10-09	423994	135064	899708	5089	Moderate return
2020-10-10	429212	135085	921825	5218	Moderate return
2020-10-11	434448	133876	944094	5236	Moderate return
2020-10-12	439732	133569	967034	5284	Moderate return
2020-10-13	445067	132796	988841	5335	Moderate return
2020-10-14	450515	132336	1011140	5448	Moderate return
2020-10-15	456037	130962	1037613	5522	Moderate return
2020-10-16	461575	130576	1064462	5538	Moderate return
2020-10-17	467207	129983	1087511	5632	Moderate return
2020-10-18	472872	129759	1114766	5665	Moderate return
2020-10-19	478659	128972	1142351	5787	Moderate return
2020-10-20	484474	128696	1170185	5815	Moderate return
2020-10-21	490342	127954	1195364	5868	Moderate return
