date	value	lower_ci	upper_ci	incidence	scenario
2020-09-15	71217	56121	87773	NA	Cautious return
2020-09-16	73522	55750	93323	2305	Cautious return
2020-09-17	75872	55389	98769	2350	Cautious return
2020-09-18	78258	55347	104266	2386	Cautious return
2020-09-19	80665	55282	109827	2407	Cautious return
2020-09-20	83116	55332	115269	2451	Cautious return
2020-09-21	85598	55420	120638	2482	Cautious return
2020-09-22	88130	55585	126453	2532	Cautious return
2020-09-23	90696	55926	132226	2566	Cautious return
2020-09-24	93311	56079	137837	2615	Cautious return
2020-09-25	95944	56380	143860	2633	Cautious return
2020-09-26	98621	56717	149718	2677	Cautious return
2020-09-27	101328	57080	155922	2707	Cautious return
2020-09-28	104100	57489	162105	2772	Cautious return
2020-09-29	106915	57731	168489	2815	Cautious return
2020-09-30	109776	58263	174918	2861	Cautious return
2020-10-01	112688	58660	181601	2912	Cautious return
2020-10-02	115631	59172	188402	2943	Cautious return
2020-10-03	118624	59743	195296	2993	Cautious return
2020-10-04	121659	60079	202485	3035	Cautious return
2020-10-05	124744	60801	209756	3085	Cautious return
2020-10-06	127891	61345	216943	3147	Cautious return
2020-10-07	131100	61741	224777	3209	Cautious return
2020-10-08	134355	62313	232514	3255	Cautious return
2020-10-09	137658	62888	240639	3303	Cautious return
2020-10-10	141014	63567	248927	3356	Cautious return
2020-10-11	144439	64064	257364	3425	Cautious return
2020-10-12	147909	64721	265696	3470	Cautious return
2020-10-13	151447	65212	274745	3538	Cautious return
2020-10-14	155033	65943	284028	3586	Cautious return
2020-10-15	158714	66451	293619	3681	Cautious return
2020-10-16	162434	67272	302820	3720	Cautious return
2020-10-17	166214	67768	313012	3780	Cautious return
2020-10-18	170077	68402	323489	3863	Cautious return
2020-10-19	174002	69011	333945	3925	Cautious return
2020-10-20	178002	69666	344847	4000	Cautious return
2020-10-21	182055	70185	356120	4053	Cautious return
2020-10-22	186166	70992	366808	4111	Cautious return
2020-10-23	190375	71468	378977	4209	Cautious return
2020-10-24	194680	72131	391034	4305	Cautious return
2020-10-25	199058	72639	403294	4378	Cautious return
2020-10-26	203523	73542	415681	4465	Cautious return
2020-10-27	208049	73973	429664	4526	Cautious return
2020-10-28	212677	74616	443318	4628	Cautious return
2020-10-29	217381	75222	456888	4704	Cautious return
2020-10-30	222196	76211	471298	4815	Cautious return
2020-10-31	227069	76717	486602	4873	Cautious return
2020-11-01	232045	77367	501903	4976	Cautious return
2020-11-02	237094	77987	517051	5049	Cautious return
2020-11-03	242261	78561	533486	5167	Cautious return
2020-11-04	247524	79249	550622	5263	Cautious return
2020-11-05	252862	79803	566762	5338	Cautious return
2020-11-06	258331	80558	585114	5469	Cautious return
2020-11-07	263907	80947	603791	5576	Cautious return
2020-11-08	269593	81717	623058	5686	Cautious return
2020-11-09	275402	82555	640965	5809	Cautious return
2020-11-10	281292	82960	661851	5890	Cautious return
2020-11-11	287291	83934	682439	5999	Cautious return
2020-11-12	293434	84276	703102	6143	Cautious return
2020-11-13	299681	85229	725102	6247	Cautious return
2020-11-14	306060	85740	747426	6379	Cautious return
2020-11-15	312535	86438	769616	6475	Cautious return
2020-11-16	319155	87141	794521	6620	Cautious return
2020-11-17	325914	87877	817694	6759	Cautious return
2020-11-18	332816	88606	843027	6902	Cautious return
2020-11-19	339878	89113	869349	7062	Cautious return
2020-11-20	347048	89646	896096	7170	Cautious return
