date	value	lower_ci	upper_ci	incidence	scenario
2020-09-16	94671	68085	125006	NA	Soc. Dist. + Travel Ban
2020-09-17	96089	65380	131836	1418	Soc. Dist. + Travel Ban
2020-09-18	97551	63068	138412	1462	Soc. Dist. + Travel Ban
2020-09-19	98996	61035	144623	1445	Soc. Dist. + Travel Ban
2020-09-20	100473	59314	150800	1477	Soc. Dist. + Travel Ban
2020-09-21	101965	57939	156875	1492	Soc. Dist. + Travel Ban
2020-09-22	103447	56470	162979	1482	Soc. Dist. + Travel Ban
2020-09-23	104927	55182	169075	1480	Soc. Dist. + Travel Ban
2020-09-24	106459	54040	174831	1532	Soc. Dist. + Travel Ban
2020-09-25	107991	52872	180557	1532	Soc. Dist. + Travel Ban
2020-09-26	109538	51899	186906	1547	Soc. Dist. + Travel Ban
2020-09-27	111117	50904	193154	1579	Soc. Dist. + Travel Ban
2020-09-28	112682	50045	199148	1565	Soc. Dist. + Travel Ban
2020-09-29	114264	49224	205178	1582	Soc. Dist. + Travel Ban
2020-09-30	115890	48334	211482	1626	Soc. Dist. + Travel Ban
2020-10-01	117526	47675	218228	1636	Soc. Dist. + Travel Ban
2020-10-02	119201	46881	224529	1675	Soc. Dist. + Travel Ban
2020-10-03	120879	46133	231496	1678	Soc. Dist. + Travel Ban
2020-10-04	122604	45464	238423	1725	Soc. Dist. + Travel Ban
2020-10-05	124327	44615	245123	1723	Soc. Dist. + Travel Ban
2020-10-06	126084	44097	252650	1757	Soc. Dist. + Travel Ban
2020-10-07	127868	43639	259576	1784	Soc. Dist. + Travel Ban
2020-10-08	129650	43093	267446	1782	Soc. Dist. + Travel Ban
2020-10-09	131462	42631	275062	1812	Soc. Dist. + Travel Ban
2020-10-10	133320	42107	283174	1858	Soc. Dist. + Travel Ban
2020-10-11	135204	41627	290951	1884	Soc. Dist. + Travel Ban
2020-10-12	137124	41203	299649	1920	Soc. Dist. + Travel Ban
2020-10-13	139039	40911	307640	1915	Soc. Dist. + Travel Ban
2020-10-14	140999	40520	316058	1960	Soc. Dist. + Travel Ban
2020-10-15	143010	40240	325049	2011	Soc. Dist. + Travel Ban
2020-10-16	145022	40041	334458	2012	Soc. Dist. + Travel Ban
2020-10-17	147104	39679	343540	2082	Soc. Dist. + Travel Ban
2020-10-18	149199	39551	353191	2095	Soc. Dist. + Travel Ban
2020-10-19	151331	39352	362947	2132	Soc. Dist. + Travel Ban
2020-10-20	153509	39248	374072	2178	Soc. Dist. + Travel Ban
2020-10-21	155722	38808	384101	2213	Soc. Dist. + Travel Ban
2020-10-22	157980	38702	395076	2258	Soc. Dist. + Travel Ban
2020-10-23	160265	38367	406700	2285	Soc. Dist. + Travel Ban
2020-10-24	162621	38269	418427	2356	Soc. Dist. + Travel Ban
2020-10-25	165035	37833	430696	2414	Soc. Dist. + Travel Ban
2020-10-26	167486	37636	442712	2451	Soc. Dist. + Travel Ban
2020-10-27	169965	37404	456435	2479	Soc. Dist. + Travel Ban
2020-10-28	172507	37131	469192	2542	Soc. Dist. + Travel Ban
2020-10-29	175120	36931	483366	2613	Soc. Dist. + Travel Ban
