date	value	lower_ci	upper_ci	incidence	scenario
2020-09-16	106930	80235	137317	NA	Cautious return
2020-09-17	107688	76919	143021	758	Cautious return
2020-09-18	108456	74182	148549	768	Cautious return
2020-09-19	109212	71853	153325	756	Cautious return
2020-09-20	109948	69993	158242	736	Cautious return
2020-09-21	110646	68066	162714	698	Cautious return
2020-09-22	111370	66200	166953	724	Cautious return
2020-09-23	112072	64613	171346	702	Cautious return
2020-09-24	112776	63347	175508	704	Cautious return
2020-09-25	113475	61847	179388	699	Cautious return
2020-09-26	114152	60660	183304	677	Cautious return
2020-09-27	114833	59454	187174	681	Cautious return
2020-09-28	115451	58328	190857	618	Cautious return
2020-09-29	116077	57217	194542	626	Cautious return
2020-09-30	116716	56318	198191	639	Cautious return
2020-10-01	117341	55375	201906	625	Cautious return
2020-10-02	117979	54640	205131	638	Cautious return
2020-10-03	118621	53856	208781	642	Cautious return
2020-10-04	119203	52926	212278	582	Cautious return
2020-10-05	119824	52369	215393	621	Cautious return
2020-10-06	120437	51636	219167	613	Cautious return
2020-10-07	121040	51114	222469	603	Cautious return
2020-10-08	121607	50582	225799	567	Cautious return
2020-10-09	122223	50029	229112	616	Cautious return
2020-10-10	122793	49559	232199	570	Cautious return
2020-10-11	123380	48887	235492	587	Cautious return
2020-10-12	123966	48504	238831	586	Cautious return
2020-10-13	124518	48073	241840	552	Cautious return
2020-10-14	125075	47464	245166	557	Cautious return
2020-10-15	125619	47070	247740	544	Cautious return
2020-10-16	126188	46498	251357	569	Cautious return
2020-10-17	126741	46200	254537	553	Cautious return
2020-10-18	127313	45689	257122	572	Cautious return
2020-10-19	127853	45328	260406	540	Cautious return
2020-10-20	128381	44657	263967	528	Cautious return
2020-10-21	128887	44106	266407	506	Cautious return
2020-10-22	129427	43660	269870	540	Cautious return
2020-10-23	129973	43231	273424	546	Cautious return
2020-10-24	130482	42519	276554	509	Cautious return
2020-10-25	131002	42149	279933	520	Cautious return
2020-10-26	131525	41560	282378	523	Cautious return
2020-10-27	132014	41202	285943	489	Cautious return
2020-10-28	132519	40772	288228	505	Cautious return
2020-10-29	133030	40434	291670	511	Cautious return
2020-10-30	133519	40092	294428	489	Cautious return
2020-10-31	134062	39631	298547	543	Cautious return
2020-11-01	134560	39092	301589	498	Cautious return
2020-11-02	135063	38971	304463	503	Cautious return
2020-11-03	135555	38247	307441	492	Cautious return
2020-11-04	136091	37929	310687	536	Cautious return
2020-11-05	136614	37437	314063	523	Cautious return
2020-11-06	137114	37068	317139	500	Cautious return
2020-11-07	137641	36722	321250	527	Cautious return
2020-11-08	138155	36340	323676	514	Cautious return
2020-11-09	138681	35850	327568	526	Cautious return
2020-11-10	139196	35290	330657	515	Cautious return
2020-11-11	139709	34984	333696	513	Cautious return
2020-11-12	140224	34760	337557	515	Cautious return
2020-11-13	140739	34140	340645	515	Cautious return
2020-11-14	141228	33752	344061	489	Cautious return
2020-11-15	141719	33443	346980	491	Cautious return
2020-11-16	142233	32982	350320	514	Cautious return
2020-11-17	142739	32584	353805	506	Cautious return
2020-11-18	143244	32265	356808	505	Cautious return
2020-11-19	143783	31705	360242	539	Cautious return
2020-11-20	144307	31540	363560	524	Cautious return
2020-11-21	144796	31087	367383	489	Cautious return
2020-11-22	145330	30851	370702	534	Cautious return
2020-11-23	145850	30570	374642	520	Cautious return
2020-11-24	146381	30121	377628	531	Cautious return
2020-11-25	146884	29782	381052	503	Cautious return
2020-11-26	147404	29492	384414	520	Cautious return
2020-11-27	147923	29026	388212	519	Cautious return
2020-11-28	148394	28893	391356	471	Cautious return
2020-11-29	148901	28434	394250	507	Cautious return
2020-11-30	149439	28046	398679	538	Cautious return
2020-12-01	149956	27797	402458	517	Cautious return
2020-12-02	150490	27406	406258	534	Cautious return
2020-12-03	151018	26937	409984	528	Cautious return
2020-12-04	151553	26718	413653	535	Cautious return
2020-12-05	152085	26228	417290	532	Cautious return
2020-12-06	152609	25926	420413	524	Cautious return
2020-12-07	153174	25475	424983	565	Cautious return
2020-12-08	153720	25256	428767	546	Cautious return
2020-12-09	154277	24756	432113	557	Cautious return
2020-12-10	154820	24407	435195	543	Cautious return
2020-12-11	155358	24065	439744	538	Cautious return
2020-12-12	155913	23794	444210	555	Cautious return
2020-12-13	156457	23608	448036	544	Cautious return
2020-12-14	157027	23178	451932	570	Cautious return
