date	value	lower_ci	upper_ci	incidence	scenario
2020-09-17	5194303	4325703	6134147	NA	Cautious return
2020-09-18	5245714	4241583	6340485	51411	Cautious return
2020-09-19	5295737	4168517	6541179	50023	Cautious return
2020-09-20	5344254	4103837	6721506	48517	Cautious return
2020-09-21	5392988	4047886	6899789	48734	Cautious return
2020-09-22	5439909	3993982	7073677	46921	Cautious return
2020-09-23	5486176	3950183	7238310	46267	Cautious return
2020-09-24	5531496	3910370	7400298	45320	Cautious return
2020-09-25	5576783	3868352	7553107	45287	Cautious return
2020-09-26	5621066	3833484	7698364	44283	Cautious return
2020-09-27	5664333	3802835	7858282	43267	Cautious return
2020-09-28	5707557	3774212	8000237	43224	Cautious return
2020-09-29	5749183	3744787	8141274	41626	Cautious return
2020-09-30	5790699	3719585	8284147	41516	Cautious return
2020-10-01	5831702	3697827	8419346	41003	Cautious return
2020-10-02	5871507	3674005	8551116	39805	Cautious return
2020-10-03	5911875	3648202	8688556	40368	Cautious return
2020-10-04	5949572	3622788	8811682	37697	Cautious return
2020-10-05	5988471	3616321	8941016	38899	Cautious return
2020-10-06	6026631	3596678	9070918	38160	Cautious return
2020-10-07	6063216	3576772	9199169	36585	Cautious return
2020-10-08	6099453	3554127	9314018	36237	Cautious return
2020-10-09	6134821	3540543	9430224	35368	Cautious return
2020-10-10	6170662	3525884	9562852	35841	Cautious return
2020-10-11	6205636	3515598	9667989	34974	Cautious return
2020-10-12	6239794	3499117	9793435	34158	Cautious return
2020-10-13	6274150	3483311	9911027	34356	Cautious return
2020-10-14	6307775	3470478	10026067	33625	Cautious return
2020-10-15	6340368	3461335	10135068	32593	Cautious return
2020-10-16	6372610	3442510	10249849	32242	Cautious return
2020-10-17	6404172	3438792	10366605	31562	Cautious return
2020-10-18	6436609	3425609	10477681	32437	Cautious return
2020-10-19	6467773	3418461	10583877	31164	Cautious return
2020-10-20	6498299	3408306	10707242	30526	Cautious return
2020-10-21	6528071	3392691	10801690	29772	Cautious return
2020-10-22	6558263	3381216	10924610	30192	Cautious return
2020-10-23	6587767	3379014	11016860	29504	Cautious return
2020-10-24	6617051	3368270	11142988	29284	Cautious return
2020-10-25	6646230	3355725	11242557	29179	Cautious return
2020-10-26	6674994	3353084	11350473	28764	Cautious return
2020-10-27	6702822	3342860	11450919	27828	Cautious return
2020-10-28	6731129	3332925	11551987	28307	Cautious return
2020-10-29	6758729	3331277	11660201	27600	Cautious return
2020-10-30	6786350	3320069	11774204	27621	Cautious return
2020-10-31	6813585	3309028	11857749	27235	Cautious return
2020-11-01	6839954	3308782	11960516	26369	Cautious return
2020-11-02	6866337	3304095	12062215	26383	Cautious return
2020-11-03	6892186	3287864	12166323	25849	Cautious return
2020-11-04	6918386	3288182	12257884	26200	Cautious return
2020-11-05	6944164	3278083	12360697	25778	Cautious return
2020-11-06	6969230	3273675	12459665	25066	Cautious return
2020-11-07	6994837	3271605	12558249	25607	Cautious return
2020-11-08	7020407	3264600	12663709	25570	Cautious return
2020-11-09	7044757	3255416	12759610	24350	Cautious return
2020-11-10	7069030	3254231	12866064	24273	Cautious return
2020-11-11	7093649	3244569	12965203	24619	Cautious return
2020-11-12	7116590	3226337	13072327	22941	Cautious return
2020-11-13	7140954	3225297	13171080	24364	Cautious return
2020-11-14	7164297	3218427	13271092	23343	Cautious return
2020-11-15	7187903	3201617	13363884	23606	Cautious return
2020-11-16	7211290	3194517	13491695	23387	Cautious return
2020-11-17	7234297	3183491	13585957	23007	Cautious return
2020-11-18	7257667	3176557	13677720	23370	Cautious return
2020-11-19	7279244	3169049	13787948	21577	Cautious return
2020-11-20	7302240	3165388	13895603	22996	Cautious return
2020-11-21	7324326	3143946	13986449	22086	Cautious return
2020-11-22	7345793	3134502	14066846	21467	Cautious return
2020-11-23	7368207	3127961	14186297	22414	Cautious return
2020-11-24	7389361	3120016	14278739	21154	Cautious return
2020-11-25	7410012	3110739	14378610	20651	Cautious return
2020-11-26	7431209	3096413	14472961	21197	Cautious return
2020-11-27	7451608	3082728	14584131	20399	Cautious return
2020-11-28	7472498	3077001	14687528	20890	Cautious return
2020-11-29	7492941	3074122	14788701	20443	Cautious return
2020-11-30	7513260	3065376	14865052	20319	Cautious return
2020-12-01	7533506	3053337	14947860	20246	Cautious return
2020-12-02	7553053	3054084	15057749	19547	Cautious return
2020-12-03	7572440	3040329	15169755	19387	Cautious return
2020-12-04	7592046	3037091	15277039	19606	Cautious return
2020-12-05	7612163	3023803	15389930	20117	Cautious return
2020-12-06	7631424	3013173	15473898	19261	Cautious return
2020-12-07	7650650	3002084	15578701	19226	Cautious return
2020-12-08	7670498	2997337	15670602	19848	Cautious return
2020-12-09	7690834	2981106	15764881	20336	Cautious return
2020-12-10	7710966	2977649	15874148	20132	Cautious return
2020-12-11	7730404	2958321	15983580	19438	Cautious return
2020-12-12	7749874	2948928	16114447	19470	Cautious return
2020-12-13	7768429	2943217	16206816	18555	Cautious return
2020-12-14	7787897	2924872	16292170	19468	Cautious return
2020-12-15	7806451	2918868	16406650	18554	Cautious return
2020-12-16	7824464	2905617	16493133	18013	Cautious return
2020-12-17	7841775	2882495	16598011	17311	Cautious return
2020-12-18	7860205	2876447	16698939	18430	Cautious return
2020-12-19	7879519	2877654	16804232	19314	Cautious return
2020-12-20	7897243	2867717	16898677	17724	Cautious return
2020-12-21	7915851	2853091	17002890	18608	Cautious return
2020-12-22	7934768	2845572	17106356	18917	Cautious return
2020-12-23	7952481	2833123	17211440	17713	Cautious return
2020-12-24	7970174	2824238	17334096	17693	Cautious return
2020-12-25	7987866	2810310	17415137	17692	Cautious return
2020-12-26	8005112	2801117	17555519	17246	Cautious return
2020-12-27	8023124	2793424	17629359	18012	Cautious return
2020-12-28	8040333	2779530	17735003	17209	Cautious return
2020-12-29	8058005	2773329	17827172	17672	Cautious return
2020-12-30	8075089	2753083	17944769	17084	Cautious return
2020-12-31	8093192	2747698	18042889	18103	Cautious return
2021-01-01	8109602	2728450	18130630	16410	Cautious return
2021-01-02	8127897	2727684	18244724	18295	Cautious return
2021-01-03	8145870	2718505	18359292	17973	Cautious return
2021-01-04	8162831	2708635	18488503	16961	Cautious return
2021-01-05	8180269	2690551	18583819	17438	Cautious return
2021-01-06	8197804	2685882	18688660	17535	Cautious return
2021-01-07	8214882	2681530	18792226	17078	Cautious return
2021-01-08	8232010	2668002	18873783	17128	Cautious return
2021-01-09	8248569	2662531	18991960	16559	Cautious return
2021-01-10	8265710	2651379	19100311	17141	Cautious return
2021-01-11	8283356	2637278	19221711	17646	Cautious return
2021-01-12	8301286	2624617	19336144	17930	Cautious return
2021-01-13	8318486	2610938	19464843	17200	Cautious return
2021-01-14	8334706	2609555	19540053	16220	Cautious return
2021-01-15	8351902	2599655	19671505	17196	Cautious return
2021-01-16	8369212	2587245	19812348	17310	Cautious return
2021-01-17	8386239	2582033	19903582	17027	Cautious return
2021-01-18	8403829	2566093	19998701	17590	Cautious return
2021-01-19	8421042	2550159	20136957	17213	Cautious return
2021-01-20	8438345	2545064	20261785	17303	Cautious return
2021-01-21	8454995	2533122	20375550	16650	Cautious return
2021-01-22	8472608	2526656	20478445	17613	Cautious return
2021-01-23	8488403	2521065	20585050	15795	Cautious return
2021-01-24	8506256	2500734	20671620	17853	Cautious return
2021-01-25	8522867	2492633	20813453	16611	Cautious return
2021-01-26	8541063	2488476	20958458	18196	Cautious return
2021-01-27	8559546	2472923	21037563	18483	Cautious return
2021-01-28	8577574	2473713	21120603	18028	Cautious return
2021-01-29	8594945	2461766	21247868	17371	Cautious return
2021-01-30	8612258	2442911	21361677	17313	Cautious return
2021-01-31	8628612	2432154	21481229	16354	Cautious return
2021-02-01	8646059	2424799	21589457	17447	Cautious return
