stat	value
thetaS_last_obs_p_mean	0.9986765
thetaI_last_obs_p_mean	0.0003104286
thetaR_last_obs_p_mean	0.00101307
thetaS_last_obs_p_ci_low	0.9985332
thetaS_last_obs_p_ci_med	0.9986768
thetaS_last_obs_p_ci_up	0.9988171
thetaI_last_obs_p_ci_low	0.0002431315
thetaI_last_obs_p_ci_med	0.0003095178
thetaI_last_obs_p_ci_up	0.0003809384
thetaR_last_obs_p_ci_low	0.0008928388
thetaR_last_obs_p_ci_med	0.001011399
thetaR_last_obs_p_ci_up	0.001140315
R0_p_mean	1.629506
R0_p_ci_low	0.85916
R0_p_ci_med	1.509294
R0_p_ci_up	3.003583
gamma_p_mean	0.05614988
gamma_p_ci_low	0.0102455
gamma_p_ci_med	0.05030164
gamma_p_ci_up	0.1350023
beta_p_mean	0.08353406
beta_p_ci_low	0.01634628
beta_p_ci_med	0.07961213
beta_p_ci_up	0.175171
incidence_mean	0.02385828
incidence_ci_low	0.0003357757
incidence_ci_median	0.003464324
incidence_ci_up	0.2171852
thetaI_tp1_mean	0.007122859
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.0003944782
thetaI_tp1_ci_up	0.07824876
thetaR_tp1_mean	0.01710153
thetaR_tp1_ci_low	0.000187289
thetaR_tp1_ci_med	0.003760159
thetaR_tp1_ci_up	0.1448302
Y_tp1_mean	0.007115638
Y_tp1_ci_low	0
Y_tp1_ci_med	0.0003861666
Y_tp1_ci_up	0.07801655
R_tp1_mean	0.01709805
R_tp1_ci_low	0.000180292
R_tp1_ci_med	0.00376971
R_tp1_ci_up	0.1456794
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01710153
thetaR_max_ci_low	0.000187289
thetaR_max_ci_med	0.003760159
thetaR_max_ci_up	0.1448302
cumInf_mean	0.02422439
cumInf_ci_low	0.000187289
cumInf_ci_med	0.004304036
cumInf_ci_up	0.210616
dthetaI_tp1_date	02/18/21
first_tp_mean	10/16/20
first_tp_ci_low	08/12/20
first_tp_ci_med	09/11/20
first_tp_ci_up	02/18/21
dthetaI_tp2_date	02/18/21
second_tp_mean	10/19/20
second_tp_ci_low	08/14/20
second_tp_ci_med	09/13/20
second_tp_ci_up	02/18/21
end_p_mean	01/21/21
end_p_ci_low	10/17/20
end_p_ci_med	02/18/21
end_p_ci_up	02/18/21
begin_str	08/03/2020
