stat	value
thetaS_last_obs_p_mean	0.9927996
thetaI_last_obs_p_mean	0.0006519355
thetaR_last_obs_p_mean	0.006548446
thetaS_last_obs_p_ci_low	0.992459
thetaS_last_obs_p_ci_med	0.9928029
thetaS_last_obs_p_ci_up	0.9931387
thetaI_last_obs_p_ci_low	0.0005558601
thetaI_last_obs_p_ci_med	0.0006505534
thetaI_last_obs_p_ci_up	0.0007565737
thetaR_last_obs_p_ci_low	0.006232233
thetaR_last_obs_p_ci_med	0.006548065
thetaR_last_obs_p_ci_up	0.006862486
R0_p_mean	1.037213
R0_p_ci_low	0.7159013
R0_p_ci_med	1.013631
R0_p_ci_up	1.504606
gamma_p_mean	0.08850334
gamma_p_ci_low	0.02476117
gamma_p_ci_med	0.08872582
gamma_p_ci_up	0.1558313
beta_p_mean	0.08996193
beta_p_ci_low	0.0257282
beta_p_ci_med	0.08990911
beta_p_ci_up	0.1601515
incidence_mean	0.02039496
incidence_ci_low	0.001868873
incidence_ci_median	0.01015178
incidence_ci_up	0.09915022
thetaI_tp1_mean	0.002188131
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.0004197448
thetaI_tp1_ci_up	0.01462767
thetaR_tp1_mean	0.01966581
thetaR_tp1_ci_low	0.004903757
thetaR_tp1_ci_med	0.01349335
thetaR_tp1_ci_up	0.07516838
Y_tp1_mean	0.002190814
Y_tp1_ci_low	0
Y_tp1_ci_med	0.000415768
Y_tp1_ci_up	0.01432571
R_tp1_mean	0.0196527
R_tp1_ci_low	0.005026631
R_tp1_ci_med	0.01346875
R_tp1_ci_up	0.07519347
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.02203142
thetaR_max_ci_low	0.004915601
thetaR_max_ci_med	0.01386751
thetaR_max_ci_up	0.09230118
cumInf_mean	0.02451592
cumInf_ci_low	0.004987546
cumInf_ci_med	0.01438749
cumInf_ci_up	0.1045865
dthetaI_tp1_date	02/05/21
first_tp_mean	09/13/20
first_tp_ci_low	08/04/20
first_tp_ci_med	08/24/20
first_tp_ci_up	02/18/21
dthetaI_tp2_date	02/05/21
second_tp_mean	09/15/20
second_tp_ci_low	08/06/20
second_tp_ci_med	08/25/20
second_tp_ci_up	02/18/21
end_p_mean	02/02/21
end_p_ci_low	11/12/20
end_p_ci_med	02/18/21
end_p_ci_up	02/18/21
begin_str	08/03/2020
