date	value	lower_ci	upper_ci	incidence	scenario
2020-09-19	220525	176687	269056	NA	No intervention
2020-09-20	222713	172092	279696	2188	No intervention
2020-09-21	224952	168462	289838	2239	No intervention
2020-09-22	227222	164775	299317	2270	No intervention
2020-09-23	229545	162023	308288	2323	No intervention
2020-09-24	231886	159366	317601	2341	No intervention
2020-09-25	234240	156473	326909	2354	No intervention
2020-09-26	236602	154491	335802	2362	No intervention
2020-09-27	239048	152634	345360	2446	No intervention
2020-09-28	241544	150714	354291	2496	No intervention
2020-09-29	244067	148802	363969	2523	No intervention
2020-09-30	246615	147066	373270	2548	No intervention
2020-10-01	249227	145646	382621	2612	No intervention
2020-10-02	251884	144055	393160	2657	No intervention
2020-10-03	254627	142703	402792	2743	No intervention
2020-10-04	257444	141425	412895	2817	No intervention
2020-10-05	260283	140203	424167	2839	No intervention
2020-10-06	263189	139321	435367	2906	No intervention
2020-10-07	266162	138132	446804	2973	No intervention
2020-10-08	269200	136910	458029	3038	No intervention
2020-10-09	272223	135858	470206	3023	No intervention
2020-10-10	275442	134767	483440	3219	No intervention
2020-10-11	278653	133682	496338	3211	No intervention
2020-10-12	281951	132927	509039	3298	No intervention
2020-10-13	285317	132085	523715	3366	No intervention
2020-10-14	288792	131391	538062	3475	No intervention
2020-10-15	292319	130679	552461	3527	No intervention
2020-10-16	295891	129939	568018	3572	No intervention
2020-10-17	299613	129436	584650	3722	No intervention
2020-10-18	303374	128529	600985	3761	No intervention
2020-10-19	307272	127974	619717	3898	No intervention
2020-10-20	311160	127909	637387	3888	No intervention
2020-10-21	315183	127108	657309	4023	No intervention
2020-10-22	319319	126607	675187	4136	No intervention
2020-10-23	323588	126141	697150	4269	No intervention
2020-10-24	327954	125400	718186	4366	No intervention
2020-10-25	332489	125062	741552	4535	No intervention
2020-10-26	337114	124464	764939	4625	No intervention
2020-10-27	341913	123925	790185	4799	No intervention
2020-10-28	346829	123790	814988	4916	No intervention
2020-10-29	351847	123214	840547	5018	No intervention
2020-10-30	357013	122450	868176	5166	No intervention
2020-10-31	362324	122141	897340	5311	No intervention
2020-11-01	367794	121654	928344	5470	No intervention
2020-11-02	373461	121273	957681	5667	No intervention
2020-11-03	379301	121134	989748	5840	No intervention
2020-11-04	385331	120651	1024932	6030	No intervention
2020-11-05	391421	119630	1058494	6090	No intervention
2020-11-06	397766	119489	1097043	6345	No intervention
2020-11-07	404311	119069	1135264	6545	No intervention
2020-11-08	411037	118935	1173515	6726	No intervention
2020-11-09	417968	118210	1217762	6931	No intervention
2020-11-10	425090	118029	1262244	7122	No intervention
2020-11-11	432536	117621	1307252	7446	No intervention
2020-11-12	440125	116711	1353978	7589	No intervention
2020-11-13	448014	116763	1404277	7889	No intervention
2020-11-14	456084	116279	1453830	8070	No intervention
2020-11-15	464347	115566	1506904	8263	No intervention
2020-11-16	472968	115454	1562075	8621	No intervention
2020-11-17	481878	114757	1621257	8910	No intervention
2020-11-18	491080	114909	1678932	9202	No intervention
2020-11-19	500553	113864	1741552	9473	No intervention
2020-11-20	510378	113723	1805728	9825	No intervention
2020-11-21	520514	113019	1874082	10136	No intervention
2020-11-22	530943	112855	1945781	10429	No intervention
2020-11-23	541697	111960	2020792	10754	No intervention
2020-11-24	552879	111721	2097656	11182	No intervention
2020-11-25	564381	111343	2176791	11502	No intervention
2020-11-26	576272	110677	2256626	11891	No intervention
2020-11-27	588501	110348	2345435	12229	No intervention
2020-11-28	601165	110334	2432923	12664	No intervention
2020-11-29	614292	109490	2525324	13127	No intervention
2020-11-30	627779	109124	2624508	13487	No intervention
2020-12-01	641703	108433	2725016	13924	No intervention
2020-12-02	656020	108029	2830878	14317	No intervention
2020-12-03	670864	107885	2939211	14844	No intervention
2020-12-04	686201	107375	3052987	15337	No intervention
2020-12-05	702028	106779	3173473	15827	No intervention
2020-12-06	718393	106577	3289106	16365	No intervention
2020-12-07	735204	105819	3413943	16811	No intervention
2020-12-08	752588	104977	3547529	17384	No intervention
2020-12-09	770333	104503	3687888	17745	No intervention
2020-12-10	788776	104056	3833981	18443	No intervention
2020-12-11	807726	103910	3986328	18950	No intervention
2020-12-12	827164	103211	4136300	19438	No intervention
2020-12-13	847274	102585	4290729	20110	No intervention
2020-12-14	867804	102140	4455149	20530	No intervention
2020-12-15	889008	101654	4621946	21204	No intervention
2020-12-16	910778	101468	4795504	21770	No intervention
2020-12-17	933191	100944	4978081	22413	No intervention
2020-12-18	956268	100571	5162771	23077	No intervention
2020-12-19	979852	99897	5360559	23584	No intervention
2020-12-20	1004233	99725	5553422	24381	No intervention
2020-12-21	1029169	98803	5775198	24936	No intervention
2020-12-22	1054819	98288	5991413	25650	No intervention
2020-12-23	1081051	97772	6214873	26232	No intervention
2020-12-24	1108053	97399	6450737	27002	No intervention
2020-12-25	1135700	96578	6684993	27647	No intervention
2020-12-26	1163982	96167	6928486	28282	No intervention
2020-12-27	1192903	95665	7189491	28921	No intervention
2020-12-28	1222528	95213	7443199	29625	No intervention
2020-12-29	1252873	94973	7718595	30345	No intervention
2020-12-30	1283780	94304	7980358	30907	No intervention
2020-12-31	1315500	94202	8285145	31720	No intervention
2021-01-01	1348007	93759	8580961	32507	No intervention
2021-01-02	1381262	93037	8890312	33255	No intervention
2021-01-03	1415168	92368	9198114	33906	No intervention
2021-01-04	1449803	91754	9512940	34635	No intervention
2021-01-05	1485162	92019	9847283	35359	No intervention
2021-01-06	1521102	90794	10163521	35940	No intervention
2021-01-07	1557869	90400	10521302	36767	No intervention
2021-01-08	1595220	90273	10866806	37351	No intervention
2021-01-09	1633320	89811	11225427	38100	No intervention
2021-01-10	1672239	89437	11594914	38919	No intervention
2021-01-11	1711763	89100	11970657	39524	No intervention
2021-01-12	1752056	88348	12352843	40293	No intervention
2021-01-13	1793048	87713	12744335	40992	No intervention
2021-01-14	1834592	86872	13152596	41544	No intervention
2021-01-15	1877033	87171	13573208	42441	No intervention
2021-01-16	1920107	86293	13981996	43074	No intervention
2021-01-17	1963738	86154	14402957	43631	No intervention
2021-01-18	2008097	85568	14845557	44359	No intervention
2021-01-19	2053183	85458	15273272	45086	No intervention
2021-01-20	2098890	85346	15728912	45707	No intervention
2021-01-21	2145180	84706	16199102	46290	No intervention
2021-01-22	2192248	84704	16670239	47068	No intervention
2021-01-23	2239940	83699	17114708	47692	No intervention
2021-01-24	2288099	83037	17579095	48159	No intervention
2021-01-25	2336941	82948	18038894	48842	No intervention
2021-01-26	2386591	82214	18539385	49650	No intervention
2021-01-27	2436749	81790	19029003	50158	No intervention
2021-01-28	2487709	81755	19523502	50960	No intervention
2021-01-29	2539007	81351	20040657	51298	No intervention
2021-01-30	2590958	80612	20526704	51951	No intervention
2021-01-31	2643472	80532	21062556	52514	No intervention
2021-02-01	2696661	79706	21579781	53189	No intervention
2021-02-02	2750306	79344	22102764	53645	No intervention
2021-02-03	2804447	78830	22654750	54141	No intervention
2021-02-04	2859217	78187	23195663	54770	No intervention
2021-02-05	2914569	77901	23774349	55352	No intervention
2021-02-06	2970444	77169	24355753	55875	No intervention
2021-02-07	3026780	77056	24896338	56336	No intervention
2021-02-08	3083647	76200	25424729	56867	No intervention
2021-02-09	3140957	76068	26021537	57310	No intervention
2021-02-10	3198784	76244	26584701	57827	No intervention
2021-02-11	3257081	75461	27134469	58297	No intervention
2021-02-12	3315795	75264	27725319	58714	No intervention
2021-02-13	3375046	74735	28257468	59251	No intervention
2021-02-14	3434876	74477	28838512	59830	No intervention
2021-02-15	3494978	73537	29395420	60102	No intervention
2021-02-16	3555529	73607	29973956	60551	No intervention
2021-02-17	3616278	73293	30587182	60749	No intervention
2021-02-18	3677529	72390	31108383	61251	No intervention
2021-02-19	3739299	72060	31739833	61770	No intervention
2021-02-20	3801307	71671	32291801	62008	No intervention
