date	value	lower_ci	upper_ci	incidence	scenario
2020-09-21	633463	575743	693813	NA	Soc. Dist. + Travel Ban
2020-09-22	639364	572314	709708	5901	Soc. Dist. + Travel Ban
2020-09-23	645113	570158	724188	5749	Soc. Dist. + Travel Ban
2020-09-24	650740	568497	738198	5627	Soc. Dist. + Travel Ban
2020-09-25	656257	567312	751495	5517	Soc. Dist. + Travel Ban
2020-09-26	661598	566285	763700	5341	Soc. Dist. + Travel Ban
2020-09-27	666793	565640	775171	5195	Soc. Dist. + Travel Ban
2020-09-28	671865	564815	787117	5072	Soc. Dist. + Travel Ban
2020-09-29	676869	564748	798047	5004	Soc. Dist. + Travel Ban
2020-09-30	681726	564705	808894	4857	Soc. Dist. + Travel Ban
2020-10-01	686462	564270	819456	4736	Soc. Dist. + Travel Ban
2020-10-02	691096	564380	829402	4634	Soc. Dist. + Travel Ban
2020-10-03	695601	564563	840022	4505	Soc. Dist. + Travel Ban
2020-10-04	700005	564868	849544	4404	Soc. Dist. + Travel Ban
2020-10-05	704274	564782	858939	4269	Soc. Dist. + Travel Ban
2020-10-06	708455	564793	868186	4181	Soc. Dist. + Travel Ban
2020-10-07	712577	565018	877161	4122	Soc. Dist. + Travel Ban
2020-10-08	716594	565180	886740	4017	Soc. Dist. + Travel Ban
2020-10-09	720478	564961	895754	3884	Soc. Dist. + Travel Ban
2020-10-10	724272	565032	903876	3794	Soc. Dist. + Travel Ban
2020-10-11	728035	564997	912461	3763	Soc. Dist. + Travel Ban
2020-10-12	731714	565445	920839	3679	Soc. Dist. + Travel Ban
2020-10-13	735258	565449	929638	3544	Soc. Dist. + Travel Ban
2020-10-14	738788	565557	936922	3530	Soc. Dist. + Travel Ban
2020-10-15	742195	565375	945537	3407	Soc. Dist. + Travel Ban
2020-10-16	745504	565677	953025	3309	Soc. Dist. + Travel Ban
2020-10-17	748735	565056	960728	3231	Soc. Dist. + Travel Ban
2020-10-18	751899	565088	968061	3164	Soc. Dist. + Travel Ban
2020-10-19	755013	564398	975378	3114	Soc. Dist. + Travel Ban
2020-10-20	758019	564585	982839	3006	Soc. Dist. + Travel Ban
2020-10-21	761033	565166	989573	3014	Soc. Dist. + Travel Ban
2020-10-22	763926	564962	997267	2893	Soc. Dist. + Travel Ban
2020-10-23	766734	564097	1004204	2808	Soc. Dist. + Travel Ban
2020-10-24	769463	564286	1011077	2729	Soc. Dist. + Travel Ban
2020-10-25	772125	564751	1016682	2662	Soc. Dist. + Travel Ban
