date	value	lower_ci	upper_ci	incidence	scenario
2020-09-21	116158	88169	147649	NA	Moderate return
2020-09-22	117217	84893	154237	1059	Moderate return
2020-09-23	118262	82377	160008	1045	Moderate return
2020-09-24	119308	80009	165846	1046	Moderate return
2020-09-25	120351	77977	171258	1043	Moderate return
2020-09-26	121379	76094	176265	1028	Moderate return
2020-09-27	122415	74382	181509	1036	Moderate return
2020-09-28	123483	72716	186322	1068	Moderate return
2020-09-29	124504	71240	191287	1021	Moderate return
2020-09-30	125531	69981	196254	1027	Moderate return
2020-10-01	126575	68745	200987	1044	Moderate return
2020-10-02	127637	67528	206157	1062	Moderate return
2020-10-03	128687	66446	210490	1050	Moderate return
2020-10-04	129743	65283	215539	1056	Moderate return
2020-10-05	130803	64325	220326	1060	Moderate return
2020-10-06	131850	63438	225384	1047	Moderate return
2020-10-07	132903	62473	230044	1053	Moderate return
2020-10-08	133974	61646	234655	1071	Moderate return
2020-10-09	135033	60964	239689	1059	Moderate return
2020-10-10	136092	60228	244416	1059	Moderate return
2020-10-11	137129	59451	248977	1037	Moderate return
2020-10-12	138187	58578	253624	1058	Moderate return
2020-10-13	139253	57962	258992	1066	Moderate return
2020-10-14	140295	57518	263804	1042	Moderate return
2020-10-15	141391	56910	269245	1096	Moderate return
2020-10-16	142506	56294	273893	1115	Moderate return
2020-10-17	143591	55912	278831	1085	Moderate return
2020-10-18	144680	55497	283882	1089	Moderate return
2020-10-19	145776	55005	288691	1096	Moderate return
2020-10-20	146849	54505	293959	1073	Moderate return
2020-10-21	147965	54151	299456	1116	Moderate return
2020-10-22	149092	53876	304973	1127	Moderate return
2020-10-23	150240	53269	310428	1148	Moderate return
2020-10-24	151374	52839	315607	1134	Moderate return
2020-10-25	152505	52342	321331	1131	Moderate return
2020-10-26	153659	52090	326935	1154	Moderate return
2020-10-27	154846	51528	332955	1187	Moderate return
2020-10-28	155993	51129	339103	1147	Moderate return
2020-10-29	157191	50756	344965	1198	Moderate return
2020-10-30	158415	50420	351004	1224	Moderate return
2020-10-31	159620	50161	357453	1205	Moderate return
2020-11-01	160838	49848	364141	1218	Moderate return
2020-11-02	162067	49522	369855	1229	Moderate return
2020-11-03	163345	48977	377468	1278	Moderate return
2020-11-04	164606	48536	384144	1261	Moderate return
2020-11-05	165868	48316	390837	1262	Moderate return
2020-11-06	167183	47908	397702	1315	Moderate return
2020-11-07	168477	47513	404354	1294	Moderate return
2020-11-08	169855	47072	411397	1378	Moderate return
2020-11-09	171207	46879	418644	1352	Moderate return
2020-11-10	172548	46399	425916	1341	Moderate return
2020-11-11	173885	46037	432794	1337	Moderate return
2020-11-12	175281	45680	440238	1396	Moderate return
2020-11-13	176666	45327	448736	1385	Moderate return
2020-11-14	178075	44865	456154	1409	Moderate return
2020-11-15	179516	44597	465042	1441	Moderate return
2020-11-16	180990	44260	472926	1474	Moderate return
2020-11-17	182457	43897	480706	1467	Moderate return
2020-11-18	183947	43464	489961	1490	Moderate return
2020-11-19	185443	43123	499009	1496	Moderate return
2020-11-20	187022	43022	507275	1579	Moderate return
2020-11-21	188560	42556	516433	1538	Moderate return
2020-11-22	190136	42082	527117	1576	Moderate return
2020-11-23	191759	41811	535807	1623	Moderate return
2020-11-24	193387	41373	547407	1628	Moderate return
2020-11-25	195020	41105	557370	1633	Moderate return
2020-11-26	196735	40725	567626	1715	Moderate return
2020-11-27	198470	40221	576946	1735	Moderate return
2020-11-28	200194	39959	588615	1724	Moderate return
2020-11-29	201946	39502	598772	1752	Moderate return
2020-11-30	203749	39197	611182	1803	Moderate return
2020-12-01	205586	39000	623340	1837	Moderate return
2020-12-02	207461	38752	636416	1875	Moderate return
2020-12-03	209364	38295	647820	1903	Moderate return
2020-12-04	211298	37823	661047	1934	Moderate return
2020-12-05	213253	37556	673242	1955	Moderate return
2020-12-06	215269	37456	688088	2016	Moderate return
2020-12-07	217267	37332	701921	1998	Moderate return
2020-12-08	219327	36986	714083	2060	Moderate return
2020-12-09	221431	36338	728387	2104	Moderate return
2020-12-10	223557	36037	742567	2126	Moderate return
2020-12-11	225696	35700	758341	2139	Moderate return
2020-12-12	227895	35421	774266	2199	Moderate return
2020-12-13	230140	35228	789199	2245	Moderate return
2020-12-14	232410	34828	803027	2270	Moderate return
2020-12-15	234734	34299	820774	2324	Moderate return
2020-12-16	237113	34196	836534	2379	Moderate return
2020-12-17	239556	33923	855750	2443	Moderate return
2020-12-18	242045	33427	871668	2489	Moderate return
2020-12-19	244552	32949	889778	2507	Moderate return
2020-12-20	247145	32844	909768	2593	Moderate return
2020-12-21	249821	32508	928914	2676	Moderate return
2020-12-22	252535	32145	947160	2714	Moderate return
2020-12-23	255307	31768	966238	2772	Moderate return
2020-12-24	258121	31541	985362	2814	Moderate return
2020-12-25	260943	31138	1006825	2822	Moderate return
2020-12-26	263827	30750	1027178	2884	Moderate return
2020-12-27	266795	30321	1048595	2968	Moderate return
2020-12-28	269838	29981	1069663	3043	Moderate return
2020-12-29	272924	29544	1093565	3086	Moderate return
2020-12-30	276053	29329	1117685	3129	Moderate return
2020-12-31	279255	29038	1138749	3202	Moderate return
2021-01-01	282535	28555	1162406	3280	Moderate return
2021-01-02	285893	28362	1187603	3358	Moderate return
2021-01-03	289312	27936	1211834	3419	Moderate return
2021-01-04	292780	27883	1238116	3468	Moderate return
2021-01-05	296372	27592	1267870	3592	Moderate return
2021-01-06	300068	27275	1294064	3696	Moderate return
2021-01-07	303821	26934	1318623	3753	Moderate return
2021-01-08	307631	26358	1351508	3810	Moderate return
2021-01-09	311486	26276	1380075	3855	Moderate return
2021-01-10	315448	26069	1411465	3962	Moderate return
2021-01-11	319452	25788	1441600	4004	Moderate return
2021-01-12	323578	25465	1469954	4126	Moderate return
2021-01-13	327753	25151	1504369	4175	Moderate return
2021-01-14	331962	24885	1535353	4209	Moderate return
2021-01-15	336357	24730	1569959	4395	Moderate return
2021-01-16	340797	24328	1605271	4440	Moderate return
2021-01-17	345349	24113	1637865	4552	Moderate return
2021-01-18	349953	23927	1676492	4604	Moderate return
2021-01-19	354653	23669	1711666	4700	Moderate return
2021-01-20	359467	23230	1750172	4814	Moderate return
2021-01-21	364364	23081	1789860	4897	Moderate return
2021-01-22	369388	22820	1824460	5024	Moderate return
2021-01-23	374444	22624	1863926	5056	Moderate return
2021-01-24	379599	22303	1903611	5155	Moderate return
2021-01-25	384854	21898	1946726	5255	Moderate return
2021-01-26	390205	21568	1986258	5351	Moderate return
2021-01-27	395648	21554	2028331	5443	Moderate return
2021-01-28	401212	21180	2074407	5564	Moderate return
2021-01-29	406858	20750	2122375	5646	Moderate return
2021-01-30	412626	20621	2169707	5768	Moderate return
2021-01-31	418493	20243	2218675	5867	Moderate return
2021-02-01	424429	20209	2264921	5936	Moderate return
2021-02-02	430492	19843	2316885	6063	Moderate return
2021-02-03	436667	19606	2371442	6175	Moderate return
2021-02-04	442953	19364	2419855	6286	Moderate return
2021-02-05	449386	18936	2475662	6433	Moderate return
2021-02-06	455879	18762	2532268	6493	Moderate return
2021-02-07	462494	18349	2584189	6615	Moderate return
2021-02-08	469214	18264	2639880	6720	Moderate return
2021-02-09	476077	17864	2702577	6863	Moderate return
2021-02-10	482984	17713	2759577	6907	Moderate return
2021-02-11	490024	17486	2820459	7040	Moderate return
2021-02-12	497163	17248	2884678	7139	Moderate return
2021-02-13	504479	16994	2945601	7316	Moderate return
2021-02-14	511883	16753	3011909	7404	Moderate return
2021-02-15	519415	16354	3081632	7532	Moderate return
2021-02-16	527021	16272	3145606	7606	Moderate return
2021-02-17	534740	15844	3206604	7719	Moderate return
2021-02-18	542605	15687	3276713	7865	Moderate return
2021-02-19	550521	15419	3348846	7916	Moderate return
2021-02-20	558617	15063	3425959	8096	Moderate return
2021-02-21	566806	14964	3503566	8189	Moderate return
2021-02-22	575139	14782	3579976	8333	Moderate return
