date	value	lower_ci	upper_ci	incidence	scenario
2020-09-23	5724457	4820940	6695491	NA	Moderate return
2020-09-24	5785520	4738724	6925159	61063	Moderate return
2020-09-25	5845317	4667840	7133084	59797	Moderate return
2020-09-26	5904855	4607992	7340083	59538	Moderate return
2020-09-27	5964440	4552887	7536636	59585	Moderate return
2020-09-28	6023126	4506759	7729362	58686	Moderate return
2020-09-29	6080787	4461943	7910520	57661	Moderate return
2020-09-30	6139521	4429317	8096423	58734	Moderate return
2020-10-01	6196894	4394207	8277338	57373	Moderate return
2020-10-02	6254542	4360303	8447563	57648	Moderate return
2020-10-03	6311471	4334828	8624024	56929	Moderate return
2020-10-04	6368658	4306855	8798753	57187	Moderate return
2020-10-05	6424512	4283482	8965921	55854	Moderate return
2020-10-06	6480428	4258040	9135508	55916	Moderate return
2020-10-07	6536469	4239129	9304582	56041	Moderate return
2020-10-08	6592903	4215788	9476496	56434	Moderate return
2020-10-09	6648403	4203590	9638103	55500	Moderate return
2020-10-10	6703534	4173697	9810171	55131	Moderate return
2020-10-11	6758710	4159477	9982624	55176	Moderate return
2020-10-12	6813808	4139603	10135842	55098	Moderate return
2020-10-13	6868591	4123381	10325610	54783	Moderate return
2020-10-14	6922845	4109437	10472285	54254	Moderate return
2020-10-15	6977173	4095886	10650831	54328	Moderate return
2020-10-16	7030039	4085750	10805645	52866	Moderate return
2020-10-17	7083908	4072673	10972079	53869	Moderate return
2020-10-18	7137568	4069036	11127573	53660	Moderate return
2020-10-19	7190103	4047189	11293667	52535	Moderate return
2020-10-20	7242326	4038536	11454120	52223	Moderate return
2020-10-21	7294730	4029106	11639125	52404	Moderate return
2020-10-22	7347267	4014105	11801716	52537	Moderate return
2020-10-23	7400530	4006817	11971633	53263	Moderate return
2020-10-24	7453093	4002433	12134448	52563	Moderate return
2020-10-25	7505059	3996309	12312129	51966	Moderate return
2020-10-26	7557493	3983860	12489814	52434	Moderate return
2020-10-27	7610013	3976093	12650076	52520	Moderate return
2020-10-28	7661310	3969293	12833734	51297	Moderate return
2020-10-29	7712836	3958979	13005459	51526	Moderate return
2020-10-30	7764028	3955366	13175149	51192	Moderate return
2020-10-31	7815925	3943757	13350008	51897	Moderate return
2020-11-01	7866865	3932142	13546890	50940	Moderate return
2020-11-02	7918402	3929259	13703759	51537	Moderate return
2020-11-03	7970252	3918085	13884356	51850	Moderate return
2020-11-04	8021870	3910472	14063682	51618	Moderate return
2020-11-05	8073893	3904412	14253701	52023	Moderate return
2020-11-06	8124571	3896582	14438427	50678	Moderate return
2020-11-07	8175258	3892070	14627587	50687	Moderate return
2020-11-08	8227362	3882726	14817263	52104	Moderate return
2020-11-09	8279148	3878045	14992593	51786	Moderate return
2020-11-10	8329926	3873727	15189158	50778	Moderate return
2020-11-11	8381768	3870607	15390776	51842	Moderate return
2020-11-12	8431463	3867778	15567271	49695	Moderate return
2020-11-13	8483078	3866615	15754140	51615	Moderate return
2020-11-14	8534253	3864107	15950909	51175	Moderate return
2020-11-15	8585230	3860559	16152462	50977	Moderate return
2020-11-16	8635594	3859017	16370841	50364	Moderate return
2020-11-17	8686556	3854845	16578236	50962	Moderate return
2020-11-18	8737480	3856067	16783285	50924	Moderate return
2020-11-19	8787313	3841441	16981193	49833	Moderate return
2020-11-20	8838266	3853038	17201482	50953	Moderate return
2020-11-21	8888402	3836896	17394027	50136	Moderate return
2020-11-22	8939884	3839500	17630105	51482	Moderate return
2020-11-23	8990907	3846159	17818155	51023	Moderate return
2020-11-24	9042175	3835833	18038787	51268	Moderate return
2020-11-25	9094232	3831632	18259391	52057	Moderate return
2020-11-26	9146174	3829446	18497871	51942	Moderate return
2020-11-27	9197471	3822528	18697181	51297	Moderate return
2020-11-28	9247839	3822134	18929349	50368	Moderate return
2020-11-29	9299863	3808136	19170685	52024	Moderate return
2020-11-30	9352337	3815558	19377371	52474	Moderate return
2020-12-01	9403908	3797423	19598448	51571	Moderate return
2020-12-02	9455494	3802656	19858610	51586	Moderate return
2020-12-03	9508668	3796444	20101306	53174	Moderate return
2020-12-04	9561571	3787144	20371357	52903	Moderate return
