date	value	lower_ci	upper_ci	incidence	scenario
2020-09-27	178145	137973	223537	NA	No intervention
2020-09-28	179220	133056	232440	1075	No intervention
2020-09-29	180279	129011	240435	1059	No intervention
2020-09-30	181323	125406	247843	1044	No intervention
2020-10-01	182430	122116	255109	1107	No intervention
2020-10-02	183483	119267	261951	1053	No intervention
2020-10-03	184543	116757	269150	1060	No intervention
2020-10-04	185620	114175	275737	1077	No intervention
2020-10-05	186731	111735	282832	1111	No intervention
2020-10-06	187878	109819	289289	1147	No intervention
2020-10-07	188996	107797	295715	1118	No intervention
2020-10-08	190134	105861	301613	1138	No intervention
2020-10-09	191285	104627	308244	1151	No intervention
2020-10-10	192472	103064	314151	1187	No intervention
2020-10-11	193647	101517	320915	1175	No intervention
2020-10-12	194849	100170	327975	1202	No intervention
2020-10-13	196064	98825	334727	1215	No intervention
2020-10-14	197249	97607	341316	1185	No intervention
2020-10-15	198471	96326	348270	1222	No intervention
2020-10-16	199712	95280	354243	1241	No intervention
2020-10-17	201001	94042	362183	1289	No intervention
2020-10-18	202248	92752	368771	1247	No intervention
2020-10-19	203570	91884	376386	1322	No intervention
2020-10-20	204865	90845	382954	1295	No intervention
2020-10-21	206156	89549	390557	1291	No intervention
2020-10-22	207476	88622	398444	1320	No intervention
2020-10-23	208814	87577	406000	1338	No intervention
2020-10-24	210207	86687	413389	1393	No intervention
2020-10-25	211640	85901	422025	1433	No intervention
2020-10-26	213101	84782	430173	1461	No intervention
2020-10-27	214509	83745	437885	1408	No intervention
2020-10-28	216008	82976	447146	1499	No intervention
2020-10-29	217515	81997	456497	1507	No intervention
2020-10-30	219131	81093	465680	1616	No intervention
2020-10-31	220764	80146	475016	1633	No intervention
2020-11-01	222430	79261	485632	1666	No intervention
2020-11-02	224160	78338	495497	1730	No intervention
2020-11-03	225874	77424	505729	1714	No intervention
2020-11-04	227616	76908	517280	1742	No intervention
2020-11-05	229404	76125	528246	1788	No intervention
2020-11-06	231209	75188	538891	1805	No intervention
2020-11-07	233064	74053	551807	1855	No intervention
2020-11-08	234951	73244	563361	1887	No intervention
2020-11-09	236868	72441	576105	1917	No intervention
2020-11-10	238872	71614	589566	2004	No intervention
2020-11-11	240924	71195	603825	2052	No intervention
2020-11-12	243044	70193	615851	2120	No intervention
2020-11-13	245218	69512	630216	2174	No intervention
2020-11-14	247416	68760	644769	2198	No intervention
2020-11-15	249678	68036	660303	2262	No intervention
2020-11-16	252054	66935	677090	2376	No intervention
2020-11-17	254422	66359	694699	2368	No intervention
2020-11-18	256926	65704	709711	2504	No intervention
2020-11-19	259496	65110	727664	2570	No intervention
2020-11-20	262152	64355	746823	2656	No intervention
2020-11-21	264882	63328	765037	2730	No intervention
2020-11-22	267670	62851	783419	2788	No intervention
2020-11-23	270524	61920	806057	2854	No intervention
2020-11-24	273519	61232	826968	2995	No intervention
2020-11-25	276538	60878	849156	3019	No intervention
2020-11-26	279731	60007	873368	3193	No intervention
2020-11-27	282968	59316	895561	3237	No intervention
2020-11-28	286381	58624	920375	3413	No intervention
2020-11-29	289855	57984	945777	3474	No intervention
2020-11-30	293424	57173	970268	3569	No intervention
2020-12-01	297074	56650	996577	3650	No intervention
2020-12-02	300885	56121	1026289	3811	No intervention
2020-12-03	304856	55243	1054561	3971	No intervention
2020-12-04	308866	55019	1083504	4010	No intervention
2020-12-05	313072	54411	1116486	4206	No intervention
2020-12-06	317423	53675	1148825	4351	No intervention
2020-12-07	321963	52880	1182882	4540	No intervention
2020-12-08	326588	52077	1216481	4625	No intervention
2020-12-09	331329	51493	1248451	4741	No intervention
2020-12-10	336253	50863	1288871	4924	No intervention
2020-12-11	341307	50486	1327814	5054	No intervention
2020-12-12	346518	49854	1365265	5211	No intervention
2020-12-13	351988	49192	1408070	5470	No intervention
2020-12-14	357510	48495	1446910	5522	No intervention
2020-12-15	363276	48039	1492712	5766	No intervention
2020-12-16	369215	47479	1535883	5939	No intervention
2020-12-17	375318	47027	1581963	6103	No intervention
2020-12-18	381697	46358	1631706	6379	No intervention
2020-12-19	388170	45631	1683149	6473	No intervention
2020-12-20	394912	45071	1729587	6742	No intervention
2020-12-21	401954	44746	1785148	7042	No intervention
2020-12-22	409111	43912	1843145	7157	No intervention
2020-12-23	416551	43261	1897496	7440	No intervention
2020-12-24	424135	42597	1954228	7584	No intervention
2020-12-25	431925	41787	2011334	7790	No intervention
2020-12-26	440004	41455	2079318	8079	No intervention
2020-12-27	448347	40837	2143451	8343	No intervention
2020-12-28	456941	40090	2212496	8594	No intervention
2020-12-29	465791	39989	2285661	8850	No intervention
2020-12-30	474821	39154	2350863	9030	No intervention
2020-12-31	484146	38755	2424574	9325	No intervention
2021-01-01	493742	38206	2499702	9596	No intervention
2021-01-02	503545	37490	2572140	9803	No intervention
2021-01-03	513663	36868	2654480	10118	No intervention
2021-01-04	524094	36337	2737673	10431	No intervention
