date	value	lower_ci	upper_ci	incidence	scenario
2020-09-27	172456	145708	201083	NA	Moderate return
2020-09-28	176522	144968	210542	4066	Moderate return
2020-09-29	180623	144684	219899	4101	Moderate return
2020-09-30	184754	144473	228931	4131	Moderate return
2020-10-01	188902	144492	238028	4148	Moderate return
2020-10-02	193093	144688	246978	4191	Moderate return
2020-10-03	197348	145015	256068	4255	Moderate return
2020-10-04	201643	145476	265424	4295	Moderate return
2020-10-05	205940	146069	274766	4297	Moderate return
2020-10-06	210292	146442	283842	4352	Moderate return
2020-10-07	214638	146925	293266	4346	Moderate return
2020-10-08	219034	147856	302532	4396	Moderate return
2020-10-09	223501	148499	312178	4467	Moderate return
2020-10-10	228023	149075	321646	4522	Moderate return
2020-10-11	232580	149817	331461	4557	Moderate return
2020-10-12	237172	150703	341441	4592	Moderate return
2020-10-13	241796	151720	351858	4624	Moderate return
2020-10-14	246479	152673	362087	4683	Moderate return
2020-10-15	251176	153403	372439	4697	Moderate return
2020-10-16	255946	154254	383147	4770	Moderate return
2020-10-17	260739	155311	393525	4793	Moderate return
2020-10-18	265600	156089	404696	4861	Moderate return
2020-10-19	270486	157177	416109	4886	Moderate return
2020-10-20	275424	157961	427424	4938	Moderate return
2020-10-21	280437	158828	439327	5013	Moderate return
2020-10-22	285501	160194	450684	5064	Moderate return
2020-10-23	290598	161004	462669	5097	Moderate return
2020-10-24	295738	161813	475101	5140	Moderate return
2020-10-25	300934	162903	487429	5196	Moderate return
2020-10-26	306208	164135	500528	5274	Moderate return
2020-10-27	311534	164918	513557	5326	Moderate return
2020-10-28	316929	166049	527157	5395	Moderate return
2020-10-29	322343	166927	540406	5414	Moderate return
2020-10-30	327828	167995	554307	5485	Moderate return
2020-10-31	333351	169291	568301	5523	Moderate return
2020-11-01	338943	170312	582148	5592	Moderate return
2020-11-02	344616	171228	597243	5673	Moderate return
2020-11-03	350356	172616	612783	5740	Moderate return
2020-11-04	356174	173724	628306	5818	Moderate return
2020-11-05	362055	174502	643842	5881	Moderate return
2020-11-06	368003	175752	660098	5948	Moderate return
2020-11-07	373982	177135	676439	5979	Moderate return
2020-11-08	380052	178114	692954	6070	Moderate return
2020-11-09	386181	179131	710364	6129	Moderate return
2020-11-10	392369	180274	727394	6188	Moderate return
2020-11-11	398668	181107	745964	6299	Moderate return
2020-11-12	405000	182315	764927	6332	Moderate return
2020-11-13	411405	183031	783316	6405	Moderate return
2020-11-14	417928	184305	802474	6523	Moderate return
2020-11-15	424534	185245	822351	6606	Moderate return
2020-11-16	431237	186409	841757	6703	Moderate return
2020-11-17	438036	187499	864063	6799	Moderate return
2020-11-18	444852	188578	884515	6816	Moderate return
2020-11-19	451742	189439	905988	6890	Moderate return
2020-11-20	458751	190712	927397	7009	Moderate return
2020-11-21	465836	192016	949306	7085	Moderate return
2020-11-22	473052	193021	972761	7216	Moderate return
2020-11-23	480333	193850	996449	7281	Moderate return
2020-11-24	487687	195115	1020210	7354	Moderate return
2020-11-25	495116	196078	1044077	7429	Moderate return
2020-11-26	502654	197069	1069399	7538	Moderate return
2020-11-27	510327	197834	1095249	7673	Moderate return
2020-11-28	518065	198617	1119612	7738	Moderate return
2020-11-29	525909	199814	1147830	7844	Moderate return
2020-11-30	533849	200691	1174590	7940	Moderate return
2020-12-01	541894	201745	1202061	8045	Moderate return
2020-12-02	549995	202949	1230866	8101	Moderate return
2020-12-03	558260	203232	1259125	8265	Moderate return
2020-12-04	566609	204268	1289474	8349	Moderate return
2020-12-05	575102	204879	1320217	8493	Moderate return
2020-12-06	583718	206234	1352101	8616	Moderate return
2020-12-07	592414	207046	1384533	8696	Moderate return
2020-12-08	601243	208107	1416767	8829	Moderate return
2020-12-09	610151	208822	1451338	8908	Moderate return
2020-12-10	619213	209421	1483610	9062	Moderate return
2020-12-11	628369	209873	1520968	9156	Moderate return
2020-12-12	637647	210862	1559483	9278	Moderate return
2020-12-13	647068	211576	1594387	9421	Moderate return
2020-12-14	656594	212935	1630219	9526	Moderate return
2020-12-15	666256	213105	1667746	9662	Moderate return
2020-12-16	676055	214034	1708421	9799	Moderate return
2020-12-17	685909	214847	1747893	9854	Moderate return
2020-12-18	695924	215325	1789487	10015	Moderate return
2020-12-19	706080	215913	1830106	10156	Moderate return
2020-12-20	716385	216649	1873836	10305	Moderate return
2020-12-21	726855	217515	1915033	10470	Moderate return
2020-12-22	737467	217853	1964740	10612	Moderate return
2020-12-23	748154	218689	2009764	10687	Moderate return
2020-12-24	759052	219855	2054058	10898	Moderate return
2020-12-25	770053	220772	2101442	11001	Moderate return
2020-12-26	781227	220842	2147679	11174	Moderate return
2020-12-27	792575	221161	2200436	11348	Moderate return
2020-12-28	804010	222096	2247951	11435	Moderate return
2020-12-29	815592	223080	2300475	11582	Moderate return
2020-12-30	827357	223158	2350099	11765	Moderate return
2020-12-31	839295	224410	2407909	11938	Moderate return
2021-01-01	851324	224525	2459074	12029	Moderate return
2021-01-02	863490	225380	2513715	12166	Moderate return
2021-01-03	875825	225752	2568462	12335	Moderate return
2021-01-04	888311	226391	2625971	12486	Moderate return
2021-01-05	901023	226635	2683922	12712	Moderate return
2021-01-06	913846	226914	2743516	12823	Moderate return
2021-01-07	926850	227172	2806511	13004	Moderate return
2021-01-08	939983	228586	2868185	13133	Moderate return
2021-01-09	953278	228903	2931134	13295	Moderate return
2021-01-10	966731	229703	2992984	13453	Moderate return
2021-01-11	980380	230173	3060791	13649	Moderate return
2021-01-12	994197	230231	3126573	13817	Moderate return
2021-01-13	1008216	231066	3194811	14019	Moderate return
2021-01-14	1022361	231880	3263848	14145	Moderate return
2021-01-15	1036715	232041	3337167	14354	Moderate return
2021-01-16	1051204	232273	3402900	14489	Moderate return
2021-01-17	1065825	232838	3477383	14621	Moderate return
2021-01-18	1080671	232810	3547988	14846	Moderate return
2021-01-19	1095669	233372	3620394	14998	Moderate return
2021-01-20	1110850	234419	3700873	15181	Moderate return
2021-01-21	1126100	234437	3777338	15250	Moderate return
2021-01-22	1141664	234977	3852888	15564	Moderate return
2021-01-23	1157306	235305	3930798	15642	Moderate return
2021-01-24	1173125	235384	4014750	15819	Moderate return
2021-01-25	1189188	235671	4092546	16063	Moderate return
2021-01-26	1205366	235949	4174600	16178	Moderate return
2021-01-27	1221747	236573	4255046	16381	Moderate return
2021-01-28	1238195	236561	4341328	16448	Moderate return
2021-01-29	1254951	236973	4430465	16756	Moderate return
2021-01-30	1271812	237635	4516880	16861	Moderate return
2021-01-31	1288841	237148	4608947	17029	Moderate return
2021-02-01	1306026	238358	4697985	17185	Moderate return
2021-02-02	1323413	238504	4786035	17387	Moderate return
2021-02-03	1340978	238554	4882541	17565	Moderate return
