stat	value
thetaS_last_obs_p_mean	0.995117
thetaI_last_obs_p_mean	0.0006809075
thetaR_last_obs_p_mean	0.00420212
thetaS_last_obs_p_ci_low	0.9948336
thetaS_last_obs_p_ci_med	0.9951177
thetaS_last_obs_p_ci_up	0.9953973
thetaI_last_obs_p_ci_low	0.0005788816
thetaI_last_obs_p_ci_med	0.0006796905
thetaI_last_obs_p_ci_up	0.0007902412
thetaR_last_obs_p_ci_low	0.003943293
thetaR_last_obs_p_ci_med	0.00420148
thetaR_last_obs_p_ci_up	0.004465051
R0_p_mean	1.304127
R0_p_ci_low	0.9018383
R0_p_ci_med	1.249385
R0_p_ci_up	2.053425
gamma_p_mean	0.0808914
gamma_p_ci_low	0.02119528
gamma_p_ci_med	0.07999569
gamma_p_ci_up	0.1480742
beta_p_mean	0.1007468
beta_p_ci_low	0.03247298
beta_p_ci_med	0.1001728
beta_p_ci_up	0.1735044
incidence_mean	0.1064486
incidence_ci_low	0.00293057
incidence_ci_median	0.05054281
incidence_ci_up	0.4887235
thetaI_tp1_mean	0.01177308
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.00462848
thetaI_tp1_ci_up	0.06661528
thetaR_tp1_mean	0.03989518
thetaR_tp1_ci_low	0.004538054
thetaR_tp1_ci_med	0.0221484
thetaR_tp1_ci_up	0.187001
Y_tp1_mean	0.0117722
Y_tp1_ci_low	0
Y_tp1_ci_med	0.004624422
Y_tp1_ci_up	0.0665997
R_tp1_mean	0.03989541
R_tp1_ci_low	0.004543917
R_tp1_ci_med	0.02215209
R_tp1_ci_up	0.1871283
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.08864779
thetaR_max_ci_low	0.004678947
thetaR_max_ci_med	0.04260941
thetaR_max_ci_up	0.4164691
cumInf_mean	0.108064
cumInf_ci_low	0.004907763
cumInf_ci_med	0.05250723
cumInf_ci_up	0.4884152
dthetaI_tp1_date	01/18/21
first_tp_mean	11/29/20
first_tp_ci_low	08/28/20
first_tp_ci_med	12/31/20
first_tp_ci_up	03/01/21
dthetaI_tp2_date	01/18/21
second_tp_mean	12/04/20
second_tp_ci_low	08/30/20
second_tp_ci_med	01/21/21
second_tp_ci_up	03/01/21
end_p_mean	02/25/21
end_p_ci_low	12/26/20
end_p_ci_med	03/01/21
end_p_ci_up	03/01/21
begin_str	08/14/2020
