date	value	lower_ci	upper_ci	incidence	scenario
2020-09-28	112181	93736	132153	NA	Moderate return
2020-09-29	113610	92177	136984	1429	Moderate return
2020-09-30	115028	90895	141685	1418	Moderate return
2020-10-01	116427	89951	146071	1399	Moderate return
2020-10-02	117810	88949	150128	1383	Moderate return
2020-10-03	119192	88114	154070	1382	Moderate return
2020-10-04	120569	87560	158205	1377	Moderate return
2020-10-05	121911	86908	161825	1342	Moderate return
2020-10-06	123262	86380	165749	1351	Moderate return
2020-10-07	124593	85906	169661	1331	Moderate return
2020-10-08	125926	85581	173280	1333	Moderate return
2020-10-09	127255	85215	177124	1329	Moderate return
2020-10-10	128573	84839	180797	1318	Moderate return
2020-10-11	129883	84480	184399	1310	Moderate return
2020-10-12	131170	84349	187822	1287	Moderate return
2020-10-13	132450	84060	191355	1280	Moderate return
2020-10-14	133740	83757	194908	1290	Moderate return
2020-10-15	135010	83405	198748	1270	Moderate return
2020-10-16	136262	83216	202293	1252	Moderate return
2020-10-17	137521	83033	205735	1259	Moderate return
2020-10-18	138760	82721	209234	1239	Moderate return
2020-10-19	139988	82683	212919	1228	Moderate return
2020-10-20	141222	82470	216369	1234	Moderate return
2020-10-21	142434	82363	219864	1212	Moderate return
2020-10-22	143641	82231	223778	1207	Moderate return
2020-10-23	144850	81817	227251	1209	Moderate return
2020-10-24	146048	81892	230778	1198	Moderate return
2020-10-25	147247	81700	234232	1199	Moderate return
2020-10-26	148444	81593	237913	1197	Moderate return
2020-10-27	149627	81488	241656	1183	Moderate return
2020-10-28	150828	81555	245435	1201	Moderate return
2020-10-29	152003	81138	249262	1175	Moderate return
2020-10-30	153172	81319	252749	1169	Moderate return
2020-10-31	154359	80915	256292	1187	Moderate return
2020-11-01	155498	80981	259881	1139	Moderate return
2020-11-02	156650	80679	263853	1152	Moderate return
2020-11-03	157796	80414	267464	1146	Moderate return
2020-11-04	158932	80480	271438	1136	Moderate return
2020-11-05	160104	80495	275227	1172	Moderate return
2020-11-06	161228	80419	279383	1124	Moderate return
2020-11-07	162348	80144	282561	1120	Moderate return
2020-11-08	163482	80027	286822	1134	Moderate return
2020-11-09	164602	79952	290727	1120	Moderate return
2020-11-10	165742	79971	294629	1140	Moderate return
2020-11-11	166878	79870	298776	1136	Moderate return
2020-11-12	167994	79691	302810	1116	Moderate return
2020-11-13	169130	79777	306972	1136	Moderate return
2020-11-14	170243	79451	311178	1113	Moderate return
2020-11-15	171388	79429	314961	1145	Moderate return
2020-11-16	172502	79510	319455	1114	Moderate return
2020-11-17	173631	79439	323619	1129	Moderate return
2020-11-18	174744	79308	327438	1113	Moderate return
2020-11-19	175867	79242	332438	1123	Moderate return
2020-11-20	176982	79360	335876	1115	Moderate return
2020-11-21	178113	79347	340329	1131	Moderate return
2020-11-22	179228	79287	344941	1115	Moderate return
2020-11-23	180347	79273	349499	1119	Moderate return
2020-11-24	181436	79196	353812	1089	Moderate return
2020-11-25	182533	78862	357952	1097	Moderate return
2020-11-26	183641	78884	363120	1108	Moderate return
2020-11-27	184770	78614	367613	1129	Moderate return
2020-11-28	185892	78542	372494	1122	Moderate return
2020-11-29	187013	78390	377284	1121	Moderate return
2020-11-30	188100	78093	382103	1087	Moderate return
2020-12-01	189212	77990	386983	1112	Moderate return
2020-12-02	190352	77784	392250	1140	Moderate return
2020-12-03	191465	77852	396321	1113	Moderate return
2020-12-04	192580	77830	401435	1115	Moderate return
2020-12-05	193692	77754	406697	1112	Moderate return
2020-12-06	194808	77567	411828	1116	Moderate return
2020-12-07	195921	77460	416848	1113	Moderate return
2020-12-08	197019	77264	421862	1098	Moderate return
2020-12-09	198130	77045	426652	1111	Moderate return
2020-12-10	199227	76938	432262	1097	Moderate return
2020-12-11	200350	76704	437137	1123	Moderate return
2020-12-12	201471	76642	442733	1121	Moderate return
2020-12-13	202596	76345	448683	1125	Moderate return
2020-12-14	203740	76340	454585	1144	Moderate return
2020-12-15	204856	76014	460041	1116	Moderate return
2020-12-16	206004	75770	465477	1148	Moderate return
2020-12-17	207163	75581	471218	1159	Moderate return
2020-12-18	208294	75390	477163	1131	Moderate return
2020-12-19	209422	75314	482519	1128	Moderate return
2020-12-20	210585	75352	488856	1163	Moderate return
2020-12-21	211718	75184	494835	1133	Moderate return
2020-12-22	212871	74933	501179	1153	Moderate return
2020-12-23	214023	74691	507509	1152	Moderate return
2020-12-24	215193	74336	513371	1170	Moderate return
2020-12-25	216375	74071	519524	1182	Moderate return
2020-12-26	217529	74041	525598	1154	Moderate return
2020-12-27	218706	73914	531975	1177	Moderate return
2020-12-28	219903	73696	538025	1197	Moderate return
2020-12-29	221070	73327	544873	1167	Moderate return
2020-12-30	222260	73214	551690	1190	Moderate return
2020-12-31	223464	73219	558290	1204	Moderate return
2021-01-01	224684	72918	565583	1220	Moderate return
2021-01-02	225873	72811	572628	1189	Moderate return
2021-01-03	227089	72509	579381	1216	Moderate return
2021-01-04	228293	72343	586781	1204	Moderate return
2021-01-05	229506	72118	593840	1213	Moderate return
2021-01-06	230734	71951	600504	1228	Moderate return
2021-01-07	231963	71693	609174	1229	Moderate return
2021-01-08	233183	71717	615543	1220	Moderate return
2021-01-09	234425	71304	623412	1242	Moderate return
2021-01-10	235677	71112	630869	1252	Moderate return
2021-01-11	236902	70791	639633	1225	Moderate return
2021-01-12	238159	70533	645891	1257	Moderate return
2021-01-13	239451	70634	655474	1292	Moderate return
2021-01-14	240738	70155	661881	1287	Moderate return
2021-01-15	242017	70037	670653	1279	Moderate return
2021-01-16	243293	69684	679408	1276	Moderate return
2021-01-17	244567	69649	686330	1274	Moderate return
2021-01-18	245885	69214	695380	1318	Moderate return
2021-01-19	247181	69158	703544	1296	Moderate return
2021-01-20	248508	68949	713315	1327	Moderate return
2021-01-21	249865	68562	722020	1357	Moderate return
2021-01-22	251192	68423	730955	1327	Moderate return
2021-01-23	252561	68092	740496	1369	Moderate return
2021-01-24	253893	67987	748202	1332	Moderate return
2021-01-25	255260	67656	757572	1367	Moderate return
2021-01-26	256607	67430	766415	1347	Moderate return
2021-01-27	257994	67200	775408	1387	Moderate return
2021-01-28	259357	67164	785539	1363	Moderate return
2021-01-29	260765	66869	795253	1408	Moderate return
2021-01-30	262183	66509	804923	1418	Moderate return
2021-01-31	263597	66337	815287	1414	Moderate return
2021-02-01	265013	66070	823794	1416	Moderate return
2021-02-02	266440	66121	833650	1427	Moderate return
2021-02-03	267870	65797	845224	1430	Moderate return
2021-02-04	269312	65700	854615	1442	Moderate return
2021-02-05	270791	65657	863183	1479	Moderate return
2021-02-06	272269	65403	874350	1478	Moderate return
2021-02-07	273735	64961	884648	1466	Moderate return
2021-02-08	275214	64685	894911	1479	Moderate return
2021-02-09	276705	64666	906276	1491	Moderate return
2021-02-10	278199	64370	916938	1494	Moderate return
2021-02-11	279710	64109	925892	1511	Moderate return
2021-02-12	281216	63831	939520	1506	Moderate return
2021-02-13	282777	63413	948680	1561	Moderate return
2021-02-14	284315	63280	960054	1538	Moderate return
2021-02-15	285860	62885	972939	1545	Moderate return
2021-02-16	287465	62991	984433	1605	Moderate return
2021-02-17	289046	62757	993309	1581	Moderate return
2021-02-18	290662	62487	1004984	1616	Moderate return
2021-02-19	292269	62232	1017236	1607	Moderate return
2021-02-20	293869	62146	1029737	1600	Moderate return
2021-02-21	295513	61841	1041248	1644	Moderate return
2021-02-22	297152	61618	1055543	1639	Moderate return
2021-02-23	298788	61104	1065988	1636	Moderate return
2021-02-24	300439	61129	1078219	1651	Moderate return
2021-02-25	302081	60840	1089864	1642	Moderate return
2021-02-26	303776	60659	1104217	1695	Moderate return
2021-02-27	305455	60414	1115297	1679	Moderate return
2021-02-28	307159	60021	1130680	1704	Moderate return
2021-03-01	308872	59937	1143679	1713	Moderate return
