stat	value
thetaS_last_obs_p_mean	0.9941585
thetaI_last_obs_p_mean	0.0019657
thetaR_last_obs_p_mean	0.003875829
thetaS_last_obs_p_ci_low	0.9938419
thetaS_last_obs_p_ci_med	0.9941593
thetaS_last_obs_p_ci_up	0.9944705
thetaI_last_obs_p_ci_low	0.001784375
thetaI_last_obs_p_ci_med	0.001964907
thetaI_last_obs_p_ci_up	0.002151124
thetaR_last_obs_p_ci_low	0.003625368
thetaR_last_obs_p_ci_med	0.003874958
thetaR_last_obs_p_ci_up	0.004131475
R0_p_mean	1.614722
R0_p_ci_low	1.199806
R0_p_ci_med	1.567914
R0_p_ci_up	2.307485
gamma_p_mean	0.06658682
gamma_p_ci_low	0.03111635
gamma_p_ci_med	0.06629098
gamma_p_ci_up	0.103983
beta_p_mean	0.1041779
beta_p_ci_low	0.05905631
beta_p_ci_med	0.1041696
beta_p_ci_up	0.1490467
incidence_mean	0.02313576
incidence_ci_low	0.007100578
incidence_ci_median	0.01743087
incidence_ci_up	0.0742249
thetaI_tp1_mean	0.001576791
thetaI_tp1_ci_low	0.00144515
thetaI_tp1_ci_med	0.001576324
thetaI_tp1_ci_up	0.001712285
thetaR_tp1_mean	0.00344743
thetaR_tp1_ci_low	0.003250852
thetaR_tp1_ci_med	0.003446693
thetaR_tp1_ci_up	0.003646282
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.01307397
R_tp1_ci_low	0.004277356
R_tp1_ci_med	0.01106157
R_tp1_ci_up	0.03438537
thetaI_tp2_mean	0.002031283
thetaI_tp2_ci_low	0.001672747
thetaI_tp2_ci_med	0.002025372
thetaI_tp2_ci_up	0.002420272
thetaR_tp2_mean	0.00414396
thetaR_tp2_ci_low	0.003617889
thetaR_tp2_ci_med	0.004140351
thetaR_tp2_ci_up	0.004691082
Y_tp2_mean	0.002031241
Y_tp2_ci_low	0.001608983
Y_tp2_ci_med	0.002024019
Y_tp2_ci_up	0.002495745
R_tp2_mean	0.004144452
R_tp2_ci_low	0.003530109
R_tp2_ci_med	0.00413777
R_tp2_ci_up	0.004792089
thetaR_max_mean	0.02201903
thetaR_max_ci_low	0.006597519
thetaR_max_ci_med	0.01814125
thetaR_max_ci_up	0.06102139
cumInf_mean	0.02466589
cumInf_ci_low	0.006696696
cumInf_ci_med	0.01918153
cumInf_ci_up	0.07671944
dthetaI_tp1_date	09/26/20
first_tp_mean	09/29/20
first_tp_ci_low	09/17/20
first_tp_ci_med	09/27/20
first_tp_ci_up	09/30/20
dthetaI_tp2_date	10/02/20
second_tp_mean	10/06/20
second_tp_ci_low	09/20/20
second_tp_ci_med	10/02/20
second_tp_ci_up	02/16/21
end_p_mean	02/27/21
end_p_ci_low	01/07/21
end_p_ci_med	03/04/21
end_p_ci_up	03/04/21
begin_str	08/17/2020
