date	value	lower_ci	upper_ci	incidence	scenario
2020-10-02	211195	180898	243325	NA	Soc. Dist. + Travel Ban
2020-10-03	216992	180978	255666	5797	Soc. Dist. + Travel Ban
2020-10-04	222876	181468	267680	5884	Soc. Dist. + Travel Ban
2020-10-05	228832	182002	279713	5956	Soc. Dist. + Travel Ban
2020-10-06	234868	183134	291755	6036	Soc. Dist. + Travel Ban
2020-10-07	240967	184193	303811	6099	Soc. Dist. + Travel Ban
2020-10-08	247155	185324	316271	6188	Soc. Dist. + Travel Ban
2020-10-09	253456	186585	328391	6301	Soc. Dist. + Travel Ban
2020-10-10	259833	188246	341088	6377	Soc. Dist. + Travel Ban
2020-10-11	266294	189657	353813	6461	Soc. Dist. + Travel Ban
2020-10-12	272838	191183	366612	6544	Soc. Dist. + Travel Ban
2020-10-13	279447	192861	379437	6609	Soc. Dist. + Travel Ban
2020-10-14	286163	194360	393111	6716	Soc. Dist. + Travel Ban
2020-10-15	293009	196333	406656	6846	Soc. Dist. + Travel Ban
2020-10-16	299875	198062	420560	6866	Soc. Dist. + Travel Ban
2020-10-17	306855	200030	434340	6980	Soc. Dist. + Travel Ban
2020-10-18	313938	202217	448852	7083	Soc. Dist. + Travel Ban
2020-10-19	321118	204165	463450	7180	Soc. Dist. + Travel Ban
2020-10-20	328404	205807	478280	7286	Soc. Dist. + Travel Ban
2020-10-21	335777	207674	493673	7373	Soc. Dist. + Travel Ban
2020-10-22	343277	209788	509368	7500	Soc. Dist. + Travel Ban
2020-10-23	350887	211949	525391	7610	Soc. Dist. + Travel Ban
2020-10-24	358587	214339	541708	7700	Soc. Dist. + Travel Ban
2020-10-25	366400	216116	558468	7813	Soc. Dist. + Travel Ban
2020-10-26	374352	218441	575243	7952	Soc. Dist. + Travel Ban
2020-10-27	382409	220498	593221	8057	Soc. Dist. + Travel Ban
2020-10-28	390615	222759	610788	8206	Soc. Dist. + Travel Ban
2020-10-29	398886	225042	629105	8271	Soc. Dist. + Travel Ban
2020-10-30	407308	227401	647825	8422	Soc. Dist. + Travel Ban
2020-10-31	415833	229543	667448	8525	Soc. Dist. + Travel Ban
2020-11-01	424508	231833	686979	8675	Soc. Dist. + Travel Ban
2020-11-02	433282	233861	706980	8774	Soc. Dist. + Travel Ban
2020-11-03	442217	236369	727895	8935	Soc. Dist. + Travel Ban
2020-11-04	451251	238769	749058	9034	Soc. Dist. + Travel Ban
2020-11-05	460450	241335	771523	9199	Soc. Dist. + Travel Ban
2020-11-06	469790	243172	793380	9340	Soc. Dist. + Travel Ban
2020-11-07	479283	245699	815853	9493	Soc. Dist. + Travel Ban
2020-11-08	488883	248270	839628	9600	Soc. Dist. + Travel Ban
2020-11-09	498642	250439	862650	9759	Soc. Dist. + Travel Ban
2020-11-10	508542	253192	887249	9900	Soc. Dist. + Travel Ban
2020-11-11	518623	255548	913366	10081	Soc. Dist. + Travel Ban
2020-11-12	528845	258021	939343	10222	Soc. Dist. + Travel Ban
2020-11-13	539198	260769	965172	10353	Soc. Dist. + Travel Ban
2020-11-14	549765	263067	992965	10567	Soc. Dist. + Travel Ban
2020-11-15	560481	265290	1021717	10716	Soc. Dist. + Travel Ban
2020-11-16	571297	267958	1050220	10816	Soc. Dist. + Travel Ban
2020-11-17	582336	270434	1079078	11039	Soc. Dist. + Travel Ban
2020-11-18	593494	272949	1108862	11158	Soc. Dist. + Travel Ban
2020-11-19	604877	275418	1141066	11383	Soc. Dist. + Travel Ban
2020-11-20	616447	277783	1171863	11570	Soc. Dist. + Travel Ban
2020-11-21	628229	280065	1204958	11782	Soc. Dist. + Travel Ban
2020-11-22	640157	282858	1238712	11928	Soc. Dist. + Travel Ban
2020-11-23	652317	285136	1274647	12160	Soc. Dist. + Travel Ban
2020-11-24	664632	287647	1309143	12315	Soc. Dist. + Travel Ban
2020-11-25	677101	290487	1345917	12469	Soc. Dist. + Travel Ban
2020-11-26	689800	292551	1381670	12699	Soc. Dist. + Travel Ban
2020-11-27	702728	295160	1421984	12928	Soc. Dist. + Travel Ban
2020-11-28	715850	297787	1459755	13122	Soc. Dist. + Travel Ban
2020-11-29	729163	300070	1499693	13313	Soc. Dist. + Travel Ban
2020-11-30	742666	302094	1539585	13503	Soc. Dist. + Travel Ban
2020-12-01	756403	304705	1581939	13737	Soc. Dist. + Travel Ban
2020-12-02	770345	306744	1624453	13942	Soc. Dist. + Travel Ban
2020-12-03	784546	308919	1669658	14201	Soc. Dist. + Travel Ban
2020-12-04	798978	311423	1715548	14432	Soc. Dist. + Travel Ban
2020-12-05	813570	314037	1761693	14592	Soc. Dist. + Travel Ban
2020-12-06	828450	316621	1808711	14880	Soc. Dist. + Travel Ban
2020-12-07	843571	319005	1859033	15121	Soc. Dist. + Travel Ban
2020-12-08	858926	321325	1907546	15355	Soc. Dist. + Travel Ban
2020-12-09	874510	323641	1958944	15584	Soc. Dist. + Travel Ban
2020-12-10	890354	325593	2012913	15844	Soc. Dist. + Travel Ban
2020-12-11	906424	328490	2065690	16070	Soc. Dist. + Travel Ban
2020-12-12	922720	330780	2121077	16296	Soc. Dist. + Travel Ban
2020-12-13	939327	333450	2179155	16607	Soc. Dist. + Travel Ban
2020-12-14	956216	335481	2234670	16889	Soc. Dist. + Travel Ban
2020-12-15	973310	337537	2293711	17094	Soc. Dist. + Travel Ban
2020-12-16	990641	339903	2354416	17331	Soc. Dist. + Travel Ban
2020-12-17	1008279	342152	2415995	17638	Soc. Dist. + Travel Ban
2020-12-18	1026208	344063	2477296	17929	Soc. Dist. + Travel Ban
2020-12-19	1044375	346570	2543868	18167	Soc. Dist. + Travel Ban
2020-12-20	1062846	348750	2607862	18471	Soc. Dist. + Travel Ban
2020-12-21	1081626	351174	2676629	18780	Soc. Dist. + Travel Ban
2020-12-22	1100595	353294	2744191	18969	Soc. Dist. + Travel Ban
2020-12-23	1119873	355542	2819607	19278	Soc. Dist. + Travel Ban
2020-12-24	1139476	357391	2889267	19603	Soc. Dist. + Travel Ban
2020-12-25	1159391	360087	2962870	19915	Soc. Dist. + Travel Ban
2020-12-26	1179661	362682	3038449	20270	Soc. Dist. + Travel Ban
2020-12-27	1200192	364139	3116423	20531	Soc. Dist. + Travel Ban
2020-12-28	1220933	366468	3195706	20741	Soc. Dist. + Travel Ban
2020-12-29	1242050	368501	3274993	21117	Soc. Dist. + Travel Ban
2020-12-30	1263461	369512	3362398	21411	Soc. Dist. + Travel Ban
2020-12-31	1285170	372072	3444264	21709	Soc. Dist. + Travel Ban
2021-01-01	1307187	374561	3526374	22017	Soc. Dist. + Travel Ban
2021-01-02	1329595	375912	3614230	22408	Soc. Dist. + Travel Ban
2021-01-03	1352274	378119	3704030	22679	Soc. Dist. + Travel Ban
2021-01-04	1375213	380003	3796455	22939	Soc. Dist. + Travel Ban
2021-01-05	1398489	381838	3885963	23276	Soc. Dist. + Travel Ban
2021-01-06	1422103	384042	3983240	23614	Soc. Dist. + Travel Ban
2021-01-07	1446027	385784	4076085	23924	Soc. Dist. + Travel Ban
2021-01-08	1470341	387879	4170541	24314	Soc. Dist. + Travel Ban
2021-01-09	1494917	389812	4267288	24576	Soc. Dist. + Travel Ban
2021-01-10	1519843	392263	4370209	24926	Soc. Dist. + Travel Ban
2021-01-11	1545112	394158	4470349	25269	Soc. Dist. + Travel Ban
2021-01-12	1570707	396217	4572788	25595	Soc. Dist. + Travel Ban
2021-01-13	1596664	398078	4679585	25957	Soc. Dist. + Travel Ban
2021-01-14	1622883	400429	4780106	26219	Soc. Dist. + Travel Ban
2021-01-15	1649367	402147	4891868	26484	Soc. Dist. + Travel Ban
2021-01-16	1676237	404005	5003462	26870	Soc. Dist. + Travel Ban
2021-01-17	1703459	405463	5116237	27222	Soc. Dist. + Travel Ban
2021-01-18	1731032	407256	5234654	27573	Soc. Dist. + Travel Ban
2021-01-19	1758903	408717	5348917	27871	Soc. Dist. + Travel Ban
2021-01-20	1787145	410160	5466140	28242	Soc. Dist. + Travel Ban
2021-01-21	1815572	412932	5584426	28427	Soc. Dist. + Travel Ban
2021-01-22	1844392	413510	5705277	28820	Soc. Dist. + Travel Ban
2021-01-23	1873561	415380	5828585	29169	Soc. Dist. + Travel Ban
2021-01-24	1903001	416888	5949398	29440	Soc. Dist. + Travel Ban
2021-01-25	1932834	418342	6076813	29833	Soc. Dist. + Travel Ban
2021-01-26	1962936	420225	6199460	30102	Soc. Dist. + Travel Ban
2021-01-27	1993329	421477	6331214	30393	Soc. Dist. + Travel Ban
2021-01-28	2024055	422831	6459798	30726	Soc. Dist. + Travel Ban
2021-01-29	2055098	424725	6591436	31043	Soc. Dist. + Travel Ban
2021-01-30	2086456	426418	6724034	31358	Soc. Dist. + Travel Ban
2021-01-31	2118123	428346	6856296	31667	Soc. Dist. + Travel Ban
2021-02-01	2150097	430177	6992369	31974	Soc. Dist. + Travel Ban
2021-02-02	2182353	431304	7132142	32256	Soc. Dist. + Travel Ban
2021-02-03	2214886	432433	7269835	32533	Soc. Dist. + Travel Ban
2021-02-04	2247718	434321	7411491	32832	Soc. Dist. + Travel Ban
2021-02-05	2280826	435934	7548665	33108	Soc. Dist. + Travel Ban
2021-02-06	2314231	436743	7695867	33405	Soc. Dist. + Travel Ban
2021-02-07	2347982	438586	7839390	33751	Soc. Dist. + Travel Ban
2021-02-08	2381928	440592	7987772	33946	Soc. Dist. + Travel Ban
2021-02-09	2416182	441542	8123007	34254	Soc. Dist. + Travel Ban
2021-02-10	2450694	443689	8267937	34512	Soc. Dist. + Travel Ban
2021-02-11	2485418	444504	8415685	34724	Soc. Dist. + Travel Ban
2021-02-12	2520371	446414	8557156	34953	Soc. Dist. + Travel Ban
2021-02-13	2555617	447093	8695681	35246	Soc. Dist. + Travel Ban
2021-02-14	2591062	449158	8841615	35445	Soc. Dist. + Travel Ban
2021-02-15	2626836	450007	8993652	35774	Soc. Dist. + Travel Ban
2021-02-16	2662932	451587	9136706	36096	Soc. Dist. + Travel Ban
2021-02-17	2699121	453158	9291708	36189	Soc. Dist. + Travel Ban
2021-02-18	2735623	455137	9441257	36502	Soc. Dist. + Travel Ban
2021-02-19	2772327	456284	9587076	36704	Soc. Dist. + Travel Ban
2021-02-20	2809202	456790	9732002	36875	Soc. Dist. + Travel Ban
2021-02-21	2846306	459552	9887347	37104	Soc. Dist. + Travel Ban
2021-02-22	2883637	458871	10038703	37331	Soc. Dist. + Travel Ban
2021-02-23	2921255	461008	10190265	37618	Soc. Dist. + Travel Ban
2021-02-24	2958991	462287	10344221	37736	Soc. Dist. + Travel Ban
2021-02-25	2996872	463649	10503364	37881	Soc. Dist. + Travel Ban
2021-02-26	3035042	464432	10654640	38170	Soc. Dist. + Travel Ban
2021-02-27	3073242	465560	10810001	38200	Soc. Dist. + Travel Ban
2021-02-28	3111715	466662	10959283	38473	Soc. Dist. + Travel Ban
2021-03-01	3150278	469068	11110999	38563	Soc. Dist. + Travel Ban
2021-03-02	3188971	470246	11265764	38693	Soc. Dist. + Travel Ban
2021-03-03	3227910	471656	11415488	38939	Soc. Dist. + Travel Ban
2021-03-04	3266958	472669	11575914	39048	Soc. Dist. + Travel Ban
2021-03-05	3306174	473292	11719633	39216	Soc. Dist. + Travel Ban
