stat	value
thetaS_last_obs_p_mean	0.995337
thetaI_last_obs_p_mean	0.001202532
thetaR_last_obs_p_mean	0.003460493
thetaS_last_obs_p_ci_low	0.9950427
thetaS_last_obs_p_ci_med	0.9953378
thetaS_last_obs_p_ci_up	0.995628
thetaI_last_obs_p_ci_low	0.001057151
thetaI_last_obs_p_ci_med	0.001201149
thetaI_last_obs_p_ci_up	0.001356116
thetaR_last_obs_p_ci_low	0.003211319
thetaR_last_obs_p_ci_med	0.003459957
thetaR_last_obs_p_ci_up	0.003712907
R0_p_mean	1.413704
R0_p_ci_low	0.99706
R0_p_ci_med	1.388166
R0_p_ci_up	1.984301
gamma_p_mean	0.06122585
gamma_p_ci_low	0.03155431
gamma_p_ci_med	0.06115573
gamma_p_ci_up	0.09139699
beta_p_mean	0.08489905
beta_p_ci_low	0.04612063
beta_p_ci_med	0.08488573
beta_p_ci_up	0.12399
incidence_mean	0.16905
incidence_ci_low	0.008333347
incidence_ci_median	0.1129818
incidence_ci_up	0.5833301
thetaI_tp1_mean	0.0218828
thetaI_tp1_ci_low	0.0003820316
thetaI_tp1_ci_med	0.01223746
thetaI_tp1_ci_up	0.0975918
thetaR_tp1_mean	0.05350968
thetaR_tp1_ci_low	0.00700618
thetaR_tp1_ci_med	0.0357656
thetaR_tp1_ci_up	0.2055256
Y_tp1_mean	0.02188277
Y_tp1_ci_low	0.0003761719
Y_tp1_ci_med	0.0122475
Y_tp1_ci_up	0.09760887
R_tp1_mean	0.05350849
R_tp1_ci_low	0.006979925
R_tp1_ci_med	0.03576341
R_tp1_ci_up	0.2054496
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.1328334
thetaR_max_ci_low	0.008472308
thetaR_max_ci_med	0.08598131
thetaR_max_ci_up	0.4876489
cumInf_mean	0.1689652
cumInf_ci_low	0.009137553
cumInf_ci_med	0.1129251
cumInf_ci_up	0.5818173
dthetaI_tp1_date	01/20/21
first_tp_mean	12/22/20
first_tp_ci_low	09/02/20
first_tp_ci_med	01/26/21
first_tp_ci_up	03/06/21
dthetaI_tp2_date	01/20/21
second_tp_mean	12/29/20
second_tp_ci_low	09/07/20
second_tp_ci_med	02/08/21
second_tp_ci_up	03/06/21
end_p_mean	03/05/21
end_p_ci_low	03/06/21
end_p_ci_med	03/06/21
end_p_ci_up	03/06/21
begin_str	08/19/2020
