date	value	lower_ci	upper_ci	incidence	scenario
2020-10-03	1435540	1297622	1579511	NA	Moderate return
2020-10-04	1449385	1287820	1618877	13845	Moderate return
2020-10-05	1463056	1280033	1655227	13671	Moderate return
2020-10-06	1476659	1275165	1690288	13603	Moderate return
2020-10-07	1490059	1270766	1724232	13400	Moderate return
2020-10-08	1503434	1267070	1756814	13375	Moderate return
2020-10-09	1516675	1263862	1788691	13241	Moderate return
2020-10-10	1529848	1261735	1819895	13173	Moderate return
2020-10-11	1542980	1259935	1850154	13132	Moderate return
2020-10-12	1556013	1258523	1880634	13033	Moderate return
2020-10-13	1568882	1257241	1909777	12869	Moderate return
2020-10-14	1581795	1255377	1939574	12913	Moderate return
2020-10-15	1594625	1255887	1967633	12830	Moderate return
2020-10-16	1607259	1256208	1996051	12634	Moderate return
2020-10-17	1619935	1256060	2024217	12676	Moderate return
2020-10-18	1632526	1256067	2052702	12591	Moderate return
2020-10-19	1644910	1256396	2080285	12384	Moderate return
2020-10-20	1657417	1257949	2108365	12507	Moderate return
2020-10-21	1669920	1258719	2136989	12503	Moderate return
2020-10-22	1682162	1257763	2164068	12242	Moderate return
2020-10-23	1694375	1259145	2190851	12213	Moderate return
2020-10-24	1706364	1260141	2218418	11989	Moderate return
2020-10-25	1718377	1261242	2245029	12013	Moderate return
2020-10-26	1730349	1262234	2271166	11972	Moderate return
2020-10-27	1742373	1262940	2297330	12024	Moderate return
2020-10-28	1754225	1263481	2324504	11852	Moderate return
2020-10-29	1766033	1265125	2351608	11808	Moderate return
2020-10-30	1777753	1266234	2380007	11720	Moderate return
2020-10-31	1789520	1267826	2405799	11767	Moderate return
2020-11-01	1801075	1269710	2430981	11555	Moderate return
2020-11-02	1812561	1270621	2454825	11486	Moderate return
2020-11-03	1824114	1272078	2483151	11553	Moderate return
2020-11-04	1835477	1273786	2510473	11363	Moderate return
2020-11-05	1846802	1273680	2536075	11325	Moderate return
2020-11-06	1857940	1276972	2561444	11138	Moderate return
2020-11-07	1869183	1278155	2589865	11243	Moderate return
2020-11-08	1880310	1279861	2614399	11127	Moderate return
2020-11-09	1891334	1281424	2639994	11024	Moderate return
2020-11-10	1902286	1282437	2666020	10952	Moderate return
2020-11-11	1913277	1283115	2692074	10991	Moderate return
2020-11-12	1924128	1285493	2716175	10851	Moderate return
2020-11-13	1935015	1286719	2744430	10887	Moderate return
2020-11-14	1945719	1286595	2769875	10704	Moderate return
2020-11-15	1956365	1288254	2794630	10646	Moderate return
2020-11-16	1966941	1288599	2821575	10576	Moderate return
2020-11-17	1977625	1290302	2845237	10684	Moderate return
2020-11-18	1988262	1292477	2872551	10637	Moderate return
2020-11-19	1998693	1292622	2897689	10431	Moderate return
2020-11-20	2009201	1295732	2925783	10508	Moderate return
2020-11-21	2019619	1296678	2949889	10418	Moderate return
2020-11-22	2029930	1299216	2975947	10311	Moderate return
2020-11-23	2040238	1300782	3002327	10308	Moderate return
2020-11-24	2050526	1303590	3028514	10288	Moderate return
2020-11-25	2060835	1304357	3056798	10309	Moderate return
2020-11-26	2071037	1304981	3080069	10202	Moderate return
2020-11-27	2081080	1305598	3107190	10043	Moderate return
2020-11-28	2091044	1306873	3134315	9964	Moderate return
2020-11-29	2101130	1308356	3159508	10086	Moderate return
2020-11-30	2111008	1309419	3185392	9878	Moderate return
2020-12-01	2120979	1309447	3214801	9971	Moderate return
2020-12-02	2130737	1312152	3240372	9758	Moderate return
2020-12-03	2140748	1312330	3266991	10011	Moderate return
2020-12-04	2150662	1313806	3294438	9914	Moderate return
2020-12-05	2160420	1314757	3321934	9758	Moderate return
2020-12-06	2170121	1316616	3351132	9701	Moderate return
2020-12-07	2179914	1316384	3376337	9793	Moderate return
2020-12-08	2189519	1316770	3403296	9605	Moderate return
2020-12-09	2199142	1318670	3430033	9623	Moderate return
2020-12-10	2208800	1319090	3458507	9658	Moderate return
2020-12-11	2218421	1318828	3483101	9621	Moderate return
2020-12-12	2227907	1321621	3509425	9486	Moderate return
2020-12-13	2237327	1321328	3538379	9420	Moderate return
2020-12-14	2246802	1320746	3563975	9475	Moderate return
2020-12-15	2256215	1320898	3591112	9413	Moderate return
2020-12-16	2265446	1322187	3617318	9231	Moderate return
2020-12-17	2274674	1320673	3645330	9228	Moderate return
2020-12-18	2283930	1322143	3674449	9256	Moderate return
2020-12-19	2292968	1323174	3699709	9038	Moderate return
2020-12-20	2302257	1324051	3730711	9289	Moderate return
2020-12-21	2311519	1324162	3759351	9262	Moderate return
2020-12-22	2320651	1324371	3786623	9132	Moderate return
2020-12-23	2329702	1325476	3812182	9051	Moderate return
2020-12-24	2338858	1326518	3840333	9156	Moderate return
2020-12-25	2347937	1327600	3871201	9079	Moderate return
2020-12-26	2357016	1327275	3897765	9079	Moderate return
2020-12-27	2366122	1328974	3924759	9106	Moderate return
2020-12-28	2375126	1328368	3956575	9004	Moderate return
2020-12-29	2384010	1329258	3986383	8884	Moderate return
2020-12-30	2392939	1329902	4013691	8929	Moderate return
2020-12-31	2401752	1328784	4042228	8813	Moderate return
2021-01-01	2410570	1331269	4071769	8818	Moderate return
2021-01-02	2419413	1331987	4101444	8843	Moderate return
2021-01-03	2428128	1329991	4130161	8715	Moderate return
2021-01-04	2436933	1329063	4159821	8805	Moderate return
2021-01-05	2445778	1331271	4193570	8845	Moderate return
2021-01-06	2454375	1332633	4218844	8597	Moderate return
2021-01-07	2463093	1332424	4249843	8718	Moderate return
2021-01-08	2471799	1333295	4276168	8706	Moderate return
2021-01-09	2480338	1332878	4307611	8539	Moderate return
2021-01-10	2488830	1335162	4336205	8492	Moderate return
2021-01-11	2497454	1334965	4369039	8624	Moderate return
2021-01-12	2505942	1333502	4397035	8488	Moderate return
2021-01-13	2514614	1333177	4425620	8672	Moderate return
2021-01-14	2522934	1333772	4462840	8320	Moderate return
2021-01-15	2531398	1332328	4493481	8464	Moderate return
2021-01-16	2539698	1334399	4521723	8300	Moderate return
2021-01-17	2548016	1333459	4553787	8318	Moderate return
2021-01-18	2556684	1332077	4585804	8668	Moderate return
2021-01-19	2565116	1333839	4615728	8432	Moderate return
2021-01-20	2573546	1331616	4642597	8430	Moderate return
2021-01-21	2582032	1332948	4678186	8486	Moderate return
2021-01-22	2590322	1334193	4709556	8290	Moderate return
2021-01-23	2598628	1333203	4740077	8306	Moderate return
2021-01-24	2607005	1332279	4769940	8377	Moderate return
2021-01-25	2615164	1333779	4798064	8159	Moderate return
2021-01-26	2623389	1332107	4831838	8225	Moderate return
2021-01-27	2631607	1333678	4864016	8218	Moderate return
2021-01-28	2639934	1333319	4898649	8327	Moderate return
2021-01-29	2648078	1333240	4927415	8144	Moderate return
2021-01-30	2656245	1333923	4963352	8167	Moderate return
2021-01-31	2664625	1332246	4998204	8380	Moderate return
2021-02-01	2672633	1331590	5024262	8008	Moderate return
2021-02-02	2680714	1333817	5061706	8081	Moderate return
2021-02-03	2688973	1332328	5097144	8259	Moderate return
2021-02-04	2697121	1333361	5128003	8148	Moderate return
2021-02-05	2705057	1332972	5158595	7936	Moderate return
2021-02-06	2713172	1331982	5191326	8115	Moderate return
2021-02-07	2721289	1331204	5224479	8117	Moderate return
2021-02-08	2729333	1331542	5259736	8044	Moderate return
2021-02-09	2737329	1329774	5299444	7996	Moderate return
2021-02-10	2745447	1329954	5333340	8118	Moderate return
2021-02-11	2753417	1330590	5368766	7970	Moderate return
2021-02-12	2761543	1328596	5397582	8126	Moderate return
2021-02-13	2769474	1326432	5433745	7931	Moderate return
2021-02-14	2777447	1329206	5465907	7973	Moderate return
2021-02-15	2785467	1328678	5500904	8020	Moderate return
2021-02-16	2793424	1328325	5539740	7957	Moderate return
2021-02-17	2801252	1325815	5573643	7828	Moderate return
2021-02-18	2809070	1326458	5607342	7818	Moderate return
2021-02-19	2816942	1325492	5643067	7872	Moderate return
2021-02-20	2824778	1324715	5675717	7836	Moderate return
2021-02-21	2832734	1325430	5712934	7956	Moderate return
2021-02-22	2840563	1324417	5749527	7829	Moderate return
2021-02-23	2848530	1325082	5781400	7967	Moderate return
2021-02-24	2856602	1322702	5815089	8072	Moderate return
2021-02-25	2864496	1324166	5852880	7894	Moderate return
2021-02-26	2872198	1321437	5881355	7702	Moderate return
2021-02-27	2880268	1321302	5921705	8070	Moderate return
2021-02-28	2888125	1321827	5964274	7857	Moderate return
2021-03-01	2895856	1321714	5995652	7731	Moderate return
2021-03-02	2903418	1321463	6033831	7562	Moderate return
2021-03-03	2911150	1320475	6073597	7732	Moderate return
2021-03-04	2918955	1318592	6110518	7805	Moderate return
2021-03-05	2926860	1319957	6148586	7905	Moderate return
2021-03-06	2934717	1315881	6187748	7857	Moderate return
