stat	value
thetaS_last_obs_p_mean	0.9872465
thetaI_last_obs_p_mean	0.00232781
thetaR_last_obs_p_mean	0.01042566
thetaS_last_obs_p_ci_low	0.9867836
thetaS_last_obs_p_ci_med	0.987247
thetaS_last_obs_p_ci_up	0.9877046
thetaI_last_obs_p_ci_low	0.002132878
thetaI_last_obs_p_ci_med	0.002326841
thetaI_last_obs_p_ci_up	0.002529325
thetaR_last_obs_p_ci_low	0.01001403
thetaR_last_obs_p_ci_med	0.01042534
thetaR_last_obs_p_ci_up	0.01084365
R0_p_mean	1.207803
R0_p_ci_low	0.9264772
R0_p_ci_med	1.191308
R0_p_ci_up	1.587979
gamma_p_mean	0.05855132
gamma_p_ci_low	0.02858489
gamma_p_ci_med	0.05858787
gamma_p_ci_up	0.0880066
beta_p_mean	0.06975561
beta_p_ci_low	0.03607853
beta_p_ci_med	0.06977512
beta_p_ci_up	0.1031336
incidence_mean	0.01237201
incidence_ci_low	0.006385164
incidence_ci_median	0.01191799
incidence_ci_up	0.02113637
thetaI_tp1_mean	0.002067402
thetaI_tp1_ci_low	0.001912194
thetaI_tp1_ci_med	0.002066957
thetaI_tp1_ci_up	0.00222511
thetaR_tp1_mean	0.005990115
thetaR_tp1_ci_low	0.005728982
thetaR_tp1_ci_med	0.00598956
thetaR_tp1_ci_up	0.006255961
Y_tp1_mean	NA
Y_tp1_ci_low	NA
Y_tp1_ci_med	NA
Y_tp1_ci_up	NA
R_tp1_mean	0.01577292
R_tp1_ci_low	0.01009113
R_tp1_ci_med	0.01517946
R_tp1_ci_up	0.02509665
thetaI_tp2_mean	0.002655377
thetaI_tp2_ci_low	0.002479723
thetaI_tp2_ci_med	0.002654898
thetaI_tp2_ci_up	0.002832883
thetaR_tp2_mean	0.007727493
thetaR_tp2_ci_low	0.007429485
thetaR_tp2_ci_med	0.007726993
thetaR_tp2_ci_up	0.008028134
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.01821578
thetaR_max_ci_low	0.009628185
thetaR_max_ci_med	0.01772673
thetaR_max_ci_up	0.02969195
cumInf_mean	0.01854042
cumInf_ci_low	0.009703257
cumInf_ci_med	0.01796118
cumInf_ci_up	0.03081985
dthetaI_tp1_date	09/06/20
first_tp_mean	09/07/20
first_tp_ci_low	08/27/20
first_tp_ci_med	09/09/20
first_tp_ci_up	09/15/20
dthetaI_tp2_date	09/18/20
second_tp_mean	09/12/20
second_tp_ci_low	08/29/20
second_tp_ci_med	09/14/20
second_tp_ci_up	09/19/20
end_p_mean	02/21/21
end_p_ci_low	12/23/20
end_p_ci_med	03/07/21
end_p_ci_up	03/07/21
begin_str	08/20/2020
