date	value	incidence	scenario	lower_ci	upper_ci
2020-08-21	39327	NA	Observed	NA	NA
2020-08-22	40643	1316	Observed	NA	NA
2020-08-23	41779	1136	Observed	NA	NA
2020-08-24	43284	1505	Observed	NA	NA
2020-08-25	44577	1293	Observed	NA	NA
2020-08-26	46090	1513	Observed	NA	NA
2020-08-27	47836	1746	Observed	NA	NA
2020-08-28	49378	1542	Observed	NA	NA
2020-08-29	50848	1470	Observed	NA	NA
2020-08-30	52526	1678	Observed	NA	NA
2020-08-31	53992	1466	Observed	NA	NA
2020-09-01	55508	1516	Observed	NA	NA
2020-09-02	56989	1481	Observed	NA	NA
2020-09-03	58515	1526	Observed	NA	NA
2020-09-04	60013	1498	Observed	NA	NA
2020-09-05	61527	1514	Observed	NA	NA
2020-09-06	63473	1946	Observed	NA	NA
2020-09-07	65583	2110	Observed	NA	NA
2020-09-08	67547	1964	Observed	NA	NA
2020-09-09	69684	2137	Observed	NA	NA
2020-09-10	72143	2459	Observed	NA	NA
2020-09-11	74616	2473	Observed	NA	NA
2020-09-12	77057	2441	Observed	NA	NA
2020-09-13	79679	2622	Observed	NA	NA
2020-09-14	82100	2421	Observed	NA	NA
2020-09-15	84482	2382	Observed	NA	NA
2020-09-16	87184	2702	Observed	NA	NA
2020-09-17	90032	2848	Observed	NA	NA
2020-09-18	92806	2774	Observed	NA	NA
2020-09-19	95529	2723	Observed	NA	NA
2020-09-20	97689	2160	Observed	NA	NA
2020-09-21	99930	2241	Observed	NA	NA
2020-09-22	101341	1411	Observed	NA	NA
2020-09-23	103464	2123	Observed	NA	NA
2020-09-24	105220	1756	Observed	NA	NA
2020-09-25	107096	1876	Observed	NA	NA
2020-09-26	108684	1588	Observed	NA	NA
2020-09-27	110106	1422	Observed	NA	NA
2020-09-28	111375	1269	Observed	NA	NA
2020-09-29	112460	1085	Observed	NA	NA
2020-09-30	113886	1426	Observed	NA	NA
2020-10-01	115151	1265	Observed	NA	NA
2020-10-02	116213	1062	Observed	NA	NA
2020-10-03	117319	1106	Observed	NA	NA
2020-10-04	118157	838	Observed	NA	NA
2020-10-05	119589	NA	Soc. Dist. + Travel Ban	101166	139495
2020-10-06	120566	977	Soc. Dist. + Travel Ban	99332	143893
2020-10-07	121493	927	Soc. Dist. + Travel Ban	97717	147641
2020-10-08	122441	948	Soc. Dist. + Travel Ban	96278	151509
2020-10-09	123345	904	Soc. Dist. + Travel Ban	95113	154960
2020-10-10	124228	883	Soc. Dist. + Travel Ban	94156	158058
2020-10-11	125112	884	Soc. Dist. + Travel Ban	93121	161253
2020-10-12	125995	883	Soc. Dist. + Travel Ban	92326	164629
2020-10-13	126851	856	Soc. Dist. + Travel Ban	91568	167626
2020-10-14	127691	840	Soc. Dist. + Travel Ban	90790	170624
2020-10-15	128518	827	Soc. Dist. + Travel Ban	90183	173427
2020-10-16	129325	807	Soc. Dist. + Travel Ban	89476	176342
2020-10-17	130119	794	Soc. Dist. + Travel Ban	88852	178928
2020-10-18	130903	784	Soc. Dist. + Travel Ban	88329	181614
2020-10-19	131681	778	Soc. Dist. + Travel Ban	87897	184261
2020-10-20	132438	757	Soc. Dist. + Travel Ban	87157	186906
2020-10-21	133174	736	Soc. Dist. + Travel Ban	86836	189591
2020-10-22	133906	732	Soc. Dist. + Travel Ban	86356	191986
2020-10-23	134630	724	Soc. Dist. + Travel Ban	85974	194636
2020-10-24	135332	702	Soc. Dist. + Travel Ban	85580	197143
2020-10-25	136032	700	Soc. Dist. + Travel Ban	85143	199344
2020-10-26	136720	688	Soc. Dist. + Travel Ban	84807	201749
2020-10-27	137407	687	Soc. Dist. + Travel Ban	84510	203963
2020-10-28	138077	670	Soc. Dist. + Travel Ban	84166	206322
2020-10-29	138730	653	Soc. Dist. + Travel Ban	83671	209011
2020-10-30	139386	656	Soc. Dist. + Travel Ban	83428	211288
2020-10-31	140030	644	Soc. Dist. + Travel Ban	83154	213531
2020-11-01	140642	612	Soc. Dist. + Travel Ban	82787	215853
2020-11-02	141263	621	Soc. Dist. + Travel Ban	82556	218172
2020-11-03	141884	621	Soc. Dist. + Travel Ban	82092	220434
2020-11-04	142485	601	Soc. Dist. + Travel Ban	81874	222903
2020-11-05	143087	602	Soc. Dist. + Travel Ban	81652	225064
2020-11-06	143664	577	Soc. Dist. + Travel Ban	81402	226994
2020-11-07	144239	575	Soc. Dist. + Travel Ban	81107	229470
2020-11-08	144813	574	Soc. Dist. + Travel Ban	80795	231590
2020-11-09	145357	544	Soc. Dist. + Travel Ban	80392	233418
2020-11-10	145900	543	Soc. Dist. + Travel Ban	80180	235675
2020-11-11	146444	544	Soc. Dist. + Travel Ban	79931	237839
2020-11-12	146977	533	Soc. Dist. + Travel Ban	79851	239781
2020-11-13	147492	515	Soc. Dist. + Travel Ban	79457	242022
2020-11-14	148013	521	Soc. Dist. + Travel Ban	79132	244226
2020-11-15	148548	535	Soc. Dist. + Travel Ban	78996	246351
2020-11-16	149073	525	Soc. Dist. + Travel Ban	78582	248359
2020-11-17	149595	522	Soc. Dist. + Travel Ban	78284	250709
2020-11-18	150099	504	Soc. Dist. + Travel Ban	78223	252525
2020-11-19	150594	495	Soc. Dist. + Travel Ban	77887	254627
2020-11-20	151110	516	Soc. Dist. + Travel Ban	77596	256912
2020-11-21	151604	494	Soc. Dist. + Travel Ban	77152	258968
2020-11-22	152081	477	Soc. Dist. + Travel Ban	77149	261279
2020-11-23	152565	484	Soc. Dist. + Travel Ban	76773	263208
2020-11-24	153007	442	Soc. Dist. + Travel Ban	76438	265317
2020-11-25	153454	447	Soc. Dist. + Travel Ban	76120	267392
2020-11-26	153903	449	Soc. Dist. + Travel Ban	75899	269366
2020-11-27	154368	465	Soc. Dist. + Travel Ban	75581	271728
2020-11-28	154830	462	Soc. Dist. + Travel Ban	75306	273667
2020-11-29	155277	447	Soc. Dist. + Travel Ban	75043	275507
2020-11-30	155710	433	Soc. Dist. + Travel Ban	74847	277621
2020-12-01	156138	428	Soc. Dist. + Travel Ban	74410	279689
2020-12-02	156585	447	Soc. Dist. + Travel Ban	74443	281934
2020-12-03	157016	431	Soc. Dist. + Travel Ban	73884	284429
2020-12-04	157435	419	Soc. Dist. + Travel Ban	73768	285867
2020-12-05	157857	422	Soc. Dist. + Travel Ban	73373	287999
2020-12-06	158275	418	Soc. Dist. + Travel Ban	73157	290055
2020-12-07	158683	408	Soc. Dist. + Travel Ban	73014	292378
2020-12-08	159098	415	Soc. Dist. + Travel Ban	72610	294199
2020-12-09	159506	408	Soc. Dist. + Travel Ban	72299	296243
2020-12-10	159934	428	Soc. Dist. + Travel Ban	71947	298346
2020-12-11	160332	398	Soc. Dist. + Travel Ban	71775	300133
2020-12-12	160727	395	Soc. Dist. + Travel Ban	71484	302912
2020-12-13	161119	392	Soc. Dist. + Travel Ban	71147	304790
2020-12-14	161515	396	Soc. Dist. + Travel Ban	70773	306870
2020-12-15	161927	412	Soc. Dist. + Travel Ban	70591	309086
2020-12-16	162316	389	Soc. Dist. + Travel Ban	70250	311240
2020-12-17	162703	387	Soc. Dist. + Travel Ban	69969	313533
2020-12-18	163083	380	Soc. Dist. + Travel Ban	69681	315482
2020-12-19	163454	371	Soc. Dist. + Travel Ban	69242	317056
2020-12-20	163819	365	Soc. Dist. + Travel Ban	69057	319530
2020-12-21	164203	384	Soc. Dist. + Travel Ban	68657	321864
2020-12-22	164581	378	Soc. Dist. + Travel Ban	68302	324286
2020-12-23	164956	375	Soc. Dist. + Travel Ban	68000	326088
2020-12-24	165321	365	Soc. Dist. + Travel Ban	67670	327978
2020-12-25	165689	368	Soc. Dist. + Travel Ban	67420	330681
2020-12-26	166068	379	Soc. Dist. + Travel Ban	66898	332166
2020-12-27	166435	367	Soc. Dist. + Travel Ban	66783	334369
2020-12-28	166808	373	Soc. Dist. + Travel Ban	66470	335801
2020-12-29	167176	368	Soc. Dist. + Travel Ban	66378	337972
2020-12-30	167534	358	Soc. Dist. + Travel Ban	66034	340698
2020-12-31	167887	353	Soc. Dist. + Travel Ban	65861	342689
2021-01-01	168234	347	Soc. Dist. + Travel Ban	65552	344679
2021-01-02	168597	363	Soc. Dist. + Travel Ban	65169	346875
2021-01-03	168941	344	Soc. Dist. + Travel Ban	64900	348784
2021-01-04	169307	366	Soc. Dist. + Travel Ban	64549	351397
2021-01-05	169666	359	Soc. Dist. + Travel Ban	64250	353435
2021-01-06	170007	341	Soc. Dist. + Travel Ban	64074	355555
2021-01-07	170348	341	Soc. Dist. + Travel Ban	63814	357735
2021-01-08	170701	353	Soc. Dist. + Travel Ban	63449	360107
2021-01-09	171046	345	Soc. Dist. + Travel Ban	63278	362589
2021-01-10	171367	321	Soc. Dist. + Travel Ban	62792	365094
2021-01-11	171706	339	Soc. Dist. + Travel Ban	62661	366423
2021-01-12	172060	354	Soc. Dist. + Travel Ban	62297	369164
