stat	value
thetaS_last_obs_p_mean	0.9914142
thetaI_last_obs_p_mean	0.0006435288
thetaR_last_obs_p_mean	0.007942286
thetaS_last_obs_p_ci_low	0.9910458
thetaS_last_obs_p_ci_med	0.9914151
thetaS_last_obs_p_ci_up	0.9917778
thetaI_last_obs_p_ci_low	0.0005450436
thetaI_last_obs_p_ci_med	0.0006425623
thetaI_last_obs_p_ci_up	0.0007466653
thetaR_last_obs_p_ci_low	0.007593498
thetaR_last_obs_p_ci_med	0.007941544
thetaR_last_obs_p_ci_up	0.008297046
R0_p_mean	1.084714
R0_p_ci_low	0.7162532
R0_p_ci_med	1.042259
R0_p_ci_up	1.74629
gamma_p_mean	0.08037028
gamma_p_ci_low	0.01397883
gamma_p_ci_med	0.0780043
gamma_p_ci_up	0.1637472
beta_p_mean	0.08360137
beta_p_ci_low	0.01733727
beta_p_ci_med	0.08068807
beta_p_ci_up	0.1683024
incidence_mean	0.005232748
incidence_ci_low	0.001117017
incidence_ci_median	0.004551537
incidence_ci_up	0.01381934
thetaI_tp1_mean	0.0006451502
thetaI_tp1_ci_low	0.0004955203
thetaI_tp1_ci_med	0.0006425448
thetaI_tp1_ci_up	0.0008101112
thetaR_tp1_mean	0.007993959
thetaR_tp1_ci_low	0.007451771
thetaR_tp1_ci_med	0.007991884
thetaR_tp1_ci_up	0.008554349
Y_tp1_mean	0.0006453207
Y_tp1_ci_low	0.0004537365
Y_tp1_ci_med	0.0006408079
Y_tp1_ci_up	0.0008648944
R_tp1_mean	0.007994441
R_tp1_ci_low	0.007287588
R_tp1_ci_med	0.00798932
R_tp1_ci_up	0.008728526
thetaI_tp2_mean	0.0006335617
thetaI_tp2_ci_low	0.0004496502
thetaI_tp2_ci_med	0.0006290139
thetaI_tp2_ci_up	0.0008422171
thetaR_tp2_mean	0.008045528
thetaR_tp2_ci_low	0.00735954
thetaR_tp2_ci_med	0.008041199
thetaR_tp2_ci_up	0.008752756
Y_tp2_mean	0.0006334032
Y_tp2_ci_low	0.0004156947
Y_tp2_ci_med	0.0006273948
Y_tp2_ci_up	0.000886123
R_tp2_mean	0.008045791
R_tp2_ci_low	0.007222488
R_tp2_ci_med	0.008039601
R_tp2_ci_up	0.008901124
thetaR_max_mean	0.01099872
thetaR_max_ci_low	0.00485945
thetaR_max_ci_med	0.01041496
thetaR_max_ci_up	0.02048837
cumInf_mean	0.01127776
cumInf_ci_low	0.004906023
cumInf_ci_med	0.01053664
cumInf_ci_up	0.02193151
dthetaI_tp1_date	10/05/20
first_tp_mean	09/12/20
first_tp_ci_low	08/21/20
first_tp_ci_med	09/14/20
first_tp_ci_up	10/04/20
dthetaI_tp2_date	10/06/20
second_tp_mean	09/14/20
second_tp_ci_low	08/23/20
second_tp_ci_med	09/15/20
second_tp_ci_up	10/06/20
end_p_mean	01/23/21
end_p_ci_low	11/13/20
end_p_ci_med	01/26/21
end_p_ci_up	03/08/21
begin_str	08/21/2020
