stat	value
thetaS_last_obs_p_mean	0.9942746
thetaI_last_obs_p_mean	0.0007782895
thetaR_last_obs_p_mean	0.004947107
thetaS_last_obs_p_ci_low	0.9939722
thetaS_last_obs_p_ci_med	0.9942753
thetaS_last_obs_p_ci_up	0.9945743
thetaI_last_obs_p_ci_low	0.000669982
thetaI_last_obs_p_ci_med	0.0007773886
thetaI_last_obs_p_ci_up	0.0008924091
thetaR_last_obs_p_ci_low	0.004669784
thetaR_last_obs_p_ci_med	0.004946347
thetaR_last_obs_p_ci_up	0.00522822
R0_p_mean	1.202574
R0_p_ci_low	0.7638204
R0_p_ci_med	1.154097
R0_p_ci_up	1.953358
gamma_p_mean	0.05518768
gamma_p_ci_low	0.01336948
gamma_p_ci_med	0.05384222
gamma_p_ci_up	0.1057494
beta_p_mean	0.06349657
beta_p_ci_low	0.01772745
beta_p_ci_med	0.06208805
beta_p_ci_up	0.1180948
incidence_mean	0.03097521
incidence_ci_low	0.001891247
incidence_ci_median	0.0138457
incidence_ci_up	0.1758894
thetaI_tp1_mean	0.006926531
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.001944505
thetaI_tp1_ci_up	0.04719125
thetaR_tp1_mean	0.02719035
thetaR_tp1_ci_low	0.004059265
thetaR_tp1_ci_med	0.01512892
thetaR_tp1_ci_up	0.1311915
Y_tp1_mean	0.006926931
Y_tp1_ci_low	0
Y_tp1_ci_med	0.001943094
Y_tp1_ci_up	0.04732791
R_tp1_mean	0.02719123
R_tp1_ci_low	0.004050106
R_tp1_ci_med	0.01514149
R_tp1_ci_up	0.1310296
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.02719035
thetaR_max_ci_low	0.004059265
thetaR_max_ci_med	0.01512892
thetaR_max_ci_up	0.1311915
cumInf_mean	0.03411688
cumInf_ci_low	0.004257152
cumInf_ci_med	0.01737633
cumInf_ci_up	0.1775773
dthetaI_tp1_date	03/09/21
first_tp_mean	10/12/20
first_tp_ci_low	08/23/20
first_tp_ci_med	08/29/20
first_tp_ci_up	03/09/21
dthetaI_tp2_date	03/09/21
second_tp_mean	10/14/20
second_tp_ci_low	08/26/20
second_tp_ci_med	09/02/20
second_tp_ci_up	03/09/21
end_p_mean	03/03/21
end_p_ci_low	12/23/20
end_p_ci_med	03/09/21
end_p_ci_up	03/09/21
begin_str	08/22/2020
