stat	value
thetaS_last_obs_p_mean	0.9935453
thetaI_last_obs_p_mean	0.001150886
thetaR_last_obs_p_mean	0.005303791
thetaS_last_obs_p_ci_low	0.9932048
thetaS_last_obs_p_ci_med	0.9935461
thetaS_last_obs_p_ci_up	0.9938805
thetaI_last_obs_p_ci_low	0.001012073
thetaI_last_obs_p_ci_med	0.001149249
thetaI_last_obs_p_ci_up	0.00129861
thetaR_last_obs_p_ci_low	0.005001503
thetaR_last_obs_p_ci_med	0.005302875
thetaR_last_obs_p_ci_up	0.005611134
R0_p_mean	1.308858
R0_p_ci_low	0.8633069
R0_p_ci_med	1.265038
R0_p_ci_up	2.026833
gamma_p_mean	0.05171167
gamma_p_ci_low	0.01664332
gamma_p_ci_med	0.05115059
gamma_p_ci_up	0.09048489
beta_p_mean	0.0652696
beta_p_ci_low	0.02346788
beta_p_ci_med	0.0648357
beta_p_ci_up	0.109938
incidence_mean	0.06480542
incidence_ci_low	0.003856537
incidence_ci_median	0.03346825
incidence_ci_up	0.3182799
thetaI_tp1_mean	0.0135346
thetaI_tp1_ci_low	0
thetaI_tp1_ci_med	0.005711354
thetaI_tp1_ci_up	0.07512469
thetaR_tp1_mean	0.04214974
thetaR_tp1_ci_low	0.005788725
thetaR_tp1_ci_med	0.0255672
thetaR_tp1_ci_up	0.1828364
Y_tp1_mean	0.01353446
Y_tp1_ci_low	0
Y_tp1_ci_med	0.005715345
Y_tp1_ci_up	0.07510998
R_tp1_mean	0.04214948
R_tp1_ci_low	0.005788431
R_tp1_ci_med	0.02555351
R_tp1_ci_up	0.1828621
thetaI_tp2_mean	NA
thetaI_tp2_ci_low	NA
thetaI_tp2_ci_med	NA
thetaI_tp2_ci_up	NA
thetaR_tp2_mean	NA
thetaR_tp2_ci_low	NA
thetaR_tp2_ci_med	NA
thetaR_tp2_ci_up	NA
Y_tp2_mean	NA
Y_tp2_ci_low	NA
Y_tp2_ci_med	NA
Y_tp2_ci_up	NA
R_tp2_mean	NA
R_tp2_ci_low	NA
R_tp2_ci_med	NA
R_tp2_ci_up	NA
thetaR_max_mean	0.05162271
thetaR_max_ci_low	0.005848285
thetaR_max_ci_med	0.02943425
thetaR_max_ci_up	0.2364487
cumInf_mean	0.06747331
cumInf_ci_low	0.006277016
cumInf_ci_med	0.03654541
cumInf_ci_up	0.3184454
dthetaI_tp1_date	02/25/21
first_tp_mean	11/06/20
first_tp_ci_low	09/06/20
first_tp_ci_med	09/14/20
first_tp_ci_up	03/10/21
dthetaI_tp2_date	02/25/21
second_tp_mean	11/11/20
second_tp_ci_low	09/12/20
second_tp_ci_med	09/20/20
second_tp_ci_up	03/10/21
end_p_mean	03/07/21
end_p_ci_low	01/31/21
end_p_ci_med	03/10/21
end_p_ci_up	03/10/21
begin_str	08/23/2020
