date	value	lower_ci	upper_ci	incidence	scenario
2020-10-07	203679	176500	232822	NA	Normal (pre-intervention)
2020-10-08	205367	173693	239329	1688	Normal (pre-intervention)
2020-10-09	207108	171505	245849	1741	Normal (pre-intervention)
2020-10-10	208851	169538	251890	1743	Normal (pre-intervention)
2020-10-11	210574	167844	257785	1723	Normal (pre-intervention)
2020-10-12	212363	166420	263485	1789	Normal (pre-intervention)
2020-10-13	214130	165184	269037	1767	Normal (pre-intervention)
2020-10-14	215917	163897	274978	1787	Normal (pre-intervention)
2020-10-15	217732	162931	280265	1815	Normal (pre-intervention)
2020-10-16	219562	161697	286035	1830	Normal (pre-intervention)
2020-10-17	221401	160880	291486	1839	Normal (pre-intervention)
2020-10-18	223254	159972	296981	1853	Normal (pre-intervention)
2020-10-19	225132	159380	302531	1878	Normal (pre-intervention)
2020-10-20	227048	158408	308269	1916	Normal (pre-intervention)
2020-10-21	228963	157840	313789	1915	Normal (pre-intervention)
2020-10-22	230899	157277	319714	1936	Normal (pre-intervention)
2020-10-23	232840	156802	325670	1941	Normal (pre-intervention)
2020-10-24	234833	156105	331580	1993	Normal (pre-intervention)
2020-10-25	236859	155521	337256	2026	Normal (pre-intervention)
2020-10-26	238871	155107	343267	2012	Normal (pre-intervention)
2020-10-27	240927	154473	349737	2056	Normal (pre-intervention)
2020-10-28	242995	154214	355783	2068	Normal (pre-intervention)
2020-10-29	245107	153763	362636	2112	Normal (pre-intervention)
2020-10-30	247230	153192	369029	2123	Normal (pre-intervention)
2020-10-31	249400	152824	375793	2170	Normal (pre-intervention)
2020-11-01	251600	152523	382808	2200	Normal (pre-intervention)
2020-11-02	253799	152233	389307	2199	Normal (pre-intervention)
2020-11-03	256044	152067	396478	2245	Normal (pre-intervention)
2020-11-04	258319	151814	403902	2275	Normal (pre-intervention)
2020-11-05	260588	151483	411711	2269	Normal (pre-intervention)
2020-11-06	262896	151096	419180	2308	Normal (pre-intervention)
2020-11-07	265250	150855	426669	2354	Normal (pre-intervention)
2020-11-08	267618	150850	434076	2368	Normal (pre-intervention)
2020-11-09	270035	150693	442498	2417	Normal (pre-intervention)
2020-11-10	272479	150057	451163	2444	Normal (pre-intervention)
2020-11-11	274956	150145	459602	2477	Normal (pre-intervention)
2020-11-12	277466	149795	468711	2510	Normal (pre-intervention)
2020-11-13	279971	149593	476755	2505	Normal (pre-intervention)
2020-11-14	282548	149337	485911	2577	Normal (pre-intervention)
2020-11-15	285171	149064	495557	2623	Normal (pre-intervention)
2020-11-16	287814	149139	505073	2643	Normal (pre-intervention)
2020-11-17	290472	148954	514443	2658	Normal (pre-intervention)
2020-11-18	293195	148554	524541	2723	Normal (pre-intervention)
2020-11-19	295941	148315	535092	2746	Normal (pre-intervention)
2020-11-20	298732	148027	545300	2791	Normal (pre-intervention)
2020-11-21	301582	148031	556403	2850	Normal (pre-intervention)
2020-11-22	304423	147843	567107	2841	Normal (pre-intervention)
2020-11-23	307372	147847	578881	2949	Normal (pre-intervention)
2020-11-24	310330	147567	590740	2958	Normal (pre-intervention)
2020-11-25	313332	147513	603073	3002	Normal (pre-intervention)
2020-11-26	316386	147057	615034	3054	Normal (pre-intervention)
2020-11-27	319468	146717	626883	3082	Normal (pre-intervention)
2020-11-28	322631	147023	640015	3163	Normal (pre-intervention)
2020-11-29	325826	146592	653452	3195	Normal (pre-intervention)
2020-11-30	329034	146823	666840	3208	Normal (pre-intervention)
2020-12-01	332335	146480	680597	3301	Normal (pre-intervention)
2020-12-02	335665	146558	695448	3330	Normal (pre-intervention)
2020-12-03	339053	146210	709679	3388	Normal (pre-intervention)
2020-12-04	342513	146212	724567	3460	Normal (pre-intervention)
2020-12-05	346036	146276	740016	3523	Normal (pre-intervention)
2020-12-06	349571	145947	756098	3535	Normal (pre-intervention)
2020-12-07	353147	145937	773099	3576	Normal (pre-intervention)
2020-12-08	356840	145733	790636	3693	Normal (pre-intervention)
2020-12-09	360568	145630	805997	3728	Normal (pre-intervention)
2020-12-10	364393	145601	824535	3825	Normal (pre-intervention)
2020-12-11	368252	145433	842938	3859	Normal (pre-intervention)
2020-12-12	372175	145189	862180	3923	Normal (pre-intervention)
2020-12-13	376154	144896	879858	3979	Normal (pre-intervention)
2020-12-14	380181	144634	899866	4027	Normal (pre-intervention)
2020-12-15	384284	145073	919706	4103	Normal (pre-intervention)
2020-12-16	388436	144876	940740	4152	Normal (pre-intervention)
2020-12-17	392727	144723	962731	4291	Normal (pre-intervention)
2020-12-18	397065	144563	984508	4338	Normal (pre-intervention)
2020-12-19	401502	144509	1006437	4437	Normal (pre-intervention)
2020-12-20	405986	144492	1029460	4484	Normal (pre-intervention)
2020-12-21	410537	144604	1054121	4551	Normal (pre-intervention)
2020-12-22	415129	144675	1077130	4592	Normal (pre-intervention)
2020-12-23	419837	144593	1103404	4708	Normal (pre-intervention)
2020-12-24	424587	144407	1127476	4750	Normal (pre-intervention)
2020-12-25	429451	144375	1150443	4864	Normal (pre-intervention)
