date	value	lower_ci	upper_ci	incidence	scenario
2020-10-08	147559	118725	179528	NA	Normal (pre-intervention)
2020-10-09	148592	115246	186024	1033	Normal (pre-intervention)
2020-10-10	149673	112295	192255	1081	Normal (pre-intervention)
2020-10-11	150781	110010	197989	1108	Normal (pre-intervention)
2020-10-12	151885	107736	203448	1104	Normal (pre-intervention)
2020-10-13	153009	105696	208829	1124	Normal (pre-intervention)
2020-10-14	154141	103831	214575	1132	Normal (pre-intervention)
2020-10-15	155317	102146	219867	1176	Normal (pre-intervention)
2020-10-16	156519	100686	225110	1202	Normal (pre-intervention)
2020-10-17	157735	99107	230854	1216	Normal (pre-intervention)
2020-10-18	158985	97757	236156	1250	Normal (pre-intervention)
2020-10-19	160261	96712	241563	1276	Normal (pre-intervention)
2020-10-20	161543	95585	247080	1282	Normal (pre-intervention)
2020-10-21	162865	94223	252809	1322	Normal (pre-intervention)
2020-10-22	164180	93144	258102	1315	Normal (pre-intervention)
2020-10-23	165552	92218	264242	1372	Normal (pre-intervention)
2020-10-24	166959	91212	270497	1407	Normal (pre-intervention)
2020-10-25	168380	90274	276493	1421	Normal (pre-intervention)
2020-10-26	169824	89283	282757	1444	Normal (pre-intervention)
2020-10-27	171324	88489	288806	1500	Normal (pre-intervention)
2020-10-28	172841	87374	296001	1517	Normal (pre-intervention)
2020-10-29	174383	86495	302346	1542	Normal (pre-intervention)
2020-10-30	175992	85900	309221	1609	Normal (pre-intervention)
2020-10-31	177630	84992	316843	1638	Normal (pre-intervention)
2020-11-01	179319	84361	324322	1689	Normal (pre-intervention)
2020-11-02	181049	83722	332138	1730	Normal (pre-intervention)
2020-11-03	182834	82958	340066	1785	Normal (pre-intervention)
2020-11-04	184661	82465	348984	1827	Normal (pre-intervention)
2020-11-05	186506	81741	357607	1845	Normal (pre-intervention)
2020-11-06	188427	81100	366085	1921	Normal (pre-intervention)
2020-11-07	190405	80792	375959	1978	Normal (pre-intervention)
2020-11-08	192429	80248	385564	2024	Normal (pre-intervention)
2020-11-09	194495	79949	395858	2066	Normal (pre-intervention)
2020-11-10	196625	79388	406401	2130	Normal (pre-intervention)
2020-11-11	198831	78921	417950	2206	Normal (pre-intervention)
2020-11-12	201050	78426	428809	2219	Normal (pre-intervention)
2020-11-13	203351	78127	440989	2301	Normal (pre-intervention)
2020-11-14	205695	77695	452375	2344	Normal (pre-intervention)
2020-11-15	208163	77442	465807	2468	Normal (pre-intervention)
2020-11-16	210663	77031	478878	2500	Normal (pre-intervention)
2020-11-17	213217	76575	492203	2554	Normal (pre-intervention)
2020-11-18	215871	76058	508120	2654	Normal (pre-intervention)
2020-11-19	218604	75959	523216	2733	Normal (pre-intervention)
2020-11-20	221441	75499	537905	2837	Normal (pre-intervention)
2020-11-21	224339	75303	554674	2898	Normal (pre-intervention)
2020-11-22	227334	75012	573602	2995	Normal (pre-intervention)
2020-11-23	230425	74928	589921	3091	Normal (pre-intervention)
2020-11-24	233587	74388	609583	3162	Normal (pre-intervention)
2020-11-25	236852	74311	628317	3265	Normal (pre-intervention)
2020-11-26	240225	73668	650390	3373	Normal (pre-intervention)
2020-11-27	243729	73142	671820	3504	Normal (pre-intervention)
2020-11-28	247305	73147	692667	3576	Normal (pre-intervention)
2020-11-29	251024	72680	715756	3719	Normal (pre-intervention)
2020-11-30	254839	72580	737843	3815	Normal (pre-intervention)
2020-12-01	258784	71945	762951	3945	Normal (pre-intervention)
2020-12-02	262863	71540	789577	4079	Normal (pre-intervention)
2020-12-03	267098	71367	817888	4235	Normal (pre-intervention)
2020-12-04	271447	71204	846140	4349	Normal (pre-intervention)
2020-12-05	275968	70562	876006	4521	Normal (pre-intervention)
2020-12-06	280665	70627	907420	4697	Normal (pre-intervention)
2020-12-07	285494	70396	938888	4829	Normal (pre-intervention)
2020-12-08	290464	69871	972330	4970	Normal (pre-intervention)
2020-12-09	295602	69453	1005822	5138	Normal (pre-intervention)
2020-12-10	300909	69200	1043583	5307	Normal (pre-intervention)
2020-12-11	306424	68974	1079766	5515	Normal (pre-intervention)
2020-12-12	312081	68684	1119389	5657	Normal (pre-intervention)
2020-12-13	317962	68470	1160352	5881	Normal (pre-intervention)
2020-12-14	324023	68170	1203320	6061	Normal (pre-intervention)
2020-12-15	330321	67864	1247756	6298	Normal (pre-intervention)
2020-12-16	336813	67304	1294534	6492	Normal (pre-intervention)
2020-12-17	343521	67439	1342782	6708	Normal (pre-intervention)
2020-12-18	350463	67082	1389506	6942	Normal (pre-intervention)
2020-12-19	357617	66525	1443815	7154	Normal (pre-intervention)
2020-12-20	365078	66551	1494253	7461	Normal (pre-intervention)
2020-12-21	372790	66295	1553175	7712	Normal (pre-intervention)
2020-12-22	380728	65735	1613000	7938	Normal (pre-intervention)
2020-12-23	388954	65309	1673101	8226	Normal (pre-intervention)
2020-12-24	397445	64964	1737535	8491	Normal (pre-intervention)
2020-12-25	406225	64784	1803448	8780	Normal (pre-intervention)
2020-12-26	415266	64296	1872458	9041	Normal (pre-intervention)
2020-12-27	424588	64024	1943752	9322	Normal (pre-intervention)
2020-12-28	434202	63867	2014534	9614	Normal (pre-intervention)
2020-12-29	444168	63694	2089944	9966	Normal (pre-intervention)
2020-12-30	454496	63380	2168312	10328	Normal (pre-intervention)
2020-12-31	465113	62974	2260410	10617	Normal (pre-intervention)
2021-01-01	476035	62529	2340687	10922	Normal (pre-intervention)
2021-01-02	487311	62442	2437244	11276	Normal (pre-intervention)
2021-01-03	498930	62243	2528181	11619	Normal (pre-intervention)
2021-01-04	510956	61561	2621672	12026	Normal (pre-intervention)
2021-01-05	523309	61420	2719193	12353	Normal (pre-intervention)
2021-01-06	536054	61220	2827180	12745	Normal (pre-intervention)
2021-01-07	549203	61103	2939980	13149	Normal (pre-intervention)
2021-01-08	562666	60719	3045682	13463	Normal (pre-intervention)
2021-01-09	576564	60629	3162334	13898	Normal (pre-intervention)
2021-01-10	590877	60504	3277265	14313	Normal (pre-intervention)
2021-01-11	605573	59964	3409620	14696	Normal (pre-intervention)
2021-01-12	620630	59883	3541918	15057	Normal (pre-intervention)
2021-01-13	636202	59591	3673058	15572	Normal (pre-intervention)
2021-01-14	652149	59251	3809931	15947	Normal (pre-intervention)
2021-01-15	668630	59235	3957741	16481	Normal (pre-intervention)
2021-01-16	685466	58748	4106012	16836	Normal (pre-intervention)
2021-01-17	702768	58661	4254738	17302	Normal (pre-intervention)
2021-01-18	720497	58009	4405121	17729	Normal (pre-intervention)
2021-01-19	738609	58166	4571475	18112	Normal (pre-intervention)
2021-01-20	757285	57857	4740371	18676	Normal (pre-intervention)
2021-01-21	776385	57544	4913506	19100	Normal (pre-intervention)
2021-01-22	795939	57160	5090845	19554	Normal (pre-intervention)
2021-01-23	815944	56856	5278019	20005	Normal (pre-intervention)
2021-01-24	836385	56408	5474604	20441	Normal (pre-intervention)
2021-01-25	857350	56084	5674090	20965	Normal (pre-intervention)
2021-01-26	878776	55851	5867195	21426	Normal (pre-intervention)
2021-01-27	900721	55371	6081890	21945	Normal (pre-intervention)
2021-01-28	923119	55207	6294797	22398	Normal (pre-intervention)
2021-01-29	945937	55171	6513834	22818	Normal (pre-intervention)
2021-01-30	969236	54711	6737320	23299	Normal (pre-intervention)
2021-01-31	993060	54658	6966389	23824	Normal (pre-intervention)
2021-02-01	1017354	53907	7196014	24294	Normal (pre-intervention)
2021-02-02	1042146	53888	7454492	24792	Normal (pre-intervention)
2021-02-03	1067359	53530	7697471	25213	Normal (pre-intervention)
2021-02-04	1093086	53143	7954219	25727	Normal (pre-intervention)
2021-02-05	1119303	53302	8228203	26217	Normal (pre-intervention)
2021-02-06	1146101	52702	8502753	26798	Normal (pre-intervention)
2021-02-07	1173277	52558	8768863	27176	Normal (pre-intervention)
2021-02-08	1200945	52337	9048519	27668	Normal (pre-intervention)
2021-02-09	1229092	52024	9335842	28147	Normal (pre-intervention)
2021-02-10	1257693	51324	9636539	28601	Normal (pre-intervention)
2021-02-11	1286811	51508	9934938	29118	Normal (pre-intervention)
2021-02-12	1316346	51148	10244060	29535	Normal (pre-intervention)
